Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 331905 to 331905
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 331905 to run 331905  lasting from Tue Aug  8 09:45:00 2017 UTC to Tue Aug  8 11:56:32 2017 UTC
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Aug  8 10:51:33 2017 UTC-Tue Aug  8 10:51:33 2017 UTC (0.001 )  Time stamp start 1502189493836929820 end 1502189493835929820  Run 331905, LB 72, lumi 14.95
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Aug  8 10:51:35 2017 UTC-Tue Aug  8 10:51:35 2017 UTC (0.001 )  Time stamp start 1502189495181881865 end 1502189495180881865  Run 331905, LB 72, lumi 14.95
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:51:36 2017 UTC-Tue Aug  8 10:51:36 2017 UTC (0.001 )  Time stamp start 1502189496867833655 end 1502189496866832855  Run 331905, LB 72, lumi 14.96
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Aug  8 10:51:38 2017 UTC-Tue Aug  8 10:51:38 2017 UTC (0.001 )  Time stamp start 1502189498435750205 end 1502189498434750205  Run 331905, LB 72, lumi 14.95
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Aug  8 10:51:39 2017 UTC-Tue Aug  8 10:51:39 2017 UTC (0.001 )  Time stamp start 1502189499909968865 end 1502189499908968865  Run 331905, LB 72, lumi 14.95
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Aug  8 10:51:41 2017 UTC-Tue Aug  8 10:51:41 2017 UTC (0.001 )  Time stamp start 1502189501411632940 end 1502189501410632940  Run 331905, LB 72, lumi 14.95
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:51:42 2017 UTC-Tue Aug  8 10:51:42 2017 UTC (0.001 )  Time stamp start 1502189502792295960 end 1502189502791295835  Run 331905, LB 72, lumi 14.95
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Aug  8 10:51:44 2017 UTC-Tue Aug  8 10:51:44 2017 UTC (0.001 )  Time stamp start 1502189504228195350 end 1502189504227195350  Run 331905, LB 72, lumi 14.95
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Aug  8 10:51:45 2017 UTC-Tue Aug  8 10:51:45 2017 UTC (0.001 )  Time stamp start 1502189505833214270 end 1502189505832214145  Run 331905, LB 72, lumi 14.95
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Aug  8 10:51:47 2017 UTC-Tue Aug  8 10:51:47 2017 UTC (0.001 )  Time stamp start 1502189507341471980 end 1502189507340471980  Run 331905, LB 72, lumi 14.95
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Aug  8 10:51:48 2017 UTC-Tue Aug  8 10:51:48 2017 UTC (0.001 )  Time stamp start 1502189508818283125 end 1502189508817283000  Run 331905, LB 72, lumi 14.95
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Aug  8 10:51:50 2017 UTC-Tue Aug  8 10:51:50 2017 UTC (0.001 )  Time stamp start 1502189510485268685 end 1502189510484268685  Run 331905, LB 72, lumi 14.95
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Aug  8 10:51:51 2017 UTC-Tue Aug  8 10:51:51 2017 UTC (0.001 )  Time stamp start 1502189511997895090 end 1502189511996895090  Run 331905, LB 72, lumi 14.95
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Aug  8 10:51:53 2017 UTC-Tue Aug  8 10:51:53 2017 UTC (0.001 )  Time stamp start 1502189513460684370 end 1502189513459684370  Run 331905, LB 72, lumi 14.95
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:51:54 2017 UTC-Tue Aug  8 10:51:54 2017 UTC (0.001 )  Time stamp start 1502189514930338515 end 1502189514929338115  Run 331905, LB 72, lumi 14.96
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:51:56 2017 UTC-Tue Aug  8 10:51:56 2017 UTC (0.001 )  Time stamp start 1502189516022682085 end 1502189516021682085  Run 331905, LB 72, lumi 14.95
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:51:56 2017 UTC-Tue Aug  8 10:51:56 2017 UTC (0.001 )  Time stamp start 1502189516474350685 end 1502189516473349910  Run 331905, LB 72, lumi 14.96
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:51:58 2017 UTC-Tue Aug  8 10:51:58 2017 UTC (0.001 )  Time stamp start 1502189518056243840 end 1502189518055243715  Run 331905, LB 72, lumi 14.95
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:51:59 2017 UTC-Tue Aug  8 10:51:59 2017 UTC (0.001 )  Time stamp start 1502189519560212615 end 1502189519559212490  Run 331905, LB 72, lumi 14.95
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:52:01 2017 UTC-Tue Aug  8 10:52:01 2017 UTC (0.001 )  Time stamp start 1502189521045170075 end 1502189521044169005  Run 331905, LB 72, lumi 14.97
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Aug  8 10:52:02 2017 UTC-Tue Aug  8 10:52:02 2017 UTC (0.001 )  Time stamp start 1502189522508461785 end 1502189522507461785  Run 331905, LB 72, lumi 14.95
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Aug  8 10:52:04 2017 UTC-Tue Aug  8 10:52:04 2017 UTC (0.001 )  Time stamp start 1502189524035514015 end 1502189524034514015  Run 331905, LB 72, lumi 14.95
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Aug  8 10:52:05 2017 UTC-Tue Aug  8 10:52:05 2017 UTC (0.001 )  Time stamp start 1502189525521960910 end 1502189525520960910  Run 331905, LB 72, lumi 14.95
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Aug  8 10:52:06 2017 UTC-Tue Aug  8 10:52:06 2017 UTC (0.001 )  Time stamp start 1502189526995234135 end 1502189526994234010  Run 331905, LB 72, lumi 14.95
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:52:07 2017 UTC-Tue Aug  8 10:52:07 2017 UTC (0.001 )  Time stamp start 1502189527854350615 end 1502189527853350615  Run 331905, LB 73, lumi 14.94
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:52:08 2017 UTC-Tue Aug  8 10:52:08 2017 UTC (0.001 )  Time stamp start 1502189528331428775 end 1502189528330428025  Run 331905, LB 73, lumi 14.95
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Aug  8 10:52:09 2017 UTC-Tue Aug  8 10:52:09 2017 UTC (0.001 )  Time stamp start 1502189529878174520 end 1502189529877174395  Run 331905, LB 73, lumi 14.94
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Aug  8 10:52:11 2017 UTC-Tue Aug  8 10:52:11 2017 UTC (0.001 )  Time stamp start 1502189531449702765 end 1502189531448702765  Run 331905, LB 73, lumi 14.94
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Aug  8 10:52:12 2017 UTC-Tue Aug  8 10:52:12 2017 UTC (0.001 )  Time stamp start 1502189532956327720 end 1502189532955327720  Run 331905, LB 73, lumi 14.94
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:52:14 2017 UTC-Tue Aug  8 10:52:14 2017 UTC (0.001 )  Time stamp start 1502189534588088800 end 1502189534587088675  Run 331905, LB 73, lumi 14.94
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Aug  8 10:52:16 2017 UTC-Tue Aug  8 10:52:16 2017 UTC (0.001 )  Time stamp start 1502189536004664590 end 1502189536003664465  Run 331905, LB 73, lumi 14.94
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:52:17 2017 UTC-Tue Aug  8 10:52:17 2017 UTC (0.001 )  Time stamp start 1502189537601279205 end 1502189537600279055  Run 331905, LB 73, lumi 14.94
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:52:21 2017 UTC-Tue Aug  8 10:52:21 2017 UTC (0.001 )  Time stamp start 1502189541320624805 end 1502189541319623610  Run 331905, LB 73, lumi 14.96
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:52:28 2017 UTC-Tue Aug  8 10:52:28 2017 UTC (0.001 )  Time stamp start 1502189548040334210 end 1502189548039333090  Run 331905, LB 73, lumi 14.96
Event Veto ['MiniNoiseBurst'], Tue Aug  8 10:52:28 2017 UTC-Tue Aug  8 10:52:28 2017 UTC (0.001 )  Time stamp start 1502189548782562560 end 1502189548781562560  Run 331905, LB 73, lumi 14.94
