Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 357500 to 357500
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 357500 to run 357500  lasting from Sat Aug  4 15:33:56 2018 UTC to Sat Aug  4 23:51:02 2018 UTC
Event Veto ['NoiseBurst'], Sat Aug  4 17:54:31 2018 UTC-Sat Aug  4 17:54:31 2018 UTC (0.004 )  Time stamp start 1533405271387610650 end 1533405271383742090  Run 357500, LB 179, lumi 66.02
Event Veto ['NoiseBurst'], Sat Aug  4 17:54:31 2018 UTC-Sat Aug  4 17:54:31 2018 UTC (0.004 )  Time stamp start 1533405271955615040 end 1533405271951672800  Run 357500, LB 179, lumi 67.28
Event Veto ['MiniNoiseBurst'], Sat Aug  4 17:54:58 2018 UTC-Sat Aug  4 17:54:58 2018 UTC (0.001 )  Time stamp start 1533405298608809430 end 1533405298607809430  Run 357500, LB 179, lumi 17.07
Event Veto ['MiniNoiseBurst'], Sat Aug  4 17:55:51 2018 UTC-Sat Aug  4 17:55:51 2018 UTC (0.001 )  Time stamp start 1533405351127733180 end 1533405351126733180  Run 357500, LB 180, lumi 16.99
Event Veto ['NoiseBurst'], Sat Aug  4 17:56:47 2018 UTC-Sat Aug  4 17:56:47 2018 UTC (0.003 )  Time stamp start 1533405407097541825 end 1533405407094368495  Run 357500, LB 181, lumi 53.88
Event Veto ['MiniNoiseBurst'], Sat Aug  4 17:57:06 2018 UTC-Sat Aug  4 17:57:06 2018 UTC (0.001 )  Time stamp start 1533405426819099125 end 1533405426818099125  Run 357500, LB 181, lumi 16.98
Event Veto ['MiniNoiseBurst'], Sat Aug  4 17:57:35 2018 UTC-Sat Aug  4 17:57:35 2018 UTC (0.001 )  Time stamp start 1533405455798478795 end 1533405455797478795  Run 357500, LB 183, lumi 16.98
Event Veto ['NoiseBurst'], Sat Aug  4 17:58:05 2018 UTC-Sat Aug  4 17:58:05 2018 UTC (0.001 )  Time stamp start 1533405485862780630 end 1533405485861779880  Run 357500, LB 183, lumi 16.99
Event Veto ['MiniNoiseBurst'], Sat Aug  4 18:02:54 2018 UTC-Sat Aug  4 18:02:54 2018 UTC (0.001 )  Time stamp start 1533405774689333120 end 1533405774688333120  Run 357500, LB 188, lumi 16.68
Event Veto ['DataCorruption'], Sat Aug  4 18:03:13 2018 UTC-Sat Aug  4 18:03:14 2018 UTC (0.777 )  Time stamp start 1533405794699588255 end 1533405793922189600  Run 357500, LB 188, lumi 12970.84
Event Veto ['MiniNoiseBurst'], Sat Aug  4 18:04:15 2018 UTC-Sat Aug  4 18:04:15 2018 UTC (0.001 )  Time stamp start 1533405855776382135 end 1533405855775382135  Run 357500, LB 189, lumi 16.71
Event Veto ['MiniNoiseBurst'], Sat Aug  4 18:06:28 2018 UTC-Sat Aug  4 18:06:28 2018 UTC (0.001 )  Time stamp start 1533405988106691880 end 1533405988105691160  Run 357500, LB 192, lumi 16.53
Event Veto ['MiniNoiseBurst'], Sat Aug  4 18:09:34 2018 UTC-Sat Aug  4 18:09:34 2018 UTC (0.001 )  Time stamp start 1533406174555490355 end 1533406174554368745  Run 357500, LB 195, lumi 18.32
Event Veto ['NoiseBurst'], Sat Aug  4 18:11:37 2018 UTC-Sat Aug  4 18:11:37 2018 UTC (0.001 )  Time stamp start 1533406297814901355 end 1533406297813900460  Run 357500, LB 197, lumi 16.28
