Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 339758 to 339758
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 339758 to run 339758  lasting from Wed Nov  1 16:06:06 2017 UTC to Thu Nov  2 10:52:17 2017 UTC
Event Veto ['NoiseBurst'], Wed Nov  1 18:46:53 2017 UTC-Wed Nov  1 18:46:53 2017 UTC (0.001 )  Time stamp start 1509562013658158175 end 1509562013656926460  Run 339758, LB 171, lumi 18.40
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:47:18 2017 UTC-Wed Nov  1 18:47:18 2017 UTC (0.001 )  Time stamp start 1509562038433957195 end 1509562038432957195  Run 339758, LB 171, lumi 14.94
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:48:14 2017 UTC-Wed Nov  1 18:48:14 2017 UTC (0.001 )  Time stamp start 1509562094603222615 end 1509562094602222615  Run 339758, LB 172, lumi 15.00
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:48:38 2017 UTC-Wed Nov  1 18:48:38 2017 UTC (0.001 )  Time stamp start 1509562118557404755 end 1509562118556404755  Run 339758, LB 172, lumi 15.00
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:48:48 2017 UTC-Wed Nov  1 18:48:48 2017 UTC (0.001 )  Time stamp start 1509562128437245050 end 1509562128436245050  Run 339758, LB 172, lumi 15.00
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:49:19 2017 UTC-Wed Nov  1 18:49:19 2017 UTC (0.001 )  Time stamp start 1509562159257702175 end 1509562159256702175  Run 339758, LB 173, lumi 15.04
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:49:21 2017 UTC-Wed Nov  1 18:49:21 2017 UTC (0.001 )  Time stamp start 1509562161005603715 end 1509562161004603715  Run 339758, LB 173, lumi 15.04
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:49:26 2017 UTC-Wed Nov  1 18:49:26 2017 UTC (0.001 )  Time stamp start 1509562166130625885 end 1509562166129625885  Run 339758, LB 173, lumi 15.04
Event Veto ['MiniNoiseBurst'], Wed Nov  1 18:49:30 2017 UTC-Wed Nov  1 18:49:30 2017 UTC (0.001 )  Time stamp start 1509562170353825905 end 1509562170352825905  Run 339758, LB 173, lumi 15.04
Event Veto ['NoiseBurst'], Wed Nov  1 18:50:05 2017 UTC-Wed Nov  1 18:50:05 2017 UTC (0.001 )  Time stamp start 1509562205050019155 end 1509562205048898170  Run 339758, LB 174, lumi 16.90
