Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 339957 to 339957
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 339957 to run 339957  lasting from Fri Nov  3 10:55:13 2017 UTC to Sat Nov  4 13:33:45 2017 UTC
Event Veto ['MiniNoiseBurst'], Fri Nov  3 13:58:29 2017 UTC-Fri Nov  3 13:58:29 2017 UTC (0.001 )  Time stamp start 1509717509414522770 end 1509717509413522770  Run 339957, LB 217, lumi 15.05
Event Veto ['MiniNoiseBurst'], Fri Nov  3 13:58:32 2017 UTC-Fri Nov  3 13:58:32 2017 UTC (0.001 )  Time stamp start 1509717512839891135 end 1509717512838891135  Run 339957, LB 217, lumi 15.05
Event Veto ['MiniNoiseBurst'], Fri Nov  3 13:58:44 2017 UTC-Fri Nov  3 13:58:44 2017 UTC (0.001 )  Time stamp start 1509717524456152080 end 1509717524455152080  Run 339957, LB 217, lumi 15.05
Event Veto ['MiniNoiseBurst'], Fri Nov  3 14:00:34 2017 UTC-Fri Nov  3 14:00:34 2017 UTC (0.001 )  Time stamp start 1509717634769149225 end 1509717634768149225  Run 339957, LB 220, lumi 15.08
Event Veto ['MiniNoiseBurst'], Fri Nov  3 14:01:04 2017 UTC-Fri Nov  3 14:01:04 2017 UTC (0.001 )  Time stamp start 1509717664312483065 end 1509717664311483065  Run 339957, LB 221, lumi 15.00
Event Veto ['MiniNoiseBurst'], Fri Nov  3 14:01:13 2017 UTC-Fri Nov  3 14:01:13 2017 UTC (0.001 )  Time stamp start 1509717673844210365 end 1509717673843210365  Run 339957, LB 221, lumi 15.00
Event Veto ['MiniNoiseBurst'], Fri Nov  3 14:02:11 2017 UTC-Fri Nov  3 14:02:11 2017 UTC (0.002 )  Time stamp start 1509717731999820115 end 1509717731998032195  Run 339957, LB 223, lumi 26.75
Event Veto ['MiniNoiseBurst'], Fri Nov  3 14:02:21 2017 UTC-Fri Nov  3 14:02:21 2017 UTC (0.001 )  Time stamp start 1509717741365053600 end 1509717741364053600  Run 339957, LB 223, lumi 14.96
Event Veto ['MiniNoiseBurst'], Fri Nov  3 14:03:01 2017 UTC-Fri Nov  3 14:03:01 2017 UTC (0.001 )  Time stamp start 1509717781854916285 end 1509717781853916285  Run 339957, LB 223, lumi 14.96
Event Veto ['MiniNoiseBurst'], Fri Nov  3 14:03:43 2017 UTC-Fri Nov  3 14:03:43 2017 UTC (0.001 )  Time stamp start 1509717823553291465 end 1509717823552291465  Run 339957, LB 225, lumi 14.96
