Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 305727 to 305727
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 305727 to run 305727  lasting from Sun Aug  7 01:31:39 2016 UTC to Sun Aug  7 05:36:22 2016 UTC
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:02:08 2016 UTC-Sun Aug  7 02:02:08 2016 UTC (0.001 )  Time stamp start 1470535328648727480 end 1470535328647727355  Run 305727, LB 39, lumi 5.30
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:02:20 2016 UTC-Sun Aug  7 02:02:20 2016 UTC (0.001 )  Time stamp start 1470535340053886720 end 1470535340052886720  Run 305727, LB 40, lumi 5.30
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:02:51 2016 UTC-Sun Aug  7 02:02:51 2016 UTC (0.001 )  Time stamp start 1470535371446524015 end 1470535371445524015  Run 305727, LB 40, lumi 5.30
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:03:26 2016 UTC-Sun Aug  7 02:03:26 2016 UTC (0.001 )  Time stamp start 1470535406176568945 end 1470535406175568820  Run 305727, LB 41, lumi 5.30
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:03:59 2016 UTC-Sun Aug  7 02:03:59 2016 UTC (0.001 )  Time stamp start 1470535439223900390 end 1470535439222900390  Run 305727, LB 41, lumi 5.30
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:04:21 2016 UTC-Sun Aug  7 02:04:21 2016 UTC (0.001 )  Time stamp start 1470535461863644055 end 1470535461862644055  Run 305727, LB 42, lumi 5.30
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:04:32 2016 UTC-Sun Aug  7 02:04:32 2016 UTC (0.001 )  Time stamp start 1470535472636407000 end 1470535472635406875  Run 305727, LB 42, lumi 5.30
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:04:43 2016 UTC-Sun Aug  7 02:04:43 2016 UTC (0.001 )  Time stamp start 1470535483724887950 end 1470535483723887950  Run 305727, LB 42, lumi 5.30
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:05:25 2016 UTC-Sun Aug  7 02:05:25 2016 UTC (0.001 )  Time stamp start 1470535525306080565 end 1470535525305080565  Run 305727, LB 43, lumi 5.29
Event Veto ['MiniNoiseBurst'], Sun Aug  7 02:05:36 2016 UTC-Sun Aug  7 02:05:36 2016 UTC (0.001 )  Time stamp start 1470535536558536310 end 1470535536557536310  Run 305727, LB 43, lumi 5.29
