Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 363129 to 363129
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 363129 to run 363129  lasting from Mon Oct  8 00:08:17 2018 UTC to Mon Oct  8 12:20:22 2018 UTC
Event Veto ['MiniNoiseBurst'], Mon Oct  8 01:36:32 2018 UTC-Mon Oct  8 01:36:32 2018 UTC (0.001 )  Time stamp start 1538962592288227820 end 1538962592287227820  Run 363129, LB 94, lumi 17.59
Event Veto ['MiniNoiseBurst'], Mon Oct  8 01:36:57 2018 UTC-Mon Oct  8 01:36:57 2018 UTC (0.001 )  Time stamp start 1538962617434577740 end 1538962617433577740  Run 363129, LB 95, lumi 17.62
Event Veto ['MiniNoiseBurst'], Mon Oct  8 01:37:22 2018 UTC-Mon Oct  8 01:37:22 2018 UTC (0.001 )  Time stamp start 1538962642254742970 end 1538962642253742970  Run 363129, LB 95, lumi 17.62
Event Veto ['NoiseBurst'], Mon Oct  8 01:38:10 2018 UTC-Mon Oct  8 01:38:10 2018 UTC (0.001 )  Time stamp start 1538962690705963810 end 1538962690704871120  Run 363129, LB 96, lumi 18.76
Event Veto ['MiniNoiseBurst'], Mon Oct  8 01:38:21 2018 UTC-Mon Oct  8 01:38:21 2018 UTC (0.001 )  Time stamp start 1538962701200482270 end 1538962701199482270  Run 363129, LB 96, lumi 17.17
Event Veto ['NoiseBurst'], Mon Oct  8 01:38:38 2018 UTC-Mon Oct  8 01:38:38 2018 UTC (0.001 )  Time stamp start 1538962718937186285 end 1538962718936185910  Run 363129, LB 97, lumi 16.27
Event Veto ['NoiseBurst'], Mon Oct  8 01:38:41 2018 UTC-Mon Oct  8 01:38:41 2018 UTC (0.001 )  Time stamp start 1538962721220254170 end 1538962721219131385  Run 363129, LB 97, lumi 18.26
Event Veto ['NoiseBurst'], Mon Oct  8 01:39:17 2018 UTC-Mon Oct  8 01:39:17 2018 UTC (0.001 )  Time stamp start 1538962757435570680 end 1538962757434478940  Run 363129, LB 97, lumi 17.75
Event Veto ['MiniNoiseBurst'], Mon Oct  8 01:40:17 2018 UTC-Mon Oct  8 01:40:17 2018 UTC (0.001 )  Time stamp start 1538962817463320915 end 1538962817462320915  Run 363129, LB 98, lumi 17.63
Event Veto ['NoiseBurst'], Mon Oct  8 01:40:50 2018 UTC-Mon Oct  8 01:40:50 2018 UTC (0.002 )  Time stamp start 1538962850699187745 end 1538962850697323080  Run 363129, LB 99, lumi 33.16
