Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 311321 to 311321
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 311321 to run 311321  lasting from Sun Oct 23 20:48:42 2016 UTC to Mon Oct 24 13:46:58 2016 UTC
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:23:59 2016 UTC-Sun Oct 23 22:23:59 2016 UTC (0.001 )  Time stamp start 1477261439352062880 end 1477261439351062880  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:23:59 2016 UTC-Sun Oct 23 22:23:59 2016 UTC (0.001 )  Time stamp start 1477261439468205955 end 1477261439467205955  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:23:59 2016 UTC-Sun Oct 23 22:23:59 2016 UTC (0.001 )  Time stamp start 1477261439552862515 end 1477261439551862515  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:23:59 2016 UTC-Sun Oct 23 22:23:59 2016 UTC (0.001 )  Time stamp start 1477261439630167270 end 1477261439629166970  Run 311321, LB 99, lumi 2.77
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:23:59 2016 UTC-Sun Oct 23 22:23:59 2016 UTC (0.001 )  Time stamp start 1477261439719594685 end 1477261439718594685  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:23:59 2016 UTC-Sun Oct 23 22:23:59 2016 UTC (0.001 )  Time stamp start 1477261439990232590 end 1477261439989232590  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:00 2016 UTC-Sun Oct 23 22:24:00 2016 UTC (0.001 )  Time stamp start 1477261440139400965 end 1477261440137978970  Run 311321, LB 99, lumi 3.93
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:00 2016 UTC-Sun Oct 23 22:24:00 2016 UTC (0.001 )  Time stamp start 1477261440287051235 end 1477261440286051235  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:00 2016 UTC-Sun Oct 23 22:24:00 2016 UTC (0.001 )  Time stamp start 1477261440382809875 end 1477261440381809875  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:00 2016 UTC-Sun Oct 23 22:24:00 2016 UTC (0.001 )  Time stamp start 1477261440470465270 end 1477261440469465270  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:00 2016 UTC-Sun Oct 23 22:24:00 2016 UTC (0.001 )  Time stamp start 1477261440553364105 end 1477261440552364105  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:00 2016 UTC-Sun Oct 23 22:24:00 2016 UTC (0.001 )  Time stamp start 1477261440626563560 end 1477261440625563560  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:00 2016 UTC-Sun Oct 23 22:24:00 2016 UTC (0.001 )  Time stamp start 1477261440743737225 end 1477261440742737225  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:00 2016 UTC-Sun Oct 23 22:24:00 2016 UTC (0.001 )  Time stamp start 1477261440893012235 end 1477261440892012235  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:01 2016 UTC-Sun Oct 23 22:24:01 2016 UTC (0.001 )  Time stamp start 1477261441017840660 end 1477261441016840660  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:01 2016 UTC-Sun Oct 23 22:24:01 2016 UTC (0.001 )  Time stamp start 1477261441133964350 end 1477261441132964350  Run 311321, LB 99, lumi 2.76
Event Veto ['MiniNoiseBurst'], Sun Oct 23 22:24:01 2016 UTC-Sun Oct 23 22:24:01 2016 UTC (0.001 )  Time stamp start 1477261441362244255 end 1477261441361244255  Run 311321, LB 99, lumi 2.76
