Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 338498 to 338498
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 338498 to run 338498  lasting from Wed Oct 18 09:58:38 2017 UTC to Wed Oct 18 19:17:53 2017 UTC
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086410947380 end 1508321086409946680  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086422919095 end 1508321086421775405  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086434844550 end 1508321086433844005  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086440954875 end 1508321086439954055  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086452817110 end 1508321086451816335  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086458870345 end 1508321086457869545  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086464854545 end 1508321086463853720  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086470753235 end 1508321086469752410  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086482866270 end 1508321086481865475  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086488829710 end 1508321086487829015  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086494974495 end 1508321086493973695  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086506809825 end 1508321086505809030  Run 338498, LB 10, lumi 0.00
Event Veto ['NoiseBurst'], Wed Oct 18 10:04:46 2017 UTC-Wed Oct 18 10:04:46 2017 UTC (0.001 )  Time stamp start 1508321086512835970 end 1508321086511835145  Run 338498, LB 10, lumi 0.00
