Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 311287 to 311287
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 311287 to run 311287  lasting from Sun Oct 23 02:42:08 2016 UTC to Sun Oct 23 19:40:54 2016 UTC
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:34:30 2016 UTC-Sun Oct 23 03:34:30 2016 UTC (0.001 )  Time stamp start 1477193670237061890 end 1477193670236061890  Run 311287, LB 63, lumi 12.07
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:34:31 2016 UTC-Sun Oct 23 03:34:31 2016 UTC (0.001 )  Time stamp start 1477193671889200720 end 1477193671888200720  Run 311287, LB 63, lumi 12.07
Event Veto ['NoiseBurst'], Sun Oct 23 03:34:33 2016 UTC-Sun Oct 23 03:34:33 2016 UTC (0.000 )  Time stamp start 1477193673993341610 end 1477193673993341110  Run 311287, LB 63, lumi 0.01
Event Veto ['NoiseBurst'], Sun Oct 23 03:34:33 2016 UTC-Sun Oct 23 03:34:34 2016 UTC (0.010 )  Time stamp start 1477193674003341880 end 1477193673993341610  Run 311287, LB 63, lumi 120.70
Event Veto ['NoiseBurst'], Sun Oct 23 03:34:34 2016 UTC-Sun Oct 23 03:34:34 2016 UTC (0.000 )  Time stamp start 1477193674003376840 end 1477193674003341880  Run 311287, LB 63, lumi 0.42
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:34:34 2016 UTC-Sun Oct 23 03:34:34 2016 UTC (0.001 )  Time stamp start 1477193674405736230 end 1477193674404736230  Run 311287, LB 63, lumi 12.07
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:34:38 2016 UTC-Sun Oct 23 03:34:38 2016 UTC (0.001 )  Time stamp start 1477193678727747140 end 1477193678726747140  Run 311287, LB 63, lumi 12.07
Event Veto ['MiniNoiseBurst'], Sun Oct 23 03:34:40 2016 UTC-Sun Oct 23 03:34:40 2016 UTC (0.001 )  Time stamp start 1477193680377963885 end 1477193680376963885  Run 311287, LB 63, lumi 12.07
Event Veto ['NoiseBurst'], Sun Oct 23 03:34:42 2016 UTC-Sun Oct 23 03:34:42 2016 UTC (0.010 )  Time stamp start 1477193682341835025 end 1477193682331745175  Run 311287, LB 63, lumi 121.78
Event Veto ['NoiseBurst'], Sun Oct 23 03:34:42 2016 UTC-Sun Oct 23 03:34:42 2016 UTC (0.000 )  Time stamp start 1477193682341858205 end 1477193682341835025  Run 311287, LB 63, lumi 0.28
