Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 336998 to 336998
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 336998 to run 336998  lasting from Sun Oct  1 22:36:38 2017 UTC to Mon Oct  2 03:36:50 2017 UTC
Event Veto ['MiniNoiseBurst'], Mon Oct  2 00:07:28 2017 UTC-Mon Oct  2 00:07:28 2017 UTC (0.001 )  Time stamp start 1506902848622088775 end 1506902848621087705  Run 336998, LB 104, lumi 14.72
Event Veto ['MiniNoiseBurst'], Mon Oct  2 00:07:29 2017 UTC-Mon Oct  2 00:07:29 2017 UTC (0.001 )  Time stamp start 1506902849958528260 end 1506902849957528260  Run 336998, LB 104, lumi 14.70
Event Veto ['MiniNoiseBurst'], Mon Oct  2 00:07:33 2017 UTC-Mon Oct  2 00:07:33 2017 UTC (0.001 )  Time stamp start 1506902853475583435 end 1506902853474582365  Run 336998, LB 104, lumi 14.72
Event Veto ['MiniNoiseBurst'], Mon Oct  2 00:07:40 2017 UTC-Mon Oct  2 00:07:40 2017 UTC (0.001 )  Time stamp start 1506902860092773670 end 1506902860091772595  Run 336998, LB 104, lumi 14.72
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Oct  2 00:07:43 2017 UTC-Mon Oct  2 00:07:43 2017 UTC (0.001 )  Time stamp start 1506902863330389170 end 1506902863329389170  Run 336998, LB 104, lumi 14.70
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Oct  2 00:07:47 2017 UTC-Mon Oct  2 00:07:47 2017 UTC (0.001 )  Time stamp start 1506902867062842610 end 1506902867061842610  Run 336998, LB 104, lumi 14.70
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Oct  2 00:07:50 2017 UTC-Mon Oct  2 00:07:50 2017 UTC (0.001 )  Time stamp start 1506902870183024360 end 1506902870182024235  Run 336998, LB 104, lumi 14.70
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Oct  2 00:07:55 2017 UTC-Mon Oct  2 00:07:55 2017 UTC (0.001 )  Time stamp start 1506902875046566360 end 1506902875045566110  Run 336998, LB 104, lumi 14.70
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Oct  2 00:07:58 2017 UTC-Mon Oct  2 00:07:58 2017 UTC (0.001 )  Time stamp start 1506902878710502645 end 1506902878709502345  Run 336998, LB 104, lumi 14.70
Event Veto ['MiniNoiseBurst'], Mon Oct  2 00:08:02 2017 UTC-Mon Oct  2 00:08:02 2017 UTC (0.001 )  Time stamp start 1506902882774632005 end 1506902882773630755  Run 336998, LB 105, lumi 14.69
