Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 338897 to 338897
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 338897 to run 338897  lasting from Sat Oct 21 23:29:34 2017 UTC to Sun Oct 22 11:06:38 2017 UTC
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:06:41 2017 UTC-Sun Oct 22 00:06:41 2017 UTC (0.001 )  Time stamp start 1508630801969890440 end 1508630801968890440  Run 338897, LB 48, lumi 18.76
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:06:59 2017 UTC-Sun Oct 22 00:06:59 2017 UTC (0.001 )  Time stamp start 1508630819953017845 end 1508630819952017845  Run 338897, LB 48, lumi 18.76
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:07:02 2017 UTC-Sun Oct 22 00:07:02 2017 UTC (0.001 )  Time stamp start 1508630822966664945 end 1508630822965664945  Run 338897, LB 48, lumi 18.76
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:07:31 2017 UTC-Sun Oct 22 00:07:31 2017 UTC (0.001 )  Time stamp start 1508630851133473705 end 1508630851132473705  Run 338897, LB 49, lumi 16.08
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:07:37 2017 UTC-Sun Oct 22 00:07:37 2017 UTC (0.001 )  Time stamp start 1508630857242550470 end 1508630857241550470  Run 338897, LB 49, lumi 16.08
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:07:39 2017 UTC-Sun Oct 22 00:07:39 2017 UTC (0.001 )  Time stamp start 1508630859874232005 end 1508630859873232005  Run 338897, LB 49, lumi 16.08
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:07:57 2017 UTC-Sun Oct 22 00:07:57 2017 UTC (0.001 )  Time stamp start 1508630877751021005 end 1508630877750021005  Run 338897, LB 49, lumi 16.08
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:07:59 2017 UTC-Sun Oct 22 00:07:59 2017 UTC (0.001 )  Time stamp start 1508630879503090420 end 1508630879502090420  Run 338897, LB 49, lumi 16.08
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:09:34 2017 UTC-Sun Oct 22 00:09:34 2017 UTC (0.001 )  Time stamp start 1508630974617653245 end 1508630974616653245  Run 338897, LB 51, lumi 15.36
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:09:55 2017 UTC-Sun Oct 22 00:09:55 2017 UTC (0.001 )  Time stamp start 1508630995938708405 end 1508630995937708405  Run 338897, LB 51, lumi 15.36
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:10:56 2017 UTC-Sun Oct 22 00:10:56 2017 UTC (0.001 )  Time stamp start 1508631056707083950 end 1508631056706083950  Run 338897, LB 52, lumi 15.08
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:11:10 2017 UTC-Sun Oct 22 00:11:10 2017 UTC (0.001 )  Time stamp start 1508631070620415415 end 1508631070619415415  Run 338897, LB 52, lumi 15.08
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:12:09 2017 UTC-Sun Oct 22 00:12:09 2017 UTC (0.001 )  Time stamp start 1508631129784332795 end 1508631129783332795  Run 338897, LB 53, lumi 14.91
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:12:24 2017 UTC-Sun Oct 22 00:12:24 2017 UTC (0.001 )  Time stamp start 1508631144185275325 end 1508631144184275325  Run 338897, LB 54, lumi 15.04
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:12:31 2017 UTC-Sun Oct 22 00:12:31 2017 UTC (0.001 )  Time stamp start 1508631151037304865 end 1508631151036304865  Run 338897, LB 54, lumi 15.04
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:12:39 2017 UTC-Sun Oct 22 00:12:39 2017 UTC (0.001 )  Time stamp start 1508631159893863365 end 1508631159892863365  Run 338897, LB 54, lumi 15.04
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:12:43 2017 UTC-Sun Oct 22 00:12:43 2017 UTC (0.001 )  Time stamp start 1508631163720455955 end 1508631163719455955  Run 338897, LB 54, lumi 15.04
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:13:03 2017 UTC-Sun Oct 22 00:13:03 2017 UTC (0.001 )  Time stamp start 1508631183496635780 end 1508631183495635780  Run 338897, LB 54, lumi 15.04
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:13:10 2017 UTC-Sun Oct 22 00:13:10 2017 UTC (0.001 )  Time stamp start 1508631190910555140 end 1508631190909555140  Run 338897, LB 54, lumi 15.04
Event Veto ['MiniNoiseBurst'], Sun Oct 22 00:13:14 2017 UTC-Sun Oct 22 00:13:14 2017 UTC (0.001 )  Time stamp start 1508631194495509320 end 1508631194494509320  Run 338897, LB 54, lumi 15.04
