Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 309440 to 309440
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 309440 to run 309440  lasting from Tue Sep 27 08:38:32 2016 UTC to Wed Sep 28 04:51:15 2016 UTC
Event Veto ['MiniNoiseBurst'], Tue Sep 27 09:42:30 2016 UTC-Tue Sep 27 09:42:30 2016 UTC (0.010 )  Time stamp start 1474969350863940655 end 1474969350853940655  Run 309440, LB 70, lumi 99.13
Event Veto ['MiniNoiseBurst'], Tue Sep 27 09:42:34 2016 UTC-Tue Sep 27 09:42:34 2016 UTC (0.012 )  Time stamp start 1474969354543604305 end 1474969354531548340  Run 309440, LB 70, lumi 119.51
Event Veto ['MiniNoiseBurst'], Tue Sep 27 09:42:42 2016 UTC-Tue Sep 27 09:42:42 2016 UTC (0.010 )  Time stamp start 1474969362018126675 end 1474969362008126675  Run 309440, LB 70, lumi 99.13
Event Veto ['MiniNoiseBurst'], Tue Sep 27 09:42:45 2016 UTC-Tue Sep 27 09:42:45 2016 UTC (0.010 )  Time stamp start 1474969365981540545 end 1474969365971540420  Run 309440, LB 70, lumi 99.13
Event Veto ['MiniNoiseBurst'], Tue Sep 27 09:42:49 2016 UTC-Tue Sep 27 09:42:49 2016 UTC (0.010 )  Time stamp start 1474969369888197445 end 1474969369878197445  Run 309440, LB 71, lumi 82.13
Event Veto ['MiniNoiseBurst'], Tue Sep 27 09:43:02 2016 UTC-Tue Sep 27 09:43:02 2016 UTC (0.010 )  Time stamp start 1474969382096860330 end 1474969382086860330  Run 309440, LB 71, lumi 82.13
Event Veto ['NoiseBurst'], Tue Sep 27 09:43:03 2016 UTC-Tue Sep 27 09:43:03 2016 UTC (0.011 )  Time stamp start 1474969383894580170 end 1474969383883733090  Run 309440, LB 71, lumi 89.08
Event Veto ['NoiseBurst'], Tue Sep 27 09:43:16 2016 UTC-Tue Sep 27 09:43:16 2016 UTC (0.010 )  Time stamp start 1474969396834040850 end 1474969396824037730  Run 309440, LB 71, lumi 82.15
Event Veto ['MiniNoiseBurst'], Tue Sep 27 09:43:20 2016 UTC-Tue Sep 27 09:43:20 2016 UTC (0.010 )  Time stamp start 1474969400072431770 end 1474969400062431520  Run 309440, LB 71, lumi 82.13
Event Veto ['NoiseBurst'], Tue Sep 27 09:43:24 2016 UTC-Tue Sep 27 09:43:24 2016 UTC (0.010 )  Time stamp start 1474969404201745605 end 1474969404191745430  Run 309440, LB 71, lumi 82.13
Event Veto ['NoiseBurst'], Tue Sep 27 09:43:38 2016 UTC-Tue Sep 27 09:43:38 2016 UTC (0.010 )  Time stamp start 1474969418376119615 end 1474969418366011755  Run 309440, LB 71, lumi 83.01
Event Veto ['MiniNoiseBurst'], Tue Sep 27 09:43:56 2016 UTC-Tue Sep 27 09:43:56 2016 UTC (0.010 )  Time stamp start 1474969436995330580 end 1474969436985330580  Run 309440, LB 72, lumi 86.81
Event Veto ['MiniNoiseBurst'], Tue Sep 27 09:44:01 2016 UTC-Tue Sep 27 09:44:01 2016 UTC (0.010 )  Time stamp start 1474969441556620350 end 1474969441546619025  Run 309440, LB 72, lumi 86.82
Event Veto ['MiniNoiseBurst'], Tue Sep 27 09:44:06 2016 UTC-Tue Sep 27 09:44:06 2016 UTC (0.010 )  Time stamp start 1474969446260562855 end 1474969446250562705  Run 309440, LB 72, lumi 86.81
