Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 337156 to 337156
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 337156 to run 337156  lasting from Tue Oct  3 23:54:09 2017 UTC to Wed Oct  4 05:21:39 2017 UTC
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:12:14 2017 UTC-Wed Oct  4 03:12:14 2017 UTC (0.001 )  Time stamp start 1507086734729915940 end 1507086734728914915  Run 337156, LB 207, lumi 17.39
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Oct  4 03:12:16 2017 UTC-Wed Oct  4 03:12:16 2017 UTC (0.001 )  Time stamp start 1507086736566477780 end 1507086736565477780  Run 337156, LB 207, lumi 17.37
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:12:18 2017 UTC-Wed Oct  4 03:12:18 2017 UTC (0.001 )  Time stamp start 1507086738343571930 end 1507086738342571505  Run 337156, LB 207, lumi 17.38
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:12:20 2017 UTC-Wed Oct  4 03:12:20 2017 UTC (0.002 )  Time stamp start 1507086740229940590 end 1507086740227982430  Run 337156, LB 207, lumi 34.01
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Oct  4 03:12:22 2017 UTC-Wed Oct  4 03:12:22 2017 UTC (0.001 )  Time stamp start 1507086742251216595 end 1507086742250216595  Run 337156, LB 207, lumi 17.37
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Oct  4 03:12:24 2017 UTC-Wed Oct  4 03:12:24 2017 UTC (0.001 )  Time stamp start 1507086744227871875 end 1507086744226871875  Run 337156, LB 207, lumi 17.37
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Oct  4 03:12:26 2017 UTC-Wed Oct  4 03:12:26 2017 UTC (0.001 )  Time stamp start 1507086746096001120 end 1507086746095001120  Run 337156, LB 207, lumi 17.37
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:12:28 2017 UTC-Wed Oct  4 03:12:28 2017 UTC (0.001 )  Time stamp start 1507086748188476355 end 1507086748187475830  Run 337156, LB 207, lumi 17.38
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Oct  4 03:12:46 2017 UTC-Wed Oct  4 03:12:46 2017 UTC (0.001 )  Time stamp start 1507086766564348360 end 1507086766563348360  Run 337156, LB 208, lumi 16.88
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:12:53 2017 UTC-Wed Oct  4 03:12:53 2017 UTC (0.001 )  Time stamp start 1507086773291712600 end 1507086773290712600  Run 337156, LB 208, lumi 16.88
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:13:17 2017 UTC-Wed Oct  4 03:13:17 2017 UTC (0.001 )  Time stamp start 1507086797021430780 end 1507086797020430780  Run 337156, LB 208, lumi 16.88
Event Veto ['NoiseBurst'], Wed Oct  4 03:13:21 2017 UTC-Wed Oct  4 03:13:21 2017 UTC (0.001 )  Time stamp start 1507086801350876780 end 1507086801349876430  Run 337156, LB 208, lumi 16.89
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:13:28 2017 UTC-Wed Oct  4 03:13:28 2017 UTC (0.001 )  Time stamp start 1507086808421763445 end 1507086808420763445  Run 337156, LB 208, lumi 16.88
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:13:41 2017 UTC-Wed Oct  4 03:13:41 2017 UTC (0.001 )  Time stamp start 1507086821518195120 end 1507086821517195120  Run 337156, LB 209, lumi 14.72
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:13:42 2017 UTC-Wed Oct  4 03:13:42 2017 UTC (0.001 )  Time stamp start 1507086822526179090 end 1507086822525179090  Run 337156, LB 209, lumi 14.72
Event Veto ['NoiseBurst'], Wed Oct  4 03:13:54 2017 UTC-Wed Oct  4 03:13:54 2017 UTC (0.001 )  Time stamp start 1507086834452632650 end 1507086834451632400  Run 337156, LB 209, lumi 14.72
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:14:12 2017 UTC-Wed Oct  4 03:14:12 2017 UTC (0.001 )  Time stamp start 1507086852131524690 end 1507086852130524690  Run 337156, LB 209, lumi 14.72
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:14:18 2017 UTC-Wed Oct  4 03:14:18 2017 UTC (0.001 )  Time stamp start 1507086858544758745 end 1507086858543758745  Run 337156, LB 209, lumi 14.72
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:14:47 2017 UTC-Wed Oct  4 03:14:47 2017 UTC (0.001 )  Time stamp start 1507086887650172445 end 1507086887649172445  Run 337156, LB 210, lumi 14.85
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:15:29 2017 UTC-Wed Oct  4 03:15:29 2017 UTC (0.001 )  Time stamp start 1507086929798137845 end 1507086929797136870  Run 337156, LB 210, lumi 14.87
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Oct  4 03:15:31 2017 UTC-Wed Oct  4 03:15:31 2017 UTC (0.001 )  Time stamp start 1507086931846963285 end 1507086931845963285  Run 337156, LB 210, lumi 14.85
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:15:35 2017 UTC-Wed Oct  4 03:15:35 2017 UTC (0.001 )  Time stamp start 1507086935484104260 end 1507086935483103115  Run 337156, LB 211, lumi 14.94
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Oct  4 03:15:37 2017 UTC-Wed Oct  4 03:15:37 2017 UTC (0.001 )  Time stamp start 1507086937791141560 end 1507086937790141560  Run 337156, LB 211, lumi 14.92
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:15:39 2017 UTC-Wed Oct  4 03:15:39 2017 UTC (0.001 )  Time stamp start 1507086939369562205 end 1507086939368562205  Run 337156, LB 211, lumi 14.92
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:15:39 2017 UTC-Wed Oct  4 03:15:39 2017 UTC (0.002 )  Time stamp start 1507086939862558100 end 1507086939860578560  Run 337156, LB 211, lumi 29.54
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:15:42 2017 UTC-Wed Oct  4 03:15:42 2017 UTC (0.001 )  Time stamp start 1507086942146470030 end 1507086942145469380  Run 337156, LB 211, lumi 14.93
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:15:44 2017 UTC-Wed Oct  4 03:15:44 2017 UTC (0.001 )  Time stamp start 1507086944319954905 end 1507086944318954730  Run 337156, LB 211, lumi 14.93
Event Veto ['MiniNoiseBurst'], Wed Oct  4 03:15:46 2017 UTC-Wed Oct  4 03:15:46 2017 UTC (0.001 )  Time stamp start 1507086946474436520 end 1507086946473435700  Run 337156, LB 211, lumi 14.94
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Oct  4 03:15:48 2017 UTC-Wed Oct  4 03:15:48 2017 UTC (0.001 )  Time stamp start 1507086948916017590 end 1507086948915017590  Run 337156, LB 211, lumi 14.92
