Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 331875 to 331875
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 331875 to run 331875  lasting from Mon Aug  7 14:31:27 2017 UTC to Tue Aug  8 08:21:29 2017 UTC
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:30:12 2017 UTC-Mon Aug  7 15:30:12 2017 UTC (0.001 )  Time stamp start 1502119812279326455 end 1502119812278325285  Run 331875, LB 63, lumi 11.53
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:30:15 2017 UTC-Mon Aug  7 15:30:15 2017 UTC (0.001 )  Time stamp start 1502119815586012345 end 1502119815585011670  Run 331875, LB 63, lumi 11.52
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:30:19 2017 UTC-Mon Aug  7 15:30:19 2017 UTC (0.001 )  Time stamp start 1502119819282275235 end 1502119819281274810  Run 331875, LB 63, lumi 11.52
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:30:23 2017 UTC-Mon Aug  7 15:30:23 2017 UTC (0.001 )  Time stamp start 1502119823119573880 end 1502119823118573580  Run 331875, LB 63, lumi 11.52
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:30:27 2017 UTC-Mon Aug  7 15:30:27 2017 UTC (0.001 )  Time stamp start 1502119827844419880 end 1502119827843418605  Run 331875, LB 63, lumi 11.53
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:30:31 2017 UTC-Mon Aug  7 15:30:31 2017 UTC (0.001 )  Time stamp start 1502119831764958155 end 1502119831763957855  Run 331875, LB 63, lumi 11.52
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:30:36 2017 UTC-Mon Aug  7 15:30:36 2017 UTC (0.001 )  Time stamp start 1502119836694886415 end 1502119836693885015  Run 331875, LB 63, lumi 11.53
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Aug  7 15:30:41 2017 UTC-Mon Aug  7 15:30:41 2017 UTC (0.001 )  Time stamp start 1502119841359176225 end 1502119841358176225  Run 331875, LB 64, lumi 10.77
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:30:49 2017 UTC-Mon Aug  7 15:30:49 2017 UTC (0.001 )  Time stamp start 1502119849515572115 end 1502119849514571265  Run 331875, LB 64, lumi 10.78
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Aug  7 15:30:52 2017 UTC-Mon Aug  7 15:30:52 2017 UTC (0.001 )  Time stamp start 1502119852823331430 end 1502119852822331430  Run 331875, LB 64, lumi 10.77
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:30:57 2017 UTC-Mon Aug  7 15:30:57 2017 UTC (0.001 )  Time stamp start 1502119857093151545 end 1502119857092150150  Run 331875, LB 64, lumi 10.78
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:31:00 2017 UTC-Mon Aug  7 15:31:00 2017 UTC (0.001 )  Time stamp start 1502119860465899780 end 1502119860464898680  Run 331875, LB 64, lumi 10.78
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Aug  7 15:31:03 2017 UTC-Mon Aug  7 15:31:03 2017 UTC (0.001 )  Time stamp start 1502119863683200740 end 1502119863682200740  Run 331875, LB 64, lumi 10.77
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Aug  7 15:31:07 2017 UTC-Mon Aug  7 15:31:07 2017 UTC (0.001 )  Time stamp start 1502119867363148340 end 1502119867362148215  Run 331875, LB 64, lumi 10.77
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:31:11 2017 UTC-Mon Aug  7 15:31:11 2017 UTC (0.001 )  Time stamp start 1502119871175113900 end 1502119871174112530  Run 331875, LB 64, lumi 10.78
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:31:14 2017 UTC-Mon Aug  7 15:31:14 2017 UTC (0.001 )  Time stamp start 1502119874327436420 end 1502119874326435875  Run 331875, LB 64, lumi 10.77
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:31:15 2017 UTC-Mon Aug  7 15:31:15 2017 UTC (0.001 )  Time stamp start 1502119875184615385 end 1502119875183615010  Run 331875, LB 64, lumi 10.77
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:31:17 2017 UTC-Mon Aug  7 15:31:17 2017 UTC (0.001 )  Time stamp start 1502119877838111295 end 1502119877837110050  Run 331875, LB 64, lumi 10.78
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:31:21 2017 UTC-Mon Aug  7 15:31:21 2017 UTC (0.001 )  Time stamp start 1502119881699240465 end 1502119881698239890  Run 331875, LB 64, lumi 10.77
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:31:27 2017 UTC-Mon Aug  7 15:31:27 2017 UTC (0.001 )  Time stamp start 1502119887034333255 end 1502119887033332605  Run 331875, LB 64, lumi 10.77
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:31:30 2017 UTC-Mon Aug  7 15:31:30 2017 UTC (0.001 )  Time stamp start 1502119890620346785 end 1502119890619346485  Run 331875, LB 64, lumi 10.77
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:31:34 2017 UTC-Mon Aug  7 15:31:34 2017 UTC (0.001 )  Time stamp start 1502119894182012885 end 1502119894181012560  Run 331875, LB 64, lumi 10.77
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:31:34 2017 UTC-Mon Aug  7 15:31:34 2017 UTC (0.001 )  Time stamp start 1502119894995738790 end 1502119894994738790  Run 331875, LB 64, lumi 10.77
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:31:38 2017 UTC-Mon Aug  7 15:31:38 2017 UTC (0.001 )  Time stamp start 1502119898490322310 end 1502119898489321635  Run 331875, LB 64, lumi 10.77
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:31:43 2017 UTC-Mon Aug  7 15:31:43 2017 UTC (0.001 )  Time stamp start 1502119903455164285 end 1502119903454163240  Run 331875, LB 65, lumi 14.55
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:31:46 2017 UTC-Mon Aug  7 15:31:46 2017 UTC (0.001 )  Time stamp start 1502119906552999060 end 1502119906551998035  Run 331875, LB 65, lumi 14.55
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:31:49 2017 UTC-Mon Aug  7 15:31:49 2017 UTC (0.001 )  Time stamp start 1502119909380631420 end 1502119909379631145  Run 331875, LB 65, lumi 14.54
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:31:49 2017 UTC-Mon Aug  7 15:31:49 2017 UTC (0.001 )  Time stamp start 1502119909942048135 end 1502119909941048135  Run 331875, LB 65, lumi 14.54
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:31:51 2017 UTC-Mon Aug  7 15:31:51 2017 UTC (0.001 )  Time stamp start 1502119911583963915 end 1502119911582963415  Run 331875, LB 65, lumi 14.55
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:31:54 2017 UTC-Mon Aug  7 15:31:54 2017 UTC (0.001 )  Time stamp start 1502119914237220020 end 1502119914236218570  Run 331875, LB 65, lumi 14.56
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Aug  7 15:31:56 2017 UTC-Mon Aug  7 15:31:56 2017 UTC (0.001 )  Time stamp start 1502119916421083005 end 1502119916420082880  Run 331875, LB 65, lumi 14.54
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:31:59 2017 UTC-Mon Aug  7 15:31:59 2017 UTC (0.001 )  Time stamp start 1502119919029737565 end 1502119919028736620  Run 331875, LB 65, lumi 14.55
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:31:59 2017 UTC-Mon Aug  7 15:31:59 2017 UTC (0.001 )  Time stamp start 1502119919103224330 end 1502119919102223955  Run 331875, LB 65, lumi 14.55
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:32:01 2017 UTC-Mon Aug  7 15:32:01 2017 UTC (0.001 )  Time stamp start 1502119921340469200 end 1502119921339468200  Run 331875, LB 65, lumi 14.55
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Aug  7 15:32:03 2017 UTC-Mon Aug  7 15:32:03 2017 UTC (0.001 )  Time stamp start 1502119923678548960 end 1502119923677548835  Run 331875, LB 65, lumi 14.54
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:32:06 2017 UTC-Mon Aug  7 15:32:06 2017 UTC (0.001 )  Time stamp start 1502119926007684855 end 1502119926006684705  Run 331875, LB 65, lumi 14.54
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:32:08 2017 UTC-Mon Aug  7 15:32:08 2017 UTC (0.001 )  Time stamp start 1502119928609575700 end 1502119928608575400  Run 331875, LB 65, lumi 14.54
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Aug  7 15:32:10 2017 UTC-Mon Aug  7 15:32:10 2017 UTC (0.001 )  Time stamp start 1502119930898990290 end 1502119930897990165  Run 331875, LB 65, lumi 14.54
Event Veto ['MiniNoiseBurst'], Mon Aug  7 15:32:13 2017 UTC-Mon Aug  7 15:32:13 2017 UTC (0.001 )  Time stamp start 1502119933236290990 end 1502119933235289570  Run 331875, LB 65, lumi 14.56
