Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 305380 to 305380
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 305380 to run 305380  lasting from Mon Aug  1 22:23:36 2016 UTC to Tue Aug  2 10:42:25 2016 UTC
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:28:46 2016 UTC-Mon Aug  1 23:28:46 2016 UTC (0.001 )  Time stamp start 1470094126235064065 end 1470094126234064065  Run 305380, LB 73, lumi 11.51
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:29:20 2016 UTC-Mon Aug  1 23:29:20 2016 UTC (0.001 )  Time stamp start 1470094160288435665 end 1470094160287435665  Run 305380, LB 74, lumi 11.49
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:29:33 2016 UTC-Mon Aug  1 23:29:33 2016 UTC (0.001 )  Time stamp start 1470094173154341440 end 1470094173153341440  Run 305380, LB 74, lumi 11.49
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:29:46 2016 UTC-Mon Aug  1 23:29:46 2016 UTC (0.001 )  Time stamp start 1470094186037754075 end 1470094186036754075  Run 305380, LB 74, lumi 11.49
Event Veto ['NoiseBurst'], Mon Aug  1 23:29:46 2016 UTC-Mon Aug  1 23:29:46 2016 UTC (0.019 )  Time stamp start 1470094186461511830 end 1470094186442979025  Run 305380, LB 74, lumi 212.95
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:29:54 2016 UTC-Mon Aug  1 23:29:54 2016 UTC (0.001 )  Time stamp start 1470094194694919035 end 1470094194693918910  Run 305380, LB 74, lumi 11.49
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:30:41 2016 UTC-Mon Aug  1 23:30:41 2016 UTC (0.001 )  Time stamp start 1470094241776979620 end 1470094241775979620  Run 305380, LB 75, lumi 11.46
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:30:46 2016 UTC-Mon Aug  1 23:30:46 2016 UTC (0.001 )  Time stamp start 1470094246200480085 end 1470094246199480085  Run 305380, LB 75, lumi 11.46
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:31:14 2016 UTC-Mon Aug  1 23:31:14 2016 UTC (0.001 )  Time stamp start 1470094274186355930 end 1470094274185355930  Run 305380, LB 76, lumi 11.45
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:31:41 2016 UTC-Mon Aug  1 23:31:41 2016 UTC (0.001 )  Time stamp start 1470094301621153650 end 1470094301620153650  Run 305380, LB 76, lumi 11.45
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:31:49 2016 UTC-Mon Aug  1 23:31:49 2016 UTC (0.001 )  Time stamp start 1470094309854760340 end 1470094309853760215  Run 305380, LB 76, lumi 11.45
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:31:58 2016 UTC-Mon Aug  1 23:31:58 2016 UTC (0.001 )  Time stamp start 1470094318368230445 end 1470094318367230070  Run 305380, LB 76, lumi 11.45
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:32:16 2016 UTC-Mon Aug  1 23:32:16 2016 UTC (0.001 )  Time stamp start 1470094336017182980 end 1470094336016182980  Run 305380, LB 77, lumi 11.42
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:32:37 2016 UTC-Mon Aug  1 23:32:37 2016 UTC (0.001 )  Time stamp start 1470094357438535635 end 1470094357437535635  Run 305380, LB 77, lumi 11.42
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:33:07 2016 UTC-Mon Aug  1 23:33:07 2016 UTC (0.001 )  Time stamp start 1470094387780051105 end 1470094387779050980  Run 305380, LB 77, lumi 11.43
Event Veto ['MiniNoiseBurst'], Mon Aug  1 23:33:16 2016 UTC-Mon Aug  1 23:33:16 2016 UTC (0.001 )  Time stamp start 1470094396422857130 end 1470094396421857130  Run 305380, LB 78, lumi 11.40
