Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 339535 to 339535
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 339535 to run 339535  lasting from Mon Oct 30 18:22:30 2017 UTC to Tue Oct 31 01:03:09 2017 UTC
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:31:51 2017 UTC-Mon Oct 30 20:31:51 2017 UTC (0.001 )  Time stamp start 1509395511481325940 end 1509395511480325940  Run 339535, LB 137, lumi 15.41
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:32:15 2017 UTC-Mon Oct 30 20:32:15 2017 UTC (0.001 )  Time stamp start 1509395535184227150 end 1509395535183227150  Run 339535, LB 138, lumi 15.55
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:32:31 2017 UTC-Mon Oct 30 20:32:31 2017 UTC (0.001 )  Time stamp start 1509395551570381770 end 1509395551569381770  Run 339535, LB 138, lumi 15.55
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:33:03 2017 UTC-Mon Oct 30 20:33:03 2017 UTC (0.001 )  Time stamp start 1509395583100546705 end 1509395583099546705  Run 339535, LB 138, lumi 15.55
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:33:35 2017 UTC-Mon Oct 30 20:33:35 2017 UTC (0.002 )  Time stamp start 1509395615618035840 end 1509395615616490940  Run 339535, LB 139, lumi 24.12
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:33:37 2017 UTC-Mon Oct 30 20:33:37 2017 UTC (0.001 )  Time stamp start 1509395617564536010 end 1509395617563536010  Run 339535, LB 139, lumi 15.61
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:33:51 2017 UTC-Mon Oct 30 20:33:51 2017 UTC (0.001 )  Time stamp start 1509395631186824060 end 1509395631185824060  Run 339535, LB 139, lumi 15.61
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:33:51 2017 UTC-Mon Oct 30 20:33:51 2017 UTC (0.001 )  Time stamp start 1509395631487284510 end 1509395631486284510  Run 339535, LB 139, lumi 15.61
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:34:07 2017 UTC-Mon Oct 30 20:34:07 2017 UTC (0.001 )  Time stamp start 1509395647426979800 end 1509395647425979800  Run 339535, LB 140, lumi 15.68
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:34:08 2017 UTC-Mon Oct 30 20:34:08 2017 UTC (0.001 )  Time stamp start 1509395648509840360 end 1509395648508840360  Run 339535, LB 140, lumi 15.68
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:34:16 2017 UTC-Mon Oct 30 20:34:16 2017 UTC (0.001 )  Time stamp start 1509395656100673345 end 1509395656099673345  Run 339535, LB 140, lumi 15.68
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:34:23 2017 UTC-Mon Oct 30 20:34:23 2017 UTC (0.001 )  Time stamp start 1509395663714093785 end 1509395663713093785  Run 339535, LB 140, lumi 15.68
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:34:33 2017 UTC-Mon Oct 30 20:34:33 2017 UTC (0.001 )  Time stamp start 1509395673476337575 end 1509395673475337575  Run 339535, LB 140, lumi 15.68
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:34:40 2017 UTC-Mon Oct 30 20:34:40 2017 UTC (0.001 )  Time stamp start 1509395680451309405 end 1509395680450309405  Run 339535, LB 140, lumi 15.68
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:34:58 2017 UTC-Mon Oct 30 20:34:58 2017 UTC (0.001 )  Time stamp start 1509395698208952695 end 1509395698207952695  Run 339535, LB 142, lumi 15.78
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:35:14 2017 UTC-Mon Oct 30 20:35:14 2017 UTC (0.001 )  Time stamp start 1509395714347681805 end 1509395714346681805  Run 339535, LB 143, lumi 15.84
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:37:29 2017 UTC-Mon Oct 30 20:37:29 2017 UTC (0.001 )  Time stamp start 1509395849018746115 end 1509395849017746115  Run 339535, LB 148, lumi 15.38
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:38:21 2017 UTC-Mon Oct 30 20:38:21 2017 UTC (0.001 )  Time stamp start 1509395901808324965 end 1509395901807324965  Run 339535, LB 150, lumi 15.36
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:38:42 2017 UTC-Mon Oct 30 20:38:42 2017 UTC (0.001 )  Time stamp start 1509395922634625575 end 1509395922633625575  Run 339535, LB 150, lumi 15.36
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:39:27 2017 UTC-Mon Oct 30 20:39:27 2017 UTC (0.001 )  Time stamp start 1509395967888297075 end 1509395967887297075  Run 339535, LB 151, lumi 15.34
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:39:34 2017 UTC-Mon Oct 30 20:39:34 2017 UTC (0.001 )  Time stamp start 1509395974009733215 end 1509395974008733215  Run 339535, LB 151, lumi 15.34
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:40:05 2017 UTC-Mon Oct 30 20:40:05 2017 UTC (0.001 )  Time stamp start 1509396005993301295 end 1509396005992301295  Run 339535, LB 151, lumi 15.34
Event Veto ['NoiseBurst'], Mon Oct 30 20:40:53 2017 UTC-Mon Oct 30 20:40:53 2017 UTC (0.001 )  Time stamp start 1509396053208656140 end 1509396053207654915  Run 339535, LB 152, lumi 15.47
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:40:56 2017 UTC-Mon Oct 30 20:40:56 2017 UTC (0.001 )  Time stamp start 1509396056188497360 end 1509396056187497360  Run 339535, LB 152, lumi 15.45
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:41:30 2017 UTC-Mon Oct 30 20:41:30 2017 UTC (0.001 )  Time stamp start 1509396090354531715 end 1509396090353531715  Run 339535, LB 153, lumi 15.50
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:42:41 2017 UTC-Mon Oct 30 20:42:41 2017 UTC (0.001 )  Time stamp start 1509396161725975690 end 1509396161724975690  Run 339535, LB 154, lumi 15.46
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:43:07 2017 UTC-Mon Oct 30 20:43:07 2017 UTC (0.001 )  Time stamp start 1509396187747613985 end 1509396187746613985  Run 339535, LB 154, lumi 15.46
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:43:22 2017 UTC-Mon Oct 30 20:43:22 2017 UTC (0.001 )  Time stamp start 1509396202579078710 end 1509396202578078710  Run 339535, LB 155, lumi 15.45
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:43:30 2017 UTC-Mon Oct 30 20:43:30 2017 UTC (0.001 )  Time stamp start 1509396210038874400 end 1509396210037874400  Run 339535, LB 155, lumi 15.45
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:44:03 2017 UTC-Mon Oct 30 20:44:03 2017 UTC (0.002 )  Time stamp start 1509396243290083725 end 1509396243288514450  Run 339535, LB 155, lumi 24.25
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:44:53 2017 UTC-Mon Oct 30 20:44:53 2017 UTC (0.001 )  Time stamp start 1509396293749319195 end 1509396293748319195  Run 339535, LB 156, lumi 15.47
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:44:59 2017 UTC-Mon Oct 30 20:44:59 2017 UTC (0.001 )  Time stamp start 1509396299072274155 end 1509396299071274155  Run 339535, LB 156, lumi 15.47
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:45:07 2017 UTC-Mon Oct 30 20:45:07 2017 UTC (0.001 )  Time stamp start 1509396307119990960 end 1509396307118990960  Run 339535, LB 156, lumi 15.47
Event Veto ['NoiseBurst'], Mon Oct 30 20:45:14 2017 UTC-Mon Oct 30 20:45:14 2017 UTC (0.002 )  Time stamp start 1509396314327004100 end 1509396314325154575  Run 339535, LB 157, lumi 28.74
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:45:43 2017 UTC-Mon Oct 30 20:45:43 2017 UTC (0.001 )  Time stamp start 1509396343259659970 end 1509396343258659970  Run 339535, LB 157, lumi 15.54
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:48:15 2017 UTC-Mon Oct 30 20:48:15 2017 UTC (0.002 )  Time stamp start 1509396495223679530 end 1509396495221898895  Run 339535, LB 160, lumi 27.78
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:48:17 2017 UTC-Mon Oct 30 20:48:17 2017 UTC (0.001 )  Time stamp start 1509396497474637210 end 1509396497473637210  Run 339535, LB 160, lumi 15.60
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:48:59 2017 UTC-Mon Oct 30 20:48:59 2017 UTC (0.001 )  Time stamp start 1509396539252049790 end 1509396539251049790  Run 339535, LB 160, lumi 15.60
Event Veto ['MiniNoiseBurst'], Mon Oct 30 20:49:39 2017 UTC-Mon Oct 30 20:49:39 2017 UTC (0.001 )  Time stamp start 1509396579128458995 end 1509396579127458995  Run 339535, LB 161, lumi 15.60
