Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349309 to 349309
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349309 to run 349309  lasting from Tue May  1 08:22:11 2018 UTC to Tue May  1 20:49:27 2018 UTC
Event Veto ['MiniNoiseBurst'], Tue May  1 10:15:35 2018 UTC-Tue May  1 10:15:35 2018 UTC (0.001 )  Time stamp start 1525169735310892375 end 1525169735309892375  Run 349309, LB 122, lumi 16.18
Event Veto ['MiniNoiseBurst'], Tue May  1 10:15:39 2018 UTC-Tue May  1 10:15:39 2018 UTC (0.001 )  Time stamp start 1525169739572489095 end 1525169739571489095  Run 349309, LB 123, lumi 16.08
Event Veto ['MiniNoiseBurst'], Tue May  1 10:16:08 2018 UTC-Tue May  1 10:16:08 2018 UTC (0.001 )  Time stamp start 1525169768943342515 end 1525169768942342515  Run 349309, LB 123, lumi 16.08
Event Veto ['NoiseBurst'], Tue May  1 10:16:11 2018 UTC-Tue May  1 10:16:11 2018 UTC (0.001 )  Time stamp start 1525169771460137870 end 1525169771459137245  Run 349309, LB 123, lumi 16.09
Event Veto ['MiniNoiseBurst'], Tue May  1 10:16:13 2018 UTC-Tue May  1 10:16:13 2018 UTC (0.001 )  Time stamp start 1525169773500872660 end 1525169773499872660  Run 349309, LB 123, lumi 16.08
Event Veto ['NoiseBurst'], Tue May  1 10:16:26 2018 UTC-Tue May  1 10:16:26 2018 UTC (0.001 )  Time stamp start 1525169786388430305 end 1525169786387429555  Run 349309, LB 124, lumi 16.08
Event Veto ['MiniNoiseBurst'], Tue May  1 10:16:32 2018 UTC-Tue May  1 10:16:32 2018 UTC (0.001 )  Time stamp start 1525169792955073000 end 1525169792954073000  Run 349309, LB 124, lumi 16.07
Event Veto ['MiniNoiseBurst'], Tue May  1 10:17:07 2018 UTC-Tue May  1 10:17:07 2018 UTC (0.001 )  Time stamp start 1525169827959824845 end 1525169827958824845  Run 349309, LB 125, lumi 16.03
Event Veto ['MiniNoiseBurst'], Tue May  1 10:18:23 2018 UTC-Tue May  1 10:18:23 2018 UTC (0.001 )  Time stamp start 1525169903262811760 end 1525169903261811760  Run 349309, LB 126, lumi 15.98
Event Veto ['MiniNoiseBurst'], Tue May  1 10:18:43 2018 UTC-Tue May  1 10:18:43 2018 UTC (0.002 )  Time stamp start 1525169923092204315 end 1525169923090396910  Run 349309, LB 127, lumi 28.79
Event Veto ['MiniNoiseBurst'], Tue May  1 10:18:48 2018 UTC-Tue May  1 10:18:48 2018 UTC (0.001 )  Time stamp start 1525169928350304150 end 1525169928349304150  Run 349309, LB 127, lumi 15.93
Event Veto ['NoiseBurst'], Tue May  1 10:18:48 2018 UTC-Tue May  1 10:18:48 2018 UTC (0.001 )  Time stamp start 1525169928514043350 end 1525169928513042475  Run 349309, LB 127, lumi 15.95
Event Veto ['MiniNoiseBurst'], Tue May  1 10:19:58 2018 UTC-Tue May  1 10:19:58 2018 UTC (0.001 )  Time stamp start 1525169998555282655 end 1525169998554282655  Run 349309, LB 130, lumi 15.86
Event Veto ['MiniNoiseBurst'], Tue May  1 10:20:00 2018 UTC-Tue May  1 10:20:00 2018 UTC (0.001 )  Time stamp start 1525170000077879355 end 1525170000076879355  Run 349309, LB 130, lumi 15.86
Event Veto ['MiniNoiseBurst'], Tue May  1 10:20:25 2018 UTC-Tue May  1 10:20:25 2018 UTC (0.001 )  Time stamp start 1525170025427157990 end 1525170025426157990  Run 349309, LB 131, lumi 15.82
Event Veto ['MiniNoiseBurst'], Tue May  1 10:20:48 2018 UTC-Tue May  1 10:20:48 2018 UTC (0.001 )  Time stamp start 1525170048409694165 end 1525170048408694165  Run 349309, LB 131, lumi 15.82
Event Veto ['MiniNoiseBurst'], Tue May  1 10:20:58 2018 UTC-Tue May  1 10:20:58 2018 UTC (0.001 )  Time stamp start 1525170058893661300 end 1525170058892661300  Run 349309, LB 131, lumi 15.82
Event Veto ['MiniNoiseBurst'], Tue May  1 10:21:41 2018 UTC-Tue May  1 10:21:41 2018 UTC (0.001 )  Time stamp start 1525170101010346360 end 1525170101009346360  Run 349309, LB 132, lumi 15.76
