Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349637 to 349637
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349637 to run 349637  lasting from Sun May  6 09:48:54 2018 UTC to Mon May  7 00:18:06 2018 UTC
Event Veto ['MiniNoiseBurst'], Sun May  6 11:05:16 2018 UTC-Sun May  6 11:05:16 2018 UTC (0.001 )  Time stamp start 1525604716500242185 end 1525604716499242185  Run 349637, LB 81, lumi 17.61
Event Veto ['MiniNoiseBurst'], Sun May  6 11:05:20 2018 UTC-Sun May  6 11:05:20 2018 UTC (0.001 )  Time stamp start 1525604720299913385 end 1525604720298913385  Run 349637, LB 81, lumi 17.61
Event Veto ['MiniNoiseBurst'], Sun May  6 11:05:23 2018 UTC-Sun May  6 11:05:23 2018 UTC (0.001 )  Time stamp start 1525604723169240060 end 1525604723168240060  Run 349637, LB 81, lumi 17.61
Event Veto ['MiniNoiseBurst'], Sun May  6 11:05:33 2018 UTC-Sun May  6 11:05:33 2018 UTC (0.001 )  Time stamp start 1525604733853494195 end 1525604733852494195  Run 349637, LB 81, lumi 17.61
Event Veto ['MiniNoiseBurst'], Sun May  6 11:05:36 2018 UTC-Sun May  6 11:05:36 2018 UTC (0.001 )  Time stamp start 1525604736112565875 end 1525604736111565875  Run 349637, LB 81, lumi 17.61
Event Veto ['MiniNoiseBurst'], Sun May  6 11:05:46 2018 UTC-Sun May  6 11:05:46 2018 UTC (0.001 )  Time stamp start 1525604746127225925 end 1525604746126225925  Run 349637, LB 82, lumi 19.88
Event Veto ['MiniNoiseBurst'], Sun May  6 11:05:49 2018 UTC-Sun May  6 11:05:49 2018 UTC (0.001 )  Time stamp start 1525604749823151630 end 1525604749822151630  Run 349637, LB 82, lumi 19.88
Event Veto ['MiniNoiseBurst'], Sun May  6 11:05:52 2018 UTC-Sun May  6 11:05:52 2018 UTC (0.001 )  Time stamp start 1525604752057970515 end 1525604752056970515  Run 349637, LB 82, lumi 19.88
Event Veto ['MiniNoiseBurst'], Sun May  6 11:05:58 2018 UTC-Sun May  6 11:05:58 2018 UTC (0.001 )  Time stamp start 1525604758658965975 end 1525604758657965975  Run 349637, LB 82, lumi 19.88
Event Veto ['MiniNoiseBurst'], Sun May  6 11:06:03 2018 UTC-Sun May  6 11:06:03 2018 UTC (0.001 )  Time stamp start 1525604763929970900 end 1525604763928970900  Run 349637, LB 82, lumi 19.88
Event Veto ['MiniNoiseBurst'], Sun May  6 11:06:04 2018 UTC-Sun May  6 11:06:04 2018 UTC (0.001 )  Time stamp start 1525604764116921795 end 1525604764115921795  Run 349637, LB 82, lumi 19.88
Event Veto ['MiniNoiseBurst'], Sun May  6 11:06:10 2018 UTC-Sun May  6 11:06:10 2018 UTC (0.001 )  Time stamp start 1525604770415100795 end 1525604770414100795  Run 349637, LB 82, lumi 19.88
Event Veto ['NoiseBurst'], Sun May  6 11:06:16 2018 UTC-Sun May  6 11:06:16 2018 UTC (0.004 )  Time stamp start 1525604776357762960 end 1525604776353484610  Run 349637, LB 82, lumi 85.07
Event Veto ['NoiseBurst'], Sun May  6 11:06:16 2018 UTC-Sun May  6 11:06:16 2018 UTC (0.008 )  Time stamp start 1525604776596519100 end 1525604776588924770  Run 349637, LB 82, lumi 151.00
Event Veto ['MiniNoiseBurst'], Sun May  6 11:06:26 2018 UTC-Sun May  6 11:06:26 2018 UTC (0.001 )  Time stamp start 1525604786565296410 end 1525604786564296410  Run 349637, LB 82, lumi 19.88
Event Veto ['MiniNoiseBurst'], Sun May  6 11:07:00 2018 UTC-Sun May  6 11:07:00 2018 UTC (0.001 )  Time stamp start 1525604820710535415 end 1525604820709535415  Run 349637, LB 83, lumi 19.77
Event Veto ['MiniNoiseBurst'], Sun May  6 11:07:05 2018 UTC-Sun May  6 11:07:05 2018 UTC (0.001 )  Time stamp start 1525604825160145460 end 1525604825159145460  Run 349637, LB 83, lumi 19.77
Event Veto ['MiniNoiseBurst'], Sun May  6 11:07:07 2018 UTC-Sun May  6 11:07:07 2018 UTC (0.001 )  Time stamp start 1525604827249485625 end 1525604827248485625  Run 349637, LB 83, lumi 19.77
Event Veto ['MiniNoiseBurst'], Sun May  6 11:07:08 2018 UTC-Sun May  6 11:07:08 2018 UTC (0.001 )  Time stamp start 1525604828468013675 end 1525604828467013675  Run 349637, LB 83, lumi 19.77
Event Veto ['MiniNoiseBurst'], Sun May  6 11:07:10 2018 UTC-Sun May  6 11:07:10 2018 UTC (0.001 )  Time stamp start 1525604830110456945 end 1525604830109456945  Run 349637, LB 83, lumi 19.77
Event Veto ['MiniNoiseBurst'], Sun May  6 11:07:12 2018 UTC-Sun May  6 11:07:12 2018 UTC (0.001 )  Time stamp start 1525604832137249050 end 1525604832136249050  Run 349637, LB 83, lumi 19.77
Event Veto ['MiniNoiseBurst'], Sun May  6 11:07:13 2018 UTC-Sun May  6 11:07:13 2018 UTC (0.001 )  Time stamp start 1525604833935457515 end 1525604833934457515  Run 349637, LB 83, lumi 19.77
Event Veto ['MiniNoiseBurst'], Sun May  6 11:07:17 2018 UTC-Sun May  6 11:07:17 2018 UTC (0.001 )  Time stamp start 1525604837730539825 end 1525604837729539825  Run 349637, LB 83, lumi 19.77
Event Veto ['MiniNoiseBurst'], Sun May  6 11:07:18 2018 UTC-Sun May  6 11:07:18 2018 UTC (0.001 )  Time stamp start 1525604838850036720 end 1525604838849036720  Run 349637, LB 83, lumi 19.77
Event Veto ['MiniNoiseBurst'], Sun May  6 11:07:24 2018 UTC-Sun May  6 11:07:24 2018 UTC (0.001 )  Time stamp start 1525604844474194450 end 1525604844473194450  Run 349637, LB 83, lumi 19.77
Event Veto ['MiniNoiseBurst'], Sun May  6 11:07:27 2018 UTC-Sun May  6 11:07:27 2018 UTC (0.001 )  Time stamp start 1525604847814080175 end 1525604847813080175  Run 349637, LB 83, lumi 19.77
Event Veto ['MiniNoiseBurst'], Sun May  6 11:07:27 2018 UTC-Sun May  6 11:07:27 2018 UTC (0.001 )  Time stamp start 1525604847904506770 end 1525604847903506770  Run 349637, LB 83, lumi 19.77
Event Veto ['MiniNoiseBurst'], Sun May  6 11:07:32 2018 UTC-Sun May  6 11:07:32 2018 UTC (0.001 )  Time stamp start 1525604852071870465 end 1525604852070870465  Run 349637, LB 83, lumi 19.77
Event Veto ['MiniNoiseBurst'], Sun May  6 11:07:39 2018 UTC-Sun May  6 11:07:39 2018 UTC (0.001 )  Time stamp start 1525604859145355865 end 1525604859144355865  Run 349637, LB 84, lumi 19.69
Event Veto ['MiniNoiseBurst'], Sun May  6 11:07:43 2018 UTC-Sun May  6 11:07:43 2018 UTC (0.001 )  Time stamp start 1525604863430003680 end 1525604863429003680  Run 349637, LB 84, lumi 19.69
Event Veto ['MiniNoiseBurst'], Sun May  6 11:08:35 2018 UTC-Sun May  6 11:08:35 2018 UTC (0.001 )  Time stamp start 1525604915129632130 end 1525604915128632130  Run 349637, LB 84, lumi 19.69
Event Veto ['MiniNoiseBurst'], Sun May  6 11:08:51 2018 UTC-Sun May  6 11:08:51 2018 UTC (0.001 )  Time stamp start 1525604931837691975 end 1525604931836691975  Run 349637, LB 85, lumi 19.55
Event Veto ['MiniNoiseBurst'], Sun May  6 11:08:54 2018 UTC-Sun May  6 11:08:54 2018 UTC (0.001 )  Time stamp start 1525604934653949425 end 1525604934652949425  Run 349637, LB 85, lumi 19.55
Event Veto ['MiniNoiseBurst'], Sun May  6 11:09:42 2018 UTC-Sun May  6 11:09:42 2018 UTC (0.001 )  Time stamp start 1525604982208557340 end 1525604982207557340  Run 349637, LB 86, lumi 19.52
Event Veto ['MiniNoiseBurst'], Sun May  6 11:09:48 2018 UTC-Sun May  6 11:09:48 2018 UTC (0.001 )  Time stamp start 1525604988572356710 end 1525604988571356710  Run 349637, LB 86, lumi 19.52
Event Veto ['MiniNoiseBurst'], Sun May  6 11:09:50 2018 UTC-Sun May  6 11:09:50 2018 UTC (0.001 )  Time stamp start 1525604990337524730 end 1525604990336524730  Run 349637, LB 86, lumi 19.52
Event Veto ['MiniNoiseBurst'], Sun May  6 11:09:51 2018 UTC-Sun May  6 11:09:51 2018 UTC (0.001 )  Time stamp start 1525604991896154075 end 1525604991895154075  Run 349637, LB 86, lumi 19.52
Event Veto ['MiniNoiseBurst'], Sun May  6 11:09:57 2018 UTC-Sun May  6 11:09:57 2018 UTC (0.001 )  Time stamp start 1525604997173855630 end 1525604997172855630  Run 349637, LB 86, lumi 19.52
Event Veto ['MiniNoiseBurst'], Sun May  6 11:10:05 2018 UTC-Sun May  6 11:10:05 2018 UTC (0.001 )  Time stamp start 1525605005114844155 end 1525605005113844155  Run 349637, LB 86, lumi 19.52
Event Veto ['MiniNoiseBurst'], Sun May  6 11:10:07 2018 UTC-Sun May  6 11:10:07 2018 UTC (0.001 )  Time stamp start 1525605007490293690 end 1525605007489293565  Run 349637, LB 86, lumi 19.52
Event Veto ['MiniNoiseBurst'], Sun May  6 11:10:09 2018 UTC-Sun May  6 11:10:09 2018 UTC (0.001 )  Time stamp start 1525605009621140880 end 1525605009620140880  Run 349637, LB 86, lumi 19.52
Event Veto ['MiniNoiseBurst'], Sun May  6 11:10:14 2018 UTC-Sun May  6 11:10:14 2018 UTC (0.001 )  Time stamp start 1525605014989816615 end 1525605014988816615  Run 349637, LB 86, lumi 19.52
Event Veto ['MiniNoiseBurst'], Sun May  6 11:10:19 2018 UTC-Sun May  6 11:10:19 2018 UTC (0.001 )  Time stamp start 1525605019900658480 end 1525605019899658480  Run 349637, LB 87, lumi 19.55
Event Veto ['MiniNoiseBurst'], Sun May  6 11:10:25 2018 UTC-Sun May  6 11:10:25 2018 UTC (0.001 )  Time stamp start 1525605025088726475 end 1525605025087726475  Run 349637, LB 87, lumi 19.55
Event Veto ['MiniNoiseBurst'], Sun May  6 11:10:29 2018 UTC-Sun May  6 11:10:29 2018 UTC (0.001 )  Time stamp start 1525605029059896330 end 1525605029058896330  Run 349637, LB 87, lumi 19.55
Event Veto ['MiniNoiseBurst'], Sun May  6 11:10:31 2018 UTC-Sun May  6 11:10:31 2018 UTC (0.001 )  Time stamp start 1525605031778754305 end 1525605031777754305  Run 349637, LB 87, lumi 19.55
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sun May  6 11:10:39 2018 UTC-Sun May  6 11:10:39 2018 UTC (0.001 )  Time stamp start 1525605039361701305 end 1525605039360701305  Run 349637, LB 87, lumi 19.55
Event Veto ['NoiseBurst'], Sun May  6 11:10:40 2018 UTC-Sun May  6 11:10:40 2018 UTC (0.001 )  Time stamp start 1525605040186523615 end 1525605040185522595  Run 349637, LB 87, lumi 19.57
