Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 333426 to 333426
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 333426 to run 333426  lasting from Thu Aug 17 10:02:29 2017 UTC to Thu Aug 17 13:07:44 2017 UTC
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:11:29 2017 UTC-Thu Aug 17 11:11:29 2017 UTC (0.001 )  Time stamp start 1502968289863387100 end 1502968289862387100  Run 333426, LB 75, lumi 10.14
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:11:39 2017 UTC-Thu Aug 17 11:11:39 2017 UTC (0.000 )  Time stamp start 1502968299297104855 end 1502968299297104480  Run 333426, LB 75, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:11:39 2017 UTC-Thu Aug 17 11:11:39 2017 UTC (0.001 )  Time stamp start 1502968299298105230 end 1502968299297104855  Run 333426, LB 75, lumi 10.14
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:11:48 2017 UTC-Thu Aug 17 11:11:48 2017 UTC (0.001 )  Time stamp start 1502968308428957955 end 1502968308427957155  Run 333426, LB 75, lumi 10.15
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:11:58 2017 UTC-Thu Aug 17 11:11:58 2017 UTC (0.001 )  Time stamp start 1502968318070291690 end 1502968318069291690  Run 333426, LB 75, lumi 10.14
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:12:14 2017 UTC-Thu Aug 17 11:12:14 2017 UTC (0.001 )  Time stamp start 1502968334756303610 end 1502968334755302835  Run 333426, LB 76, lumi 10.17
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:12:33 2017 UTC-Thu Aug 17 11:12:33 2017 UTC (0.001 )  Time stamp start 1502968353108466900 end 1502968353107466775  Run 333426, LB 76, lumi 10.16
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:12:46 2017 UTC-Thu Aug 17 11:12:46 2017 UTC (0.001 )  Time stamp start 1502968366169546525 end 1502968366168546525  Run 333426, LB 76, lumi 10.16
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:12:51 2017 UTC-Thu Aug 17 11:12:51 2017 UTC (0.001 )  Time stamp start 1502968371111241960 end 1502968371110241960  Run 333426, LB 76, lumi 10.16
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:12:56 2017 UTC-Thu Aug 17 11:12:56 2017 UTC (0.001 )  Time stamp start 1502968376096108235 end 1502968376095108235  Run 333426, LB 76, lumi 10.16
Event Veto ['MiniNoiseBurst'], Thu Aug 17 11:13:19 2017 UTC-Thu Aug 17 11:13:19 2017 UTC (0.001 )  Time stamp start 1502968399422110220 end 1502968399421109570  Run 333426, LB 77, lumi 10.13
