Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 359918 to 359918
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 359918 to run 359918  lasting from Tue Sep  4 19:26:40 2018 UTC to Wed Sep  5 06:33:46 2018 UTC
Event Veto ['MiniNoiseBurst'], Tue Sep  4 22:09:59 2018 UTC-Tue Sep  4 22:09:59 2018 UTC (0.001 )  Time stamp start 1536098999551951505 end 1536098999550951505  Run 359918, LB 206, lumi 16.32
Event Veto ['MiniNoiseBurst'], Tue Sep  4 22:10:12 2018 UTC-Tue Sep  4 22:10:12 2018 UTC (0.001 )  Time stamp start 1536099012024537620 end 1536099012023537620  Run 359918, LB 206, lumi 16.32
Event Veto ['NoiseBurst'], Tue Sep  4 22:10:58 2018 UTC-Tue Sep  4 22:10:58 2018 UTC (0.001 )  Time stamp start 1536099058356142630 end 1536099058355142130  Run 359918, LB 207, lumi 16.28
Event Veto ['MiniNoiseBurst'], Tue Sep  4 22:11:23 2018 UTC-Tue Sep  4 22:11:23 2018 UTC (0.001 )  Time stamp start 1536099083690041895 end 1536099083689041895  Run 359918, LB 207, lumi 16.27
Event Veto ['NoiseBurst'], Tue Sep  4 22:12:01 2018 UTC-Tue Sep  4 22:12:01 2018 UTC (0.001 )  Time stamp start 1536099121397130285 end 1536099121396129635  Run 359918, LB 209, lumi 16.25
Event Veto ['NoiseBurst'], Tue Sep  4 22:16:32 2018 UTC-Tue Sep  4 22:16:32 2018 UTC (0.001 )  Time stamp start 1536099392118918020 end 1536099392117917895  Run 359918, LB 213, lumi 16.14
Event Veto ['NoiseBurst'], Tue Sep  4 22:16:43 2018 UTC-Tue Sep  4 22:16:43 2018 UTC (0.001 )  Time stamp start 1536099403732923480 end 1536099403731922730  Run 359918, LB 213, lumi 16.15
Event Veto ['MiniNoiseBurst'], Tue Sep  4 22:18:38 2018 UTC-Tue Sep  4 22:18:38 2018 UTC (0.001 )  Time stamp start 1536099518780643965 end 1536099518779643965  Run 359918, LB 215, lumi 16.10
Event Veto ['NoiseBurst'], Tue Sep  4 22:19:55 2018 UTC-Tue Sep  4 22:19:55 2018 UTC (0.004 )  Time stamp start 1536099595185207585 end 1536099595181700860  Run 359918, LB 217, lumi 56.19
Event Veto ['NoiseBurst'], Tue Sep  4 22:19:56 2018 UTC-Tue Sep  4 22:19:56 2018 UTC (0.001 )  Time stamp start 1536099596711999870 end 1536099596710712665  Run 359918, LB 217, lumi 20.62
Event Veto ['MiniNoiseBurst'], Tue Sep  4 22:21:31 2018 UTC-Tue Sep  4 22:21:31 2018 UTC (0.001 )  Time stamp start 1536099691003992405 end 1536099691002992405  Run 359918, LB 218, lumi 16.00
