Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349977 to 349977
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349977 to run 349977  lasting from Thu May 10 11:38:04 2018 UTC to Thu May 10 15:39:35 2018 UTC
Event Veto ['MiniNoiseBurst'], Thu May 10 12:48:41 2018 UTC-Thu May 10 12:48:41 2018 UTC (0.001 )  Time stamp start 1525956521564543845 end 1525956521563543845  Run 349977, LB 80, lumi 19.17
Event Veto ['MiniNoiseBurst'], Thu May 10 12:48:44 2018 UTC-Thu May 10 12:48:44 2018 UTC (0.001 )  Time stamp start 1525956524027044915 end 1525956524026044915  Run 349977, LB 80, lumi 19.17
Event Veto ['MiniNoiseBurst'], Thu May 10 12:48:48 2018 UTC-Thu May 10 12:48:48 2018 UTC (0.001 )  Time stamp start 1525956528269450900 end 1525956528268450900  Run 349977, LB 80, lumi 19.17
Event Veto ['MiniNoiseBurst'], Thu May 10 12:48:50 2018 UTC-Thu May 10 12:48:50 2018 UTC (0.001 )  Time stamp start 1525956530410684135 end 1525956530409684135  Run 349977, LB 80, lumi 19.17
Event Veto ['MiniNoiseBurst'], Thu May 10 12:48:52 2018 UTC-Thu May 10 12:48:52 2018 UTC (0.001 )  Time stamp start 1525956532212085190 end 1525956532211085190  Run 349977, LB 80, lumi 19.17
Event Veto ['MiniNoiseBurst'], Thu May 10 12:48:54 2018 UTC-Thu May 10 12:48:54 2018 UTC (0.001 )  Time stamp start 1525956534283158565 end 1525956534282158565  Run 349977, LB 80, lumi 19.17
Event Veto ['MiniNoiseBurst'], Thu May 10 12:48:58 2018 UTC-Thu May 10 12:48:58 2018 UTC (0.001 )  Time stamp start 1525956538444915180 end 1525956538443915180  Run 349977, LB 80, lumi 19.17
Event Veto ['MiniNoiseBurst'], Thu May 10 12:49:02 2018 UTC-Thu May 10 12:49:02 2018 UTC (0.001 )  Time stamp start 1525956542226106135 end 1525956542225106135  Run 349977, LB 80, lumi 19.17
Event Veto ['MiniNoiseBurst'], Thu May 10 12:49:04 2018 UTC-Thu May 10 12:49:04 2018 UTC (0.001 )  Time stamp start 1525956544142569690 end 1525956544141569690  Run 349977, LB 80, lumi 19.17
Event Veto ['MiniNoiseBurst'], Thu May 10 12:49:07 2018 UTC-Thu May 10 12:49:07 2018 UTC (0.001 )  Time stamp start 1525956547006500325 end 1525956547005500325  Run 349977, LB 80, lumi 19.17
