Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 305723 to 305723
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 305723 to run 305723  lasting from Sat Aug  6 10:53:10 2016 UTC to Sun Aug  7 01:01:02 2016 UTC
Event Veto ['MiniNoiseBurst'], Sat Aug  6 13:10:13 2016 UTC-Sat Aug  6 13:10:13 2016 UTC (0.001 )  Time stamp start 1470489013667443240 end 1470489013666442865  Run 305723, LB 143, lumi 10.11
Event Veto ['MiniNoiseBurst'], Sat Aug  6 13:10:33 2016 UTC-Sat Aug  6 13:10:33 2016 UTC (0.001 )  Time stamp start 1470489033310849505 end 1470489033309849505  Run 305723, LB 143, lumi 10.11
Event Veto ['NoiseBurst'], Sat Aug  6 13:10:47 2016 UTC-Sat Aug  6 13:10:47 2016 UTC (0.010 )  Time stamp start 1470489047709492385 end 1470489047699481410  Run 305723, LB 143, lumi 101.22
Event Veto ['MiniNoiseBurst'], Sat Aug  6 13:10:51 2016 UTC-Sat Aug  6 13:10:51 2016 UTC (0.001 )  Time stamp start 1470489051148507280 end 1470489051147507280  Run 305723, LB 144, lumi 10.08
Event Veto ['MiniNoiseBurst'], Sat Aug  6 13:11:01 2016 UTC-Sat Aug  6 13:11:01 2016 UTC (0.001 )  Time stamp start 1470489061390174610 end 1470489061389174610  Run 305723, LB 144, lumi 10.08
Event Veto ['MiniNoiseBurst'], Sat Aug  6 13:11:10 2016 UTC-Sat Aug  6 13:11:10 2016 UTC (0.001 )  Time stamp start 1470489070418037735 end 1470489070417037735  Run 305723, LB 144, lumi 10.08
Event Veto ['MiniNoiseBurst'], Sat Aug  6 13:11:20 2016 UTC-Sat Aug  6 13:11:20 2016 UTC (0.001 )  Time stamp start 1470489080287311800 end 1470489080286311800  Run 305723, LB 144, lumi 10.08
Event Veto ['MiniNoiseBurst'], Sat Aug  6 13:11:26 2016 UTC-Sat Aug  6 13:11:26 2016 UTC (0.001 )  Time stamp start 1470489086918345900 end 1470489086917345900  Run 305723, LB 144, lumi 10.08
Event Veto ['NoiseBurst'], Sat Aug  6 13:11:27 2016 UTC-Sat Aug  6 13:11:27 2016 UTC (0.010 )  Time stamp start 1470489087456185110 end 1470489087445991995  Run 305723, LB 144, lumi 102.79
Event Veto ['MiniNoiseBurst'], Sat Aug  6 13:11:46 2016 UTC-Sat Aug  6 13:11:46 2016 UTC (0.001 )  Time stamp start 1470489106888485380 end 1470489106887485380  Run 305723, LB 144, lumi 10.08
Event Veto ['MiniNoiseBurst'], Sat Aug  6 13:11:56 2016 UTC-Sat Aug  6 13:11:56 2016 UTC (0.001 )  Time stamp start 1470489116192548705 end 1470489116191547405  Run 305723, LB 145, lumi 10.07
Event Veto ['MiniNoiseBurst'], Sat Aug  6 13:12:06 2016 UTC-Sat Aug  6 13:12:06 2016 UTC (0.001 )  Time stamp start 1470489126029326575 end 1470489126028326575  Run 305723, LB 145, lumi 10.06
Event Veto ['MiniNoiseBurst'], Sat Aug  6 13:12:22 2016 UTC-Sat Aug  6 13:12:22 2016 UTC (0.001 )  Time stamp start 1470489142387885615 end 1470489142386885615  Run 305723, LB 145, lumi 10.06
Event Veto ['MiniNoiseBurst'], Sat Aug  6 13:12:25 2016 UTC-Sat Aug  6 13:12:25 2016 UTC (0.001 )  Time stamp start 1470489145690626140 end 1470489145689625890  Run 305723, LB 145, lumi 10.06
Event Veto ['MiniNoiseBurst'], Sat Aug  6 13:12:34 2016 UTC-Sat Aug  6 13:12:34 2016 UTC (0.001 )  Time stamp start 1470489154835567595 end 1470489154834567595  Run 305723, LB 145, lumi 10.06
Event Veto ['MiniNoiseBurst'], Sat Aug  6 13:12:51 2016 UTC-Sat Aug  6 13:12:51 2016 UTC (0.001 )  Time stamp start 1470489171259981545 end 1470489171258981370  Run 305723, LB 146, lumi 10.04
Event Veto ['NoiseBurst'], Sat Aug  6 13:12:53 2016 UTC-Sat Aug  6 13:12:53 2016 UTC (0.010 )  Time stamp start 1470489173292953510 end 1470489173282820525  Run 305723, LB 146, lumi 101.75
Event Veto ['MiniNoiseBurst'], Sat Aug  6 13:13:00 2016 UTC-Sat Aug  6 13:13:00 2016 UTC (0.001 )  Time stamp start 1470489180372447065 end 1470489180371447065  Run 305723, LB 146, lumi 10.04
Event Veto ['MiniNoiseBurst'], Sat Aug  6 13:13:32 2016 UTC-Sat Aug  6 13:13:32 2016 UTC (0.001 )  Time stamp start 1470489212205477985 end 1470489212204477985  Run 305723, LB 146, lumi 10.04
Event Veto ['MiniNoiseBurst'], Sat Aug  6 13:13:41 2016 UTC-Sat Aug  6 13:13:41 2016 UTC (0.001 )  Time stamp start 1470489221627844995 end 1470489221626844625  Run 305723, LB 146, lumi 10.05
Event Veto ['MiniNoiseBurst'], Sat Aug  6 13:13:51 2016 UTC-Sat Aug  6 13:13:51 2016 UTC (0.001 )  Time stamp start 1470489231077507620 end 1470489231076507620  Run 305723, LB 147, lumi 10.01
