Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349841 to 349841
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349841 to run 349841  lasting from Tue May  8 21:59:37 2018 UTC to Wed May  9 00:39:41 2018 UTC
Event Veto ['MiniNoiseBurst'], Tue May  8 23:33:28 2018 UTC-Tue May  8 23:33:28 2018 UTC (0.001 )  Time stamp start 1525822408398274665 end 1525822408397274665  Run 349841, LB 100, lumi 18.82
Event Veto ['MiniNoiseBurst'], Tue May  8 23:33:34 2018 UTC-Tue May  8 23:33:34 2018 UTC (0.001 )  Time stamp start 1525822414619207250 end 1525822414618207250  Run 349841, LB 100, lumi 18.82
Event Veto ['MiniNoiseBurst'], Tue May  8 23:33:38 2018 UTC-Tue May  8 23:33:38 2018 UTC (0.001 )  Time stamp start 1525822418511922000 end 1525822418510922000  Run 349841, LB 100, lumi 18.82
Event Veto ['MiniNoiseBurst'], Tue May  8 23:33:45 2018 UTC-Tue May  8 23:33:45 2018 UTC (0.001 )  Time stamp start 1525822425893876875 end 1525822425892876875  Run 349841, LB 101, lumi 18.78
Event Veto ['MiniNoiseBurst'], Tue May  8 23:33:48 2018 UTC-Tue May  8 23:33:48 2018 UTC (0.001 )  Time stamp start 1525822428386971940 end 1525822428385971940  Run 349841, LB 101, lumi 18.78
Event Veto ['MiniNoiseBurst'], Tue May  8 23:33:51 2018 UTC-Tue May  8 23:33:51 2018 UTC (0.001 )  Time stamp start 1525822431601224610 end 1525822431600224610  Run 349841, LB 101, lumi 18.78
Event Veto ['NoiseBurst'], Tue May  8 23:33:52 2018 UTC-Tue May  8 23:33:52 2018 UTC (0.001 )  Time stamp start 1525822432428346555 end 1525822432427345785  Run 349841, LB 101, lumi 18.79
Event Veto ['MiniNoiseBurst'], Tue May  8 23:33:54 2018 UTC-Tue May  8 23:33:54 2018 UTC (0.001 )  Time stamp start 1525822434027921615 end 1525822434026921490  Run 349841, LB 101, lumi 18.78
Event Veto ['MiniNoiseBurst'], Tue May  8 23:34:02 2018 UTC-Tue May  8 23:34:02 2018 UTC (0.001 )  Time stamp start 1525822442308354905 end 1525822442307354905  Run 349841, LB 101, lumi 18.78
Event Veto ['MiniNoiseBurst'], Tue May  8 23:34:06 2018 UTC-Tue May  8 23:34:06 2018 UTC (0.001 )  Time stamp start 1525822446022985055 end 1525822446021985055  Run 349841, LB 101, lumi 18.78
Event Veto ['MiniNoiseBurst'], Tue May  8 23:34:07 2018 UTC-Tue May  8 23:34:07 2018 UTC (0.001 )  Time stamp start 1525822447855378745 end 1525822447854378745  Run 349841, LB 101, lumi 18.78
Event Veto ['MiniNoiseBurst'], Tue May  8 23:34:13 2018 UTC-Tue May  8 23:34:13 2018 UTC (0.001 )  Time stamp start 1525822453722581295 end 1525822453721581295  Run 349841, LB 101, lumi 18.78
Event Veto ['MiniNoiseBurst'], Tue May  8 23:34:22 2018 UTC-Tue May  8 23:34:22 2018 UTC (0.001 )  Time stamp start 1525822462584793775 end 1525822462583793775  Run 349841, LB 101, lumi 18.78
Event Veto ['MiniNoiseBurst'], Tue May  8 23:34:24 2018 UTC-Tue May  8 23:34:24 2018 UTC (0.001 )  Time stamp start 1525822464480993070 end 1525822464479993070  Run 349841, LB 101, lumi 18.78
Event Veto ['MiniNoiseBurst'], Tue May  8 23:35:05 2018 UTC-Tue May  8 23:35:05 2018 UTC (0.001 )  Time stamp start 1525822505812624580 end 1525822505811624580  Run 349841, LB 102, lumi 18.75
Event Veto ['MiniNoiseBurst'], Tue May  8 23:35:16 2018 UTC-Tue May  8 23:35:16 2018 UTC (0.002 )  Time stamp start 1525822516356777475 end 1525822516354826505  Run 349841, LB 102, lumi 36.58
Event Veto ['MiniNoiseBurst'], Tue May  8 23:35:19 2018 UTC-Tue May  8 23:35:19 2018 UTC (0.001 )  Time stamp start 1525822519551167410 end 1525822519550167410  Run 349841, LB 102, lumi 18.75
Event Veto ['MiniNoiseBurst'], Tue May  8 23:35:22 2018 UTC-Tue May  8 23:35:22 2018 UTC (0.001 )  Time stamp start 1525822522270607640 end 1525822522269607640  Run 349841, LB 102, lumi 18.75
Event Veto ['MiniNoiseBurst'], Tue May  8 23:35:25 2018 UTC-Tue May  8 23:35:25 2018 UTC (0.001 )  Time stamp start 1525822525543438980 end 1525822525542438980  Run 349841, LB 102, lumi 18.75
Event Veto ['MiniNoiseBurst'], Tue May  8 23:35:32 2018 UTC-Tue May  8 23:35:32 2018 UTC (0.001 )  Time stamp start 1525822532370128095 end 1525822532369128095  Run 349841, LB 102, lumi 18.75
Event Veto ['MiniNoiseBurst'], Tue May  8 23:35:34 2018 UTC-Tue May  8 23:35:34 2018 UTC (0.001 )  Time stamp start 1525822534796989500 end 1525822534795989500  Run 349841, LB 102, lumi 18.75
Event Veto ['MiniNoiseBurst'], Tue May  8 23:35:39 2018 UTC-Tue May  8 23:35:39 2018 UTC (0.001 )  Time stamp start 1525822539433631230 end 1525822539432631230  Run 349841, LB 102, lumi 18.75
Event Veto ['MiniNoiseBurst'], Tue May  8 23:36:03 2018 UTC-Tue May  8 23:36:03 2018 UTC (0.001 )  Time stamp start 1525822563044882120 end 1525822563043882120  Run 349841, LB 103, lumi 18.71
Event Veto ['NoiseBurst'], Tue May  8 23:36:06 2018 UTC-Tue May  8 23:36:06 2018 UTC (0.002 )  Time stamp start 1525822566483186930 end 1525822566481095635  Run 349841, LB 103, lumi 39.12
Event Veto ['MiniNoiseBurst'], Tue May  8 23:36:10 2018 UTC-Tue May  8 23:36:10 2018 UTC (0.001 )  Time stamp start 1525822570464144885 end 1525822570463144885  Run 349841, LB 103, lumi 18.71
Event Veto ['MiniNoiseBurst'], Tue May  8 23:36:22 2018 UTC-Tue May  8 23:36:22 2018 UTC (0.001 )  Time stamp start 1525822582603841070 end 1525822582602840945  Run 349841, LB 103, lumi 18.71
Event Veto ['MiniNoiseBurst'], Tue May  8 23:36:26 2018 UTC-Tue May  8 23:36:26 2018 UTC (0.001 )  Time stamp start 1525822586083835975 end 1525822586082835975  Run 349841, LB 103, lumi 18.71
Event Veto ['MiniNoiseBurst'], Tue May  8 23:36:37 2018 UTC-Tue May  8 23:36:37 2018 UTC (0.001 )  Time stamp start 1525822597209315525 end 1525822597208315525  Run 349841, LB 103, lumi 18.71
Event Veto ['MiniNoiseBurst'], Tue May  8 23:36:41 2018 UTC-Tue May  8 23:36:41 2018 UTC (0.001 )  Time stamp start 1525822601221145405 end 1525822601220145405  Run 349841, LB 103, lumi 18.71
Event Veto ['MiniNoiseBurst'], Tue May  8 23:36:49 2018 UTC-Tue May  8 23:36:49 2018 UTC (0.001 )  Time stamp start 1525822609842539545 end 1525822609841539545  Run 349841, LB 104, lumi 18.72
Event Veto ['MiniNoiseBurst'], Tue May  8 23:36:57 2018 UTC-Tue May  8 23:36:57 2018 UTC (0.001 )  Time stamp start 1525822617645704850 end 1525822617644704850  Run 349841, LB 104, lumi 18.72
Event Veto ['MiniNoiseBurst'], Tue May  8 23:37:05 2018 UTC-Tue May  8 23:37:05 2018 UTC (0.001 )  Time stamp start 1525822625402617205 end 1525822625401617205  Run 349841, LB 105, lumi 18.72
Event Veto ['MiniNoiseBurst'], Tue May  8 23:37:12 2018 UTC-Tue May  8 23:37:12 2018 UTC (0.001 )  Time stamp start 1525822632679914860 end 1525822632678914860  Run 349841, LB 105, lumi 18.72
Event Veto ['MiniNoiseBurst'], Tue May  8 23:37:15 2018 UTC-Tue May  8 23:37:15 2018 UTC (0.001 )  Time stamp start 1525822635973771715 end 1525822635972771715  Run 349841, LB 105, lumi 18.72
Event Veto ['MiniNoiseBurst'], Tue May  8 23:37:19 2018 UTC-Tue May  8 23:37:19 2018 UTC (0.001 )  Time stamp start 1525822639621673160 end 1525822639620673160  Run 349841, LB 105, lumi 18.72
Event Veto ['MiniNoiseBurst'], Tue May  8 23:38:08 2018 UTC-Tue May  8 23:38:08 2018 UTC (0.001 )  Time stamp start 1525822688723685385 end 1525822688722685385  Run 349841, LB 106, lumi 18.73
Event Veto ['MiniNoiseBurst'], Tue May  8 23:38:12 2018 UTC-Tue May  8 23:38:12 2018 UTC (0.001 )  Time stamp start 1525822692296908920 end 1525822692295908920  Run 349841, LB 106, lumi 18.73
Event Veto ['MiniNoiseBurst'], Tue May  8 23:38:17 2018 UTC-Tue May  8 23:38:17 2018 UTC (0.001 )  Time stamp start 1525822697041565915 end 1525822697040565915  Run 349841, LB 107, lumi 18.67
Event Veto ['MiniNoiseBurst'], Tue May  8 23:38:23 2018 UTC-Tue May  8 23:38:23 2018 UTC (0.001 )  Time stamp start 1525822703854146810 end 1525822703853146810  Run 349841, LB 107, lumi 18.67
Event Veto ['MiniNoiseBurst'], Tue May  8 23:38:30 2018 UTC-Tue May  8 23:38:30 2018 UTC (0.001 )  Time stamp start 1525822710178482440 end 1525822710177482440  Run 349841, LB 107, lumi 18.67
Event Veto ['MiniNoiseBurst'], Tue May  8 23:38:36 2018 UTC-Tue May  8 23:38:36 2018 UTC (0.001 )  Time stamp start 1525822716234145055 end 1525822716233145055  Run 349841, LB 107, lumi 18.67
Event Veto ['MiniNoiseBurst'], Tue May  8 23:38:38 2018 UTC-Tue May  8 23:38:38 2018 UTC (0.001 )  Time stamp start 1525822718611698910 end 1525822718610698910  Run 349841, LB 107, lumi 18.67
Event Veto ['MiniNoiseBurst'], Tue May  8 23:38:46 2018 UTC-Tue May  8 23:38:46 2018 UTC (0.001 )  Time stamp start 1525822726555959870 end 1525822726554959870  Run 349841, LB 107, lumi 18.67
Event Veto ['MiniNoiseBurst'], Tue May  8 23:38:52 2018 UTC-Tue May  8 23:38:52 2018 UTC (0.001 )  Time stamp start 1525822732622894305 end 1525822732621894305  Run 349841, LB 107, lumi 18.67
Event Veto ['MiniNoiseBurst'], Tue May  8 23:38:53 2018 UTC-Tue May  8 23:38:53 2018 UTC (0.001 )  Time stamp start 1525822733944666015 end 1525822733943666015  Run 349841, LB 107, lumi 18.67
Event Veto ['MiniNoiseBurst'], Tue May  8 23:38:55 2018 UTC-Tue May  8 23:38:55 2018 UTC (0.001 )  Time stamp start 1525822735001232185 end 1525822735000232185  Run 349841, LB 107, lumi 18.67
Event Veto ['MiniNoiseBurst'], Tue May  8 23:38:55 2018 UTC-Tue May  8 23:38:55 2018 UTC (0.001 )  Time stamp start 1525822735686364720 end 1525822735685364720  Run 349841, LB 107, lumi 18.67
Event Veto ['MiniNoiseBurst'], Tue May  8 23:38:57 2018 UTC-Tue May  8 23:38:57 2018 UTC (0.001 )  Time stamp start 1525822737870555445 end 1525822737869555270  Run 349841, LB 107, lumi 18.67
Event Veto ['MiniNoiseBurst'], Tue May  8 23:39:00 2018 UTC-Tue May  8 23:39:00 2018 UTC (0.001 )  Time stamp start 1525822740720499935 end 1525822740719499935  Run 349841, LB 107, lumi 18.67
Event Veto ['MiniNoiseBurst'], Tue May  8 23:39:08 2018 UTC-Tue May  8 23:39:08 2018 UTC (0.001 )  Time stamp start 1525822748259713055 end 1525822748258713055  Run 349841, LB 107, lumi 18.67
