Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 357887 to 357887
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 357887 to run 357887  lasting from Thu Aug  9 01:47:26 2018 UTC to Thu Aug  9 15:34:36 2018 UTC
Event Veto ['MiniNoiseBurst'], Thu Aug  9 04:18:30 2018 UTC-Thu Aug  9 04:18:30 2018 UTC (0.001 )  Time stamp start 1533788310619070585 end 1533788310618070585  Run 357887, LB 193, lumi 16.26
Event Veto ['NoiseBurst'], Thu Aug  9 04:20:01 2018 UTC-Thu Aug  9 04:20:01 2018 UTC (0.001 )  Time stamp start 1533788401069357115 end 1533788401068267170  Run 357887, LB 195, lumi 17.66
Event Veto ['MiniNoiseBurst'], Thu Aug  9 04:23:16 2018 UTC-Thu Aug  9 04:23:16 2018 UTC (0.001 )  Time stamp start 1533788596401640335 end 1533788596400640335  Run 357887, LB 198, lumi 16.11
Event Veto ['MiniNoiseBurst'], Thu Aug  9 04:26:39 2018 UTC-Thu Aug  9 04:26:39 2018 UTC (0.001 )  Time stamp start 1533788799240820195 end 1533788799239820195  Run 357887, LB 202, lumi 15.39
Event Veto ['MiniNoiseBurst'], Thu Aug  9 04:27:40 2018 UTC-Thu Aug  9 04:27:40 2018 UTC (0.001 )  Time stamp start 1533788860133406250 end 1533788860132406250  Run 357887, LB 203, lumi 15.34
Event Veto ['NoiseBurst'], Thu Aug  9 04:29:05 2018 UTC-Thu Aug  9 04:29:05 2018 UTC (0.001 )  Time stamp start 1533788945910142840 end 1533788945909142090  Run 357887, LB 204, lumi 15.98
Event Veto ['MiniNoiseBurst'], Thu Aug  9 04:32:07 2018 UTC-Thu Aug  9 04:32:07 2018 UTC (0.001 )  Time stamp start 1533789127272169190 end 1533789127271169190  Run 357887, LB 207, lumi 15.93
Event Veto ['NoiseBurst'], Thu Aug  9 04:33:11 2018 UTC-Thu Aug  9 04:33:11 2018 UTC (0.001 )  Time stamp start 1533789191782510240 end 1533789191781509865  Run 357887, LB 208, lumi 15.87
Event Veto ['NoiseBurst'], Thu Aug  9 04:34:24 2018 UTC-Thu Aug  9 04:34:24 2018 UTC (0.001 )  Time stamp start 1533789264075922760 end 1533789264074472325  Run 357887, LB 209, lumi 22.97
Event Veto ['NoiseBurst'], Thu Aug  9 04:34:24 2018 UTC-Thu Aug  9 04:34:24 2018 UTC (0.142 )  Time stamp start 1533789264340297830 end 1533789264197905355  Run 357887, LB 209, lumi 2255.45
Event Veto ['NoiseBurst'], Thu Aug  9 04:35:01 2018 UTC-Thu Aug  9 04:35:01 2018 UTC (0.001 )  Time stamp start 1533789301951927045 end 1533789301950631705  Run 357887, LB 210, lumi 20.47
Event Veto ['NoiseBurst'], Thu Aug  9 04:39:22 2018 UTC-Thu Aug  9 04:39:22 2018 UTC (0.001 )  Time stamp start 1533789562436964640 end 1533789562435813490  Run 357887, LB 214, lumi 18.03
