Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 337263 to 337263
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 337263 to run 337263  lasting from Thu Oct  5 15:35:36 2017 UTC to Fri Oct  6 07:58:59 2017 UTC
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Oct  5 18:57:34 2017 UTC-Thu Oct  5 18:57:34 2017 UTC (0.001 )  Time stamp start 1507229854677414255 end 1507229854676857330  Run 337263, LB 212, lumi 8.52
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Oct  5 18:57:34 2017 UTC-Thu Oct  5 18:57:34 2017 UTC (0.001 )  Time stamp start 1507229854678414255 end 1507229854677414255  Run 337263, LB 212, lumi 15.29
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:57:36 2017 UTC-Thu Oct  5 18:57:36 2017 UTC (0.001 )  Time stamp start 1507229856393050220 end 1507229856392049145  Run 337263, LB 212, lumi 15.31
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Oct  5 18:57:38 2017 UTC-Thu Oct  5 18:57:38 2017 UTC (0.001 )  Time stamp start 1507229858834836975 end 1507229858833836975  Run 337263, LB 212, lumi 15.29
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:57:40 2017 UTC-Thu Oct  5 18:57:40 2017 UTC (0.001 )  Time stamp start 1507229860519576690 end 1507229860518576315  Run 337263, LB 212, lumi 15.30
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:57:43 2017 UTC-Thu Oct  5 18:57:43 2017 UTC (0.001 )  Time stamp start 1507229863010028270 end 1507229863009028020  Run 337263, LB 212, lumi 15.30
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:57:44 2017 UTC-Thu Oct  5 18:57:44 2017 UTC (0.001 )  Time stamp start 1507229864488775400 end 1507229864487775000  Run 337263, LB 212, lumi 15.30
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Oct  5 18:57:46 2017 UTC-Thu Oct  5 18:57:46 2017 UTC (0.001 )  Time stamp start 1507229866042735460 end 1507229866041735335  Run 337263, LB 212, lumi 15.29
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:57:47 2017 UTC-Thu Oct  5 18:57:47 2017 UTC (0.001 )  Time stamp start 1507229867788026500 end 1507229867787026375  Run 337263, LB 212, lumi 15.29
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:57:49 2017 UTC-Thu Oct  5 18:57:49 2017 UTC (0.001 )  Time stamp start 1507229869849400390 end 1507229869848399315  Run 337263, LB 212, lumi 15.31
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:57:51 2017 UTC-Thu Oct  5 18:57:51 2017 UTC (0.001 )  Time stamp start 1507229871406674960 end 1507229871405674435  Run 337263, LB 212, lumi 15.30
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:57:53 2017 UTC-Thu Oct  5 18:57:53 2017 UTC (0.001 )  Time stamp start 1507229873089748385 end 1507229873088747385  Run 337263, LB 212, lumi 15.31
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Oct  5 18:57:54 2017 UTC-Thu Oct  5 18:57:54 2017 UTC (0.001 )  Time stamp start 1507229874992369680 end 1507229874991369555  Run 337263, LB 212, lumi 15.29
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Oct  5 18:57:56 2017 UTC-Thu Oct  5 18:57:56 2017 UTC (0.001 )  Time stamp start 1507229876691002410 end 1507229876690002410  Run 337263, LB 212, lumi 15.29
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:57:57 2017 UTC-Thu Oct  5 18:57:57 2017 UTC (0.001 )  Time stamp start 1507229877897772085 end 1507229877896772085  Run 337263, LB 212, lumi 15.29
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:57:58 2017 UTC-Thu Oct  5 18:57:58 2017 UTC (0.001 )  Time stamp start 1507229878348205240 end 1507229878347204740  Run 337263, LB 212, lumi 15.30
Event Veto ['MiniNoiseBurst'], Thu Oct  5 18:58:00 2017 UTC-Thu Oct  5 18:58:00 2017 UTC (0.001 )  Time stamp start 1507229880267242295 end 1507229880266241920  Run 337263, LB 212, lumi 15.30
