Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 305543 to 305543
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 305543 to run 305543  lasting from Wed Aug  3 16:51:37 2016 UTC to Thu Aug  4 09:25:51 2016 UTC
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:34:10 2016 UTC-Wed Aug  3 18:34:10 2016 UTC (0.001 )  Time stamp start 1470249250406895495 end 1470249250405894320  Run 305543, LB 109, lumi 7.81
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:34:15 2016 UTC-Wed Aug  3 18:34:15 2016 UTC (0.001 )  Time stamp start 1470249255371152630 end 1470249255370151130  Run 305543, LB 109, lumi 7.81
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:34:26 2016 UTC-Wed Aug  3 18:34:26 2016 UTC (0.001 )  Time stamp start 1470249266409217435 end 1470249266408216935  Run 305543, LB 109, lumi 7.80
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:34:33 2016 UTC-Wed Aug  3 18:34:33 2016 UTC (0.001 )  Time stamp start 1470249273029099090 end 1470249273028099090  Run 305543, LB 109, lumi 7.80
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:34:44 2016 UTC-Wed Aug  3 18:34:44 2016 UTC (0.001 )  Time stamp start 1470249284898262925 end 1470249284897262925  Run 305543, LB 110, lumi 7.84
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:34:50 2016 UTC-Wed Aug  3 18:34:50 2016 UTC (0.001 )  Time stamp start 1470249290520529825 end 1470249290519528400  Run 305543, LB 110, lumi 7.85
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:34:56 2016 UTC-Wed Aug  3 18:34:56 2016 UTC (0.001 )  Time stamp start 1470249296198050910 end 1470249296197050635  Run 305543, LB 110, lumi 7.84
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:35:01 2016 UTC-Wed Aug  3 18:35:01 2016 UTC (0.001 )  Time stamp start 1470249301391034170 end 1470249301390033870  Run 305543, LB 110, lumi 7.84
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:35:06 2016 UTC-Wed Aug  3 18:35:06 2016 UTC (0.001 )  Time stamp start 1470249306725396130 end 1470249306724396130  Run 305543, LB 110, lumi 7.84
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:35:26 2016 UTC-Wed Aug  3 18:35:26 2016 UTC (0.001 )  Time stamp start 1470249326134673050 end 1470249326133672655  Run 305543, LB 110, lumi 7.84
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:35:43 2016 UTC-Wed Aug  3 18:35:43 2016 UTC (0.001 )  Time stamp start 1470249343005825160 end 1470249343004824660  Run 305543, LB 111, lumi 8.04
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:35:55 2016 UTC-Wed Aug  3 18:35:55 2016 UTC (0.001 )  Time stamp start 1470249355748692585 end 1470249355747691090  Run 305543, LB 111, lumi 8.05
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:36:01 2016 UTC-Wed Aug  3 18:36:01 2016 UTC (0.001 )  Time stamp start 1470249361180252750 end 1470249361179252500  Run 305543, LB 111, lumi 8.04
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:36:11 2016 UTC-Wed Aug  3 18:36:11 2016 UTC (0.001 )  Time stamp start 1470249371638974980 end 1470249371637974780  Run 305543, LB 111, lumi 8.04
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:36:44 2016 UTC-Wed Aug  3 18:36:44 2016 UTC (0.001 )  Time stamp start 1470249404602505355 end 1470249404601505355  Run 305543, LB 112, lumi 8.47
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:36:50 2016 UTC-Wed Aug  3 18:36:50 2016 UTC (0.001 )  Time stamp start 1470249410032777260 end 1470249410031777260  Run 305543, LB 112, lumi 8.47
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:36:56 2016 UTC-Wed Aug  3 18:36:56 2016 UTC (0.001 )  Time stamp start 1470249416335115540 end 1470249416334115215  Run 305543, LB 112, lumi 8.47
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:37:23 2016 UTC-Wed Aug  3 18:37:23 2016 UTC (0.001 )  Time stamp start 1470249443755208185 end 1470249443754208060  Run 305543, LB 112, lumi 8.47
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:37:33 2016 UTC-Wed Aug  3 18:37:33 2016 UTC (0.001 )  Time stamp start 1470249453102631735 end 1470249453101631610  Run 305543, LB 112, lumi 8.47
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:37:38 2016 UTC-Wed Aug  3 18:37:38 2016 UTC (0.001 )  Time stamp start 1470249458203479400 end 1470249458202479400  Run 305543, LB 113, lumi 8.47
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:37:54 2016 UTC-Wed Aug  3 18:37:54 2016 UTC (0.001 )  Time stamp start 1470249474743271285 end 1470249474742270885  Run 305543, LB 113, lumi 8.47
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:38:11 2016 UTC-Wed Aug  3 18:38:11 2016 UTC (0.001 )  Time stamp start 1470249491126817425 end 1470249491125817425  Run 305543, LB 113, lumi 8.47
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:38:23 2016 UTC-Wed Aug  3 18:38:23 2016 UTC (0.001 )  Time stamp start 1470249503079135015 end 1470249503078134840  Run 305543, LB 113, lumi 8.47
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:38:43 2016 UTC-Wed Aug  3 18:38:43 2016 UTC (0.001 )  Time stamp start 1470249523829830965 end 1470249523828829815  Run 305543, LB 114, lumi 8.47
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:39:05 2016 UTC-Wed Aug  3 18:39:05 2016 UTC (0.001 )  Time stamp start 1470249545369129920 end 1470249545368129070  Run 305543, LB 114, lumi 8.46
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:39:12 2016 UTC-Wed Aug  3 18:39:12 2016 UTC (0.001 )  Time stamp start 1470249552023468445 end 1470249552022468445  Run 305543, LB 114, lumi 8.46
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:40:18 2016 UTC-Wed Aug  3 18:40:18 2016 UTC (0.001 )  Time stamp start 1470249618685207815 end 1470249618684207315  Run 305543, LB 115, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:40:29 2016 UTC-Wed Aug  3 18:40:29 2016 UTC (0.001 )  Time stamp start 1470249629520891755 end 1470249629519891755  Run 305543, LB 115, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:40:35 2016 UTC-Wed Aug  3 18:40:35 2016 UTC (0.001 )  Time stamp start 1470249635106424405 end 1470249635105424405  Run 305543, LB 115, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:40:45 2016 UTC-Wed Aug  3 18:40:45 2016 UTC (0.001 )  Time stamp start 1470249645702600735 end 1470249645701599360  Run 305543, LB 116, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:40:50 2016 UTC-Wed Aug  3 18:40:50 2016 UTC (0.001 )  Time stamp start 1470249650929155915 end 1470249650928155665  Run 305543, LB 117, lumi 8.43
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:41:18 2016 UTC-Wed Aug  3 18:41:18 2016 UTC (0.001 )  Time stamp start 1470249678118302790 end 1470249678117301690  Run 305543, LB 117, lumi 8.44
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:41:29 2016 UTC-Wed Aug  3 18:41:29 2016 UTC (0.001 )  Time stamp start 1470249689180517915 end 1470249689179516745  Run 305543, LB 117, lumi 8.44
Event Veto ['NoiseBurst'], Wed Aug  3 18:42:21 2016 UTC-Wed Aug  3 18:42:21 2016 UTC (0.010 )  Time stamp start 1470249741697344655 end 1470249741687227265  Run 305543, LB 119, lumi 85.10
Event Veto ['NoiseBurst'], Wed Aug  3 18:42:21 2016 UTC-Wed Aug  3 18:42:21 2016 UTC (0.010 )  Time stamp start 1470249741708261905 end 1470249741698143035  Run 305543, LB 119, lumi 85.11
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:42:45 2016 UTC-Wed Aug  3 18:42:45 2016 UTC (0.001 )  Time stamp start 1470249765942455500 end 1470249765941455500  Run 305543, LB 119, lumi 8.41
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:42:51 2016 UTC-Wed Aug  3 18:42:51 2016 UTC (0.001 )  Time stamp start 1470249771358652320 end 1470249771357652320  Run 305543, LB 119, lumi 8.41
Event Veto ['NoiseBurst'], Wed Aug  3 18:43:00 2016 UTC-Wed Aug  3 18:43:00 2016 UTC (0.010 )  Time stamp start 1470249780291844870 end 1470249780281761365  Run 305543, LB 119, lumi 84.81
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:43:36 2016 UTC-Wed Aug  3 18:43:36 2016 UTC (0.001 )  Time stamp start 1470249816381554455 end 1470249816380554280  Run 305543, LB 120, lumi 8.39
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:43:57 2016 UTC-Wed Aug  3 18:43:57 2016 UTC (0.001 )  Time stamp start 1470249837430976650 end 1470249837429975380  Run 305543, LB 121, lumi 8.40
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:44:03 2016 UTC-Wed Aug  3 18:44:03 2016 UTC (0.001 )  Time stamp start 1470249843646349650 end 1470249843645349650  Run 305543, LB 121, lumi 8.39
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:44:09 2016 UTC-Wed Aug  3 18:44:09 2016 UTC (0.001 )  Time stamp start 1470249849044988935 end 1470249849043988635  Run 305543, LB 121, lumi 8.39
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:44:19 2016 UTC-Wed Aug  3 18:44:19 2016 UTC (0.001 )  Time stamp start 1470249859301778365 end 1470249859300778365  Run 305543, LB 121, lumi 8.39
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:44:25 2016 UTC-Wed Aug  3 18:44:25 2016 UTC (0.001 )  Time stamp start 1470249865697460160 end 1470249865696459060  Run 305543, LB 121, lumi 8.39
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:44:58 2016 UTC-Wed Aug  3 18:44:58 2016 UTC (0.001 )  Time stamp start 1470249898202709245 end 1470249898201709245  Run 305543, LB 122, lumi 8.38
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:45:03 2016 UTC-Wed Aug  3 18:45:03 2016 UTC (0.001 )  Time stamp start 1470249903265759635 end 1470249903264759460  Run 305543, LB 122, lumi 8.39
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:45:14 2016 UTC-Wed Aug  3 18:45:14 2016 UTC (0.001 )  Time stamp start 1470249914007712405 end 1470249914006712405  Run 305543, LB 122, lumi 8.38
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:45:31 2016 UTC-Wed Aug  3 18:45:31 2016 UTC (0.001 )  Time stamp start 1470249931652328855 end 1470249931651328855  Run 305543, LB 122, lumi 8.38
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:45:41 2016 UTC-Wed Aug  3 18:45:41 2016 UTC (0.001 )  Time stamp start 1470249941506075920 end 1470249941505075745  Run 305543, LB 122, lumi 8.39
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:45:53 2016 UTC-Wed Aug  3 18:45:53 2016 UTC (0.001 )  Time stamp start 1470249953693817910 end 1470249953692817785  Run 305543, LB 123, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:46:00 2016 UTC-Wed Aug  3 18:46:00 2016 UTC (0.001 )  Time stamp start 1470249960338255555 end 1470249960337255430  Run 305543, LB 123, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:46:01 2016 UTC-Wed Aug  3 18:46:01 2016 UTC (0.001 )  Time stamp start 1470249961089463265 end 1470249961088463265  Run 305543, LB 123, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:46:10 2016 UTC-Wed Aug  3 18:46:10 2016 UTC (0.001 )  Time stamp start 1470249970603888230 end 1470249970602888230  Run 305543, LB 123, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:46:15 2016 UTC-Wed Aug  3 18:46:15 2016 UTC (0.001 )  Time stamp start 1470249975727411850 end 1470249975726411600  Run 305543, LB 123, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:46:21 2016 UTC-Wed Aug  3 18:46:21 2016 UTC (0.001 )  Time stamp start 1470249981006944185 end 1470249981005944185  Run 305543, LB 123, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:46:37 2016 UTC-Wed Aug  3 18:46:37 2016 UTC (0.001 )  Time stamp start 1470249997968314325 end 1470249997967314325  Run 305543, LB 123, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:47:05 2016 UTC-Wed Aug  3 18:47:05 2016 UTC (0.001 )  Time stamp start 1470250025125004430 end 1470250025124004430  Run 305543, LB 125, lumi 8.36
Event Veto ['NoiseBurst'], Wed Aug  3 18:47:12 2016 UTC-Wed Aug  3 18:47:12 2016 UTC (0.010 )  Time stamp start 1470250032324028310 end 1470250032313713905  Run 305543, LB 125, lumi 86.18
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:47:16 2016 UTC-Wed Aug  3 18:47:16 2016 UTC (0.001 )  Time stamp start 1470250036426886675 end 1470250036425886675  Run 305543, LB 125, lumi 8.36
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:47:26 2016 UTC-Wed Aug  3 18:47:26 2016 UTC (0.001 )  Time stamp start 1470250046596089260 end 1470250046595089260  Run 305543, LB 125, lumi 8.36
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:47:31 2016 UTC-Wed Aug  3 18:47:31 2016 UTC (0.001 )  Time stamp start 1470250051794511230 end 1470250051793510930  Run 305543, LB 125, lumi 8.36
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:47:47 2016 UTC-Wed Aug  3 18:47:47 2016 UTC (0.001 )  Time stamp start 1470250067125036035 end 1470250067124035910  Run 305543, LB 125, lumi 8.36
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:47:57 2016 UTC-Wed Aug  3 18:47:57 2016 UTC (0.001 )  Time stamp start 1470250077370287670 end 1470250077369287670  Run 305543, LB 126, lumi 8.33
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:47:57 2016 UTC-Wed Aug  3 18:47:57 2016 UTC (0.001 )  Time stamp start 1470250077435629565 end 1470250077434629190  Run 305543, LB 126, lumi 8.34
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:48:02 2016 UTC-Wed Aug  3 18:48:02 2016 UTC (0.001 )  Time stamp start 1470250082696220525 end 1470250082695219055  Run 305543, LB 126, lumi 8.34
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:48:18 2016 UTC-Wed Aug  3 18:48:18 2016 UTC (0.001 )  Time stamp start 1470250098498279375 end 1470250098497279375  Run 305543, LB 126, lumi 8.33
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:48:23 2016 UTC-Wed Aug  3 18:48:23 2016 UTC (0.001 )  Time stamp start 1470250103791785700 end 1470250103790785575  Run 305543, LB 126, lumi 8.33
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:48:29 2016 UTC-Wed Aug  3 18:48:29 2016 UTC (0.001 )  Time stamp start 1470250109056264580 end 1470250109055264080  Run 305543, LB 126, lumi 8.34
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:48:39 2016 UTC-Wed Aug  3 18:48:39 2016 UTC (0.001 )  Time stamp start 1470250119296629145 end 1470250119295629145  Run 305543, LB 126, lumi 8.33
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:48:57 2016 UTC-Wed Aug  3 18:48:57 2016 UTC (0.001 )  Time stamp start 1470250137898541700 end 1470250137897541575  Run 305543, LB 127, lumi 8.31
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:49:25 2016 UTC-Wed Aug  3 18:49:25 2016 UTC (0.001 )  Time stamp start 1470250165604029185 end 1470250165603029185  Run 305543, LB 127, lumi 8.30
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:49:30 2016 UTC-Wed Aug  3 18:49:30 2016 UTC (0.001 )  Time stamp start 1470250170677300870 end 1470250170676300570  Run 305543, LB 127, lumi 8.31
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:49:53 2016 UTC-Wed Aug  3 18:49:53 2016 UTC (0.001 )  Time stamp start 1470250193573712425 end 1470250193572712425  Run 305543, LB 128, lumi 8.28
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:49:57 2016 UTC-Wed Aug  3 18:49:57 2016 UTC (0.001 )  Time stamp start 1470250197417329275 end 1470250197416329275  Run 305543, LB 128, lumi 8.28
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:50:09 2016 UTC-Wed Aug  3 18:50:09 2016 UTC (0.001 )  Time stamp start 1470250209416438510 end 1470250209415438510  Run 305543, LB 128, lumi 8.28
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:50:16 2016 UTC-Wed Aug  3 18:50:16 2016 UTC (0.001 )  Time stamp start 1470250216120733080 end 1470250216119732830  Run 305543, LB 128, lumi 8.28
Event Veto ['MiniNoiseBurst'], Wed Aug  3 18:50:28 2016 UTC-Wed Aug  3 18:50:28 2016 UTC (0.001 )  Time stamp start 1470250228229665915 end 1470250228228665915  Run 305543, LB 128, lumi 8.28
