Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 337176 to 337176
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 337176 to run 337176  lasting from Wed Oct  4 07:13:52 2017 UTC to Wed Oct  4 21:24:48 2017 UTC
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Oct  4 09:11:10 2017 UTC-Wed Oct  4 09:11:10 2017 UTC (0.001 )  Time stamp start 1507108270648591710 end 1507108270647591710  Run 337176, LB 122, lumi 9.17
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:11:14 2017 UTC-Wed Oct  4 09:11:14 2017 UTC (0.001 )  Time stamp start 1507108274687110585 end 1507108274685973255  Run 337176, LB 122, lumi 10.43
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:11:16 2017 UTC-Wed Oct  4 09:11:16 2017 UTC (0.001 )  Time stamp start 1507108276839528590 end 1507108276838528290  Run 337176, LB 122, lumi 9.17
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:11:18 2017 UTC-Wed Oct  4 09:11:18 2017 UTC (0.001 )  Time stamp start 1507108278985363590 end 1507108278984362470  Run 337176, LB 122, lumi 9.18
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:11:19 2017 UTC-Wed Oct  4 09:11:19 2017 UTC (0.001 )  Time stamp start 1507108279320879605 end 1507108279319879605  Run 337176, LB 122, lumi 9.17
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Oct  4 09:11:20 2017 UTC-Wed Oct  4 09:11:20 2017 UTC (0.001 )  Time stamp start 1507108280642817605 end 1507108280641817605  Run 337176, LB 122, lumi 9.17
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:11:22 2017 UTC-Wed Oct  4 09:11:22 2017 UTC (0.001 )  Time stamp start 1507108282807620580 end 1507108282806619660  Run 337176, LB 122, lumi 9.18
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:11:24 2017 UTC-Wed Oct  4 09:11:24 2017 UTC (0.001 )  Time stamp start 1507108284801744780 end 1507108284800744210  Run 337176, LB 122, lumi 9.17
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:11:26 2017 UTC-Wed Oct  4 09:11:26 2017 UTC (0.001 )  Time stamp start 1507108286967770495 end 1507108286966769375  Run 337176, LB 122, lumi 9.18
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:11:29 2017 UTC-Wed Oct  4 09:11:29 2017 UTC (0.001 )  Time stamp start 1507108289020136610 end 1507108289019136610  Run 337176, LB 122, lumi 9.17
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:11:31 2017 UTC-Wed Oct  4 09:11:31 2017 UTC (0.001 )  Time stamp start 1507108291083550285 end 1507108291082549810  Run 337176, LB 122, lumi 9.17
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:11:31 2017 UTC-Wed Oct  4 09:11:31 2017 UTC (0.001 )  Time stamp start 1507108291774843940 end 1507108291773843940  Run 337176, LB 122, lumi 9.17
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:11:33 2017 UTC-Wed Oct  4 09:11:33 2017 UTC (0.001 )  Time stamp start 1507108293795046975 end 1507108293793698490  Run 337176, LB 122, lumi 12.36
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:11:36 2017 UTC-Wed Oct  4 09:11:36 2017 UTC (0.001 )  Time stamp start 1507108296136474495 end 1507108296135473820  Run 337176, LB 122, lumi 9.17
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:11:46 2017 UTC-Wed Oct  4 09:11:46 2017 UTC (0.001 )  Time stamp start 1507108306047553870 end 1507108306046553870  Run 337176, LB 122, lumi 9.17
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:11:54 2017 UTC-Wed Oct  4 09:11:54 2017 UTC (0.001 )  Time stamp start 1507108314622752525 end 1507108314621752525  Run 337176, LB 122, lumi 9.17
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:11:54 2017 UTC-Wed Oct  4 09:11:54 2017 UTC (0.001 )  Time stamp start 1507108314934592655 end 1507108314933592655  Run 337176, LB 122, lumi 9.17
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:11:55 2017 UTC-Wed Oct  4 09:11:55 2017 UTC (0.002 )  Time stamp start 1507108315168674785 end 1507108315166824140  Run 337176, LB 122, lumi 16.97
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:12:01 2017 UTC-Wed Oct  4 09:12:01 2017 UTC (0.001 )  Time stamp start 1507108321956706520 end 1507108321955706520  Run 337176, LB 122, lumi 9.17
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:12:02 2017 UTC-Wed Oct  4 09:12:02 2017 UTC (0.001 )  Time stamp start 1507108322262015820 end 1507108322261015820  Run 337176, LB 122, lumi 9.17
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:12:07 2017 UTC-Wed Oct  4 09:12:07 2017 UTC (0.001 )  Time stamp start 1507108327264918440 end 1507108327263918440  Run 337176, LB 122, lumi 9.17
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:12:22 2017 UTC-Wed Oct  4 09:12:22 2017 UTC (0.001 )  Time stamp start 1507108342431016875 end 1507108342430016875  Run 337176, LB 124, lumi 5.98
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:12:30 2017 UTC-Wed Oct  4 09:12:30 2017 UTC (0.001 )  Time stamp start 1507108350311048575 end 1507108350310048575  Run 337176, LB 124, lumi 5.98
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:12:52 2017 UTC-Wed Oct  4 09:12:52 2017 UTC (0.001 )  Time stamp start 1507108372749331260 end 1507108372748331260  Run 337176, LB 124, lumi 5.98
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:13:03 2017 UTC-Wed Oct  4 09:13:03 2017 UTC (0.001 )  Time stamp start 1507108383505478095 end 1507108383504478095  Run 337176, LB 124, lumi 5.98
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:13:13 2017 UTC-Wed Oct  4 09:13:13 2017 UTC (0.001 )  Time stamp start 1507108393380808345 end 1507108393379808345  Run 337176, LB 124, lumi 5.98
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:13:32 2017 UTC-Wed Oct  4 09:13:32 2017 UTC (0.001 )  Time stamp start 1507108412281799585 end 1507108412280799585  Run 337176, LB 125, lumi 5.98
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:13:54 2017 UTC-Wed Oct  4 09:13:54 2017 UTC (0.001 )  Time stamp start 1507108434986407415 end 1507108434985407415  Run 337176, LB 125, lumi 5.98
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:14:04 2017 UTC-Wed Oct  4 09:14:04 2017 UTC (0.001 )  Time stamp start 1507108444623558630 end 1507108444622558630  Run 337176, LB 125, lumi 5.98
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:14:15 2017 UTC-Wed Oct  4 09:14:15 2017 UTC (0.001 )  Time stamp start 1507108455043737665 end 1507108455042737665  Run 337176, LB 125, lumi 5.98
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:14:19 2017 UTC-Wed Oct  4 09:14:19 2017 UTC (0.003 )  Time stamp start 1507108459606678550 end 1507108459604114735  Run 337176, LB 125, lumi 15.32
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:14:31 2017 UTC-Wed Oct  4 09:14:31 2017 UTC (0.001 )  Time stamp start 1507108471641790695 end 1507108471640790695  Run 337176, LB 126, lumi 5.98
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:14:33 2017 UTC-Wed Oct  4 09:14:33 2017 UTC (0.001 )  Time stamp start 1507108473321424315 end 1507108473320424315  Run 337176, LB 126, lumi 5.98
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:14:38 2017 UTC-Wed Oct  4 09:14:38 2017 UTC (0.001 )  Time stamp start 1507108478793409825 end 1507108478792409825  Run 337176, LB 126, lumi 5.98
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:14:55 2017 UTC-Wed Oct  4 09:14:55 2017 UTC (0.002 )  Time stamp start 1507108495939927815 end 1507108495938352880  Run 337176, LB 126, lumi 9.41
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:15:04 2017 UTC-Wed Oct  4 09:15:04 2017 UTC (0.001 )  Time stamp start 1507108504689045355 end 1507108504688000745  Run 337176, LB 126, lumi 6.24
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:15:10 2017 UTC-Wed Oct  4 09:15:10 2017 UTC (0.001 )  Time stamp start 1507108510512164990 end 1507108510511164990  Run 337176, LB 126, lumi 5.98
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:15:14 2017 UTC-Wed Oct  4 09:15:14 2017 UTC (0.001 )  Time stamp start 1507108514408847695 end 1507108514407847695  Run 337176, LB 126, lumi 5.98
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:15:28 2017 UTC-Wed Oct  4 09:15:28 2017 UTC (0.001 )  Time stamp start 1507108528366929670 end 1507108528365929670  Run 337176, LB 127, lumi 5.98
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:15:33 2017 UTC-Wed Oct  4 09:15:33 2017 UTC (0.001 )  Time stamp start 1507108533236388795 end 1507108533235388795  Run 337176, LB 127, lumi 5.98
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:15:34 2017 UTC-Wed Oct  4 09:15:34 2017 UTC (0.001 )  Time stamp start 1507108534726214055 end 1507108534725214055  Run 337176, LB 127, lumi 5.98
Event Veto ['MiniNoiseBurst'], Wed Oct  4 09:15:36 2017 UTC-Wed Oct  4 09:15:36 2017 UTC (0.001 )  Time stamp start 1507108536278377145 end 1507108536277377145  Run 337176, LB 127, lumi 5.98
