Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 333904 to 333904
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 333904 to run 333904  lasting from Tue Aug 22 20:52:45 2017 UTC to Wed Aug 23 05:15:26 2017 UTC
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:25:59 2017 UTC-Tue Aug 22 23:25:59 2017 UTC (0.001 )  Time stamp start 1503444359117876285 end 1503444359116875660  Run 333904, LB 163, lumi 6.28
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:26:15 2017 UTC-Tue Aug 22 23:26:15 2017 UTC (0.001 )  Time stamp start 1503444375310770365 end 1503444375309770365  Run 333904, LB 163, lumi 6.28
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:27:18 2017 UTC-Tue Aug 22 23:27:18 2017 UTC (0.001 )  Time stamp start 1503444438762046860 end 1503444438761046360  Run 333904, LB 164, lumi 6.50
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:27:33 2017 UTC-Tue Aug 22 23:27:33 2017 UTC (0.001 )  Time stamp start 1503444453492800925 end 1503444453491800925  Run 333904, LB 165, lumi 7.12
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:27:44 2017 UTC-Tue Aug 22 23:27:44 2017 UTC (0.001 )  Time stamp start 1503444464727225545 end 1503444464726225545  Run 333904, LB 165, lumi 7.12
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:28:21 2017 UTC-Tue Aug 22 23:28:21 2017 UTC (0.001 )  Time stamp start 1503444501347459385 end 1503444501346459385  Run 333904, LB 165, lumi 7.12
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:28:55 2017 UTC-Tue Aug 22 23:28:55 2017 UTC (0.001 )  Time stamp start 1503444535090363765 end 1503444535089363765  Run 333904, LB 166, lumi 6.34
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:29:11 2017 UTC-Tue Aug 22 23:29:11 2017 UTC (0.000 )  Time stamp start 1503444551579154055 end 1503444551579153310  Run 333904, LB 167, lumi 0.01
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:29:11 2017 UTC-Tue Aug 22 23:29:11 2017 UTC (0.001 )  Time stamp start 1503444551580154055 end 1503444551579154055  Run 333904, LB 167, lumi 7.52
Event Veto ['MiniNoiseBurst'], Tue Aug 22 23:29:46 2017 UTC-Tue Aug 22 23:29:46 2017 UTC (0.001 )  Time stamp start 1503444586792064475 end 1503444586791064475  Run 333904, LB 167, lumi 7.52
