Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 306655 to 306655
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 306655 to run 306655  lasting from Fri Aug 19 14:36:13 2016 UTC to Fri Aug 19 19:22:16 2016 UTC
Event Veto ['NoiseBurst'], Fri Aug 19 15:52:04 2016 UTC-Fri Aug 19 15:52:04 2016 UTC (0.017 )  Time stamp start 1471621924145045525 end 1471621924127975160  Run 306655, LB 82, lumi 99.88
Event Veto ['NoiseBurst'], Fri Aug 19 15:52:04 2016 UTC-Fri Aug 19 15:52:04 2016 UTC (0.091 )  Time stamp start 1471621924238199560 end 1471621924147287230  Run 306655, LB 82, lumi 531.93
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:52:16 2016 UTC-Fri Aug 19 15:52:16 2016 UTC (0.010 )  Time stamp start 1471621936797315120 end 1471621936787315120  Run 306655, LB 82, lumi 58.51
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:53:59 2016 UTC-Fri Aug 19 15:53:59 2016 UTC (0.010 )  Time stamp start 1471622039726661995 end 1471622039716661995  Run 306655, LB 84, lumi 58.39
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:54:00 2016 UTC-Fri Aug 19 15:54:00 2016 UTC (0.010 )  Time stamp start 1471622040257441730 end 1471622040247441730  Run 306655, LB 84, lumi 58.39
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:54:11 2016 UTC-Fri Aug 19 15:54:11 2016 UTC (0.010 )  Time stamp start 1471622051532235480 end 1471622051522235480  Run 306655, LB 84, lumi 58.39
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:55:09 2016 UTC-Fri Aug 19 15:55:09 2016 UTC (0.010 )  Time stamp start 1471622109898292485 end 1471622109888292485  Run 306655, LB 85, lumi 58.32
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:55:16 2016 UTC-Fri Aug 19 15:55:16 2016 UTC (0.010 )  Time stamp start 1471622116143518595 end 1471622116133517545  Run 306655, LB 85, lumi 58.32
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:56:01 2016 UTC-Fri Aug 19 15:56:01 2016 UTC (0.010 )  Time stamp start 1471622161180447550 end 1471622161170447550  Run 306655, LB 86, lumi 58.25
Event Veto ['MiniNoiseBurst'], Fri Aug 19 15:57:21 2016 UTC-Fri Aug 19 15:57:21 2016 UTC (0.010 )  Time stamp start 1471622241037195570 end 1471622241027195570  Run 306655, LB 87, lumi 58.18
