Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 340368 to 340368
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 340368 to run 340368  lasting from Thu Nov  9 00:27:52 2017 UTC to Thu Nov  9 11:08:31 2017 UTC
Event Veto ['MiniNoiseBurst'], Thu Nov  9 01:39:18 2017 UTC-Thu Nov  9 01:39:18 2017 UTC (0.001 )  Time stamp start 1510191558683284845 end 1510191558682284845  Run 340368, LB 83, lumi 14.88
Event Veto ['MiniNoiseBurst'], Thu Nov  9 01:40:03 2017 UTC-Thu Nov  9 01:40:03 2017 UTC (0.001 )  Time stamp start 1510191603010642855 end 1510191603009642855  Run 340368, LB 84, lumi 14.91
Event Veto ['MiniNoiseBurst'], Thu Nov  9 01:40:18 2017 UTC-Thu Nov  9 01:40:18 2017 UTC (0.001 )  Time stamp start 1510191618963220225 end 1510191618962220225  Run 340368, LB 85, lumi 14.94
Event Veto ['MiniNoiseBurst'], Thu Nov  9 01:40:39 2017 UTC-Thu Nov  9 01:40:39 2017 UTC (0.001 )  Time stamp start 1510191639471013180 end 1510191639470013180  Run 340368, LB 85, lumi 14.94
Event Veto ['MiniNoiseBurst'], Thu Nov  9 01:41:04 2017 UTC-Thu Nov  9 01:41:04 2017 UTC (0.001 )  Time stamp start 1510191664982821055 end 1510191664981821055  Run 340368, LB 85, lumi 14.94
Event Veto ['MiniNoiseBurst'], Thu Nov  9 01:41:17 2017 UTC-Thu Nov  9 01:41:17 2017 UTC (0.001 )  Time stamp start 1510191677361979285 end 1510191677360979285  Run 340368, LB 86, lumi 14.91
Event Veto ['NoiseBurst'], Thu Nov  9 01:41:19 2017 UTC-Thu Nov  9 01:41:19 2017 UTC (0.003 )  Time stamp start 1510191679268558910 end 1510191679265548430  Run 340368, LB 86, lumi 44.88
Event Veto ['MiniNoiseBurst'], Thu Nov  9 01:41:21 2017 UTC-Thu Nov  9 01:41:21 2017 UTC (0.001 )  Time stamp start 1510191681573082875 end 1510191681572082875  Run 340368, LB 86, lumi 14.91
Event Veto ['MiniNoiseBurst'], Thu Nov  9 01:42:26 2017 UTC-Thu Nov  9 01:42:26 2017 UTC (0.001 )  Time stamp start 1510191746424966105 end 1510191746423966105  Run 340368, LB 87, lumi 14.89
Event Veto ['MiniNoiseBurst'], Thu Nov  9 01:43:00 2017 UTC-Thu Nov  9 01:43:00 2017 UTC (0.001 )  Time stamp start 1510191780463655470 end 1510191780462655470  Run 340368, LB 87, lumi 14.89
Event Veto ['NoiseBurst'], Thu Nov  9 01:43:50 2017 UTC-Thu Nov  9 01:43:50 2017 UTC (0.001 )  Time stamp start 1510191830035500715 end 1510191830034411645  Run 340368, LB 88, lumi 16.23
Event Veto ['MiniNoiseBurst'], Thu Nov  9 01:44:08 2017 UTC-Thu Nov  9 01:44:08 2017 UTC (0.001 )  Time stamp start 1510191848988924430 end 1510191848987924430  Run 340368, LB 88, lumi 14.90
Event Veto ['NoiseBurst'], Thu Nov  9 01:45:08 2017 UTC-Thu Nov  9 01:45:08 2017 UTC (0.001 )  Time stamp start 1510191908866790960 end 1510191908865754330  Run 340368, LB 89, lumi 15.52
Event Veto ['MiniNoiseBurst'], Thu Nov  9 01:45:25 2017 UTC-Thu Nov  9 01:45:25 2017 UTC (0.001 )  Time stamp start 1510191925275363115 end 1510191925274172670  Run 340368, LB 90, lumi 17.83
Event Veto ['MiniNoiseBurst'], Thu Nov  9 01:45:55 2017 UTC-Thu Nov  9 01:45:55 2017 UTC (0.001 )  Time stamp start 1510191955541557760 end 1510191955540557760  Run 340368, LB 90, lumi 14.98
Event Veto ['MiniNoiseBurst'], Thu Nov  9 01:46:03 2017 UTC-Thu Nov  9 01:46:03 2017 UTC (0.001 )  Time stamp start 1510191963105230560 end 1510191963104230560  Run 340368, LB 90, lumi 14.98
Event Veto ['MiniNoiseBurst'], Thu Nov  9 01:46:25 2017 UTC-Thu Nov  9 01:46:25 2017 UTC (0.001 )  Time stamp start 1510191985112316890 end 1510191985111316890  Run 340368, LB 91, lumi 14.95
