Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 359823 to 359823
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 359823 to run 359823  lasting from Mon Sep  3 15:37:16 2018 UTC to Tue Sep  4 04:02:49 2018 UTC
Event Veto ['MiniNoiseBurst'], Mon Sep  3 18:14:05 2018 UTC-Mon Sep  3 18:14:05 2018 UTC (0.001 )  Time stamp start 1535998445972200150 end 1535998445971200150  Run 359823, LB 200, lumi 16.79
Event Veto ['MiniNoiseBurst'], Mon Sep  3 18:15:52 2018 UTC-Mon Sep  3 18:15:52 2018 UTC (0.001 )  Time stamp start 1535998552644541955 end 1535998552643541955  Run 359823, LB 202, lumi 16.78
Event Veto ['MiniNoiseBurst'], Mon Sep  3 18:16:44 2018 UTC-Mon Sep  3 18:16:44 2018 UTC (0.001 )  Time stamp start 1535998604006795420 end 1535998604005366890  Run 359823, LB 203, lumi 23.95
Event Veto ['NoiseBurst'], Mon Sep  3 18:16:48 2018 UTC-Mon Sep  3 18:16:48 2018 UTC (0.001 )  Time stamp start 1535998608622463155 end 1535998608621138595  Run 359823, LB 203, lumi 22.21
Event Veto ['NoiseBurst'], Mon Sep  3 18:16:50 2018 UTC-Mon Sep  3 18:16:50 2018 UTC (0.001 )  Time stamp start 1535998610274026030 end 1535998610272969520  Run 359823, LB 203, lumi 17.71
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Sep  3 18:17:30 2018 UTC-Mon Sep  3 18:17:30 2018 UTC (0.001 )  Time stamp start 1535998650954283000 end 1535998650953283000  Run 359823, LB 203, lumi 16.77
Event Veto ['MiniNoiseBurst'], Mon Sep  3 18:18:27 2018 UTC-Mon Sep  3 18:18:27 2018 UTC (0.001 )  Time stamp start 1535998707870922285 end 1535998707869922285  Run 359823, LB 204, lumi 16.73
Event Veto ['MiniNoiseBurst'], Mon Sep  3 18:21:56 2018 UTC-Mon Sep  3 18:21:56 2018 UTC (0.001 )  Time stamp start 1535998916112887265 end 1535998916111887265  Run 359823, LB 208, lumi 16.57
Event Veto ['MiniNoiseBurst'], Mon Sep  3 18:22:38 2018 UTC-Mon Sep  3 18:22:38 2018 UTC (0.001 )  Time stamp start 1535998958945523055 end 1535998958944523055  Run 359823, LB 209, lumi 16.55
Event Veto ['NoiseBurst'], Mon Sep  3 18:25:55 2018 UTC-Mon Sep  3 18:25:55 2018 UTC (0.001 )  Time stamp start 1535999155142279915 end 1535999155141279165  Run 359823, LB 213, lumi 16.45
Event Veto ['MiniNoiseBurst'], Mon Sep  3 18:27:20 2018 UTC-Mon Sep  3 18:27:20 2018 UTC (0.001 )  Time stamp start 1535999240628739850 end 1535999240627739850  Run 359823, LB 215, lumi 16.40
Event Veto ['NoiseBurst'], Mon Sep  3 18:30:16 2018 UTC-Mon Sep  3 18:30:16 2018 UTC (0.002 )  Time stamp start 1535999416011723340 end 1535999416009886490  Run 359823, LB 218, lumi 29.98
Event Veto ['NoiseBurst'], Mon Sep  3 18:32:20 2018 UTC-Mon Sep  3 18:32:20 2018 UTC (0.001 )  Time stamp start 1535999540956288975 end 1535999540955288480  Run 359823, LB 220, lumi 16.31
Event Veto ['MiniNoiseBurst'], Mon Sep  3 18:34:11 2018 UTC-Mon Sep  3 18:34:11 2018 UTC (0.001 )  Time stamp start 1535999651154245460 end 1535999651153245460  Run 359823, LB 222, lumi 16.21
Event Veto ['MiniNoiseBurst'], Mon Sep  3 18:34:20 2018 UTC-Mon Sep  3 18:34:20 2018 UTC (0.001 )  Time stamp start 1535999660108102430 end 1535999660107102430  Run 359823, LB 222, lumi 16.21
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Sep  3 18:36:01 2018 UTC-Mon Sep  3 18:36:01 2018 UTC (0.001 )  Time stamp start 1535999761407068455 end 1535999761406068455  Run 359823, LB 224, lumi 16.15
Event Veto ['NoiseBurst'], Mon Sep  3 18:36:32 2018 UTC-Mon Sep  3 18:36:32 2018 UTC (0.001 )  Time stamp start 1535999792438934145 end 1535999792437857920  Run 359823, LB 224, lumi 17.38
Event Veto ['MiniNoiseBurst'], Mon Sep  3 18:36:43 2018 UTC-Mon Sep  3 18:36:43 2018 UTC (0.001 )  Time stamp start 1535999803632961680 end 1535999803631961680  Run 359823, LB 224, lumi 16.15
Event Veto ['MiniNoiseBurst'], Mon Sep  3 18:38:08 2018 UTC-Mon Sep  3 18:38:08 2018 UTC (0.001 )  Time stamp start 1535999888971178320 end 1535999888970178320  Run 359823, LB 226, lumi 16.12
Event Veto ['MiniNoiseBurst'], Mon Sep  3 18:38:32 2018 UTC-Mon Sep  3 18:38:32 2018 UTC (0.001 )  Time stamp start 1535999912685022085 end 1535999912684022085  Run 359823, LB 226, lumi 16.12
Event Veto ['MiniNoiseBurst'], Mon Sep  3 18:39:46 2018 UTC-Mon Sep  3 18:39:46 2018 UTC (0.001 )  Time stamp start 1535999986977625145 end 1535999986976625145  Run 359823, LB 227, lumi 16.11
Event Veto ['NoiseBurst'], Mon Sep  3 18:40:48 2018 UTC-Mon Sep  3 18:40:48 2018 UTC (0.001 )  Time stamp start 1536000048157165510 end 1536000048156020220  Run 359823, LB 228, lumi 18.38
Event Veto ['MiniNoiseBurst'], Mon Sep  3 18:42:08 2018 UTC-Mon Sep  3 18:42:08 2018 UTC (0.001 )  Time stamp start 1536000128862756085 end 1536000128861756085  Run 359823, LB 230, lumi 15.99
Event Veto ['MiniNoiseBurst'], Mon Sep  3 18:42:31 2018 UTC-Mon Sep  3 18:42:31 2018 UTC (0.001 )  Time stamp start 1536000151473200390 end 1536000151472200390  Run 359823, LB 230, lumi 15.99
Event Veto ['NoiseBurst'], Mon Sep  3 18:43:59 2018 UTC-Mon Sep  3 18:43:59 2018 UTC (0.001 )  Time stamp start 1536000239399255710 end 1536000239398255460  Run 359823, LB 232, lumi 15.94
Event Veto ['MiniNoiseBurst'], Mon Sep  3 18:44:51 2018 UTC-Mon Sep  3 18:44:51 2018 UTC (0.001 )  Time stamp start 1536000291685651325 end 1536000291684651325  Run 359823, LB 233, lumi 15.92
Event Veto ['MiniNoiseBurst'], Mon Sep  3 18:45:21 2018 UTC-Mon Sep  3 18:45:21 2018 UTC (0.001 )  Time stamp start 1536000321977339835 end 1536000321976339835  Run 359823, LB 234, lumi 15.86
Event Veto ['MiniNoiseBurst'], Mon Sep  3 18:46:16 2018 UTC-Mon Sep  3 18:46:16 2018 UTC (0.001 )  Time stamp start 1536000376415799810 end 1536000376414799810  Run 359823, LB 235, lumi 15.83
Event Veto ['MiniNoiseBurst'], Mon Sep  3 18:47:37 2018 UTC-Mon Sep  3 18:47:37 2018 UTC (0.001 )  Time stamp start 1536000457848868030 end 1536000457847868030  Run 359823, LB 236, lumi 15.83
Event Veto ['MiniNoiseBurst'], Mon Sep  3 18:47:51 2018 UTC-Mon Sep  3 18:47:51 2018 UTC (0.001 )  Time stamp start 1536000471487756860 end 1536000471486756860  Run 359823, LB 236, lumi 15.83
Event Veto ['MiniNoiseBurst'], Mon Sep  3 18:49:20 2018 UTC-Mon Sep  3 18:49:20 2018 UTC (0.001 )  Time stamp start 1536000560150298665 end 1536000560149298665  Run 359823, LB 238, lumi 15.85
Event Veto ['NoiseBurst'], Mon Sep  3 18:49:51 2018 UTC-Mon Sep  3 18:49:51 2018 UTC (0.001 )  Time stamp start 1536000591446487420 end 1536000591445487295  Run 359823, LB 238, lumi 15.85
Event Veto ['NoiseBurst'], Mon Sep  3 18:50:33 2018 UTC-Mon Sep  3 18:50:33 2018 UTC (0.001 )  Time stamp start 1536000633414915770 end 1536000633413807510  Run 359823, LB 239, lumi 17.50
Event Veto ['MiniNoiseBurst'], Mon Sep  3 18:51:15 2018 UTC-Mon Sep  3 18:51:15 2018 UTC (0.001 )  Time stamp start 1536000675688984600 end 1536000675687984600  Run 359823, LB 240, lumi 15.77
Event Veto ['MiniNoiseBurst'], Mon Sep  3 18:51:29 2018 UTC-Mon Sep  3 18:51:29 2018 UTC (0.001 )  Time stamp start 1536000689888359265 end 1536000689887359265  Run 359823, LB 240, lumi 15.77
Event Veto ['NoiseBurst'], Mon Sep  3 18:51:39 2018 UTC-Mon Sep  3 18:51:39 2018 UTC (0.001 )  Time stamp start 1536000699058224290 end 1536000699057223620  Run 359823, LB 240, lumi 15.78
Event Veto ['MiniNoiseBurst'], Mon Sep  3 18:51:39 2018 UTC-Mon Sep  3 18:51:39 2018 UTC (0.001 )  Time stamp start 1536000699126148265 end 1536000699125148265  Run 359823, LB 240, lumi 15.77
Event Veto ['MiniNoiseBurst'], Mon Sep  3 18:53:42 2018 UTC-Mon Sep  3 18:53:42 2018 UTC (0.001 )  Time stamp start 1536000822789921550 end 1536000822788921550  Run 359823, LB 242, lumi 15.68
Event Veto ['MiniNoiseBurst'], Mon Sep  3 18:53:42 2018 UTC-Mon Sep  3 18:53:42 2018 UTC (0.000 )  Time stamp start 1536000822790257785 end 1536000822789921550  Run 359823, LB 242, lumi 5.27
