Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 307619 to 307619
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 307619 to run 307619  lasting from Thu Sep  1 21:23:25 2016 UTC to Fri Sep  2 01:31:50 2016 UTC
Event Veto ['NoiseBurst'], Thu Sep  1 23:18:06 2016 UTC-Thu Sep  1 23:18:06 2016 UTC (0.010 )  Time stamp start 1472771886062736325 end 1472771886052706935  Run 307619, LB 126, lumi 93.73
Event Veto ['NoiseBurst'], Thu Sep  1 23:18:06 2016 UTC-Thu Sep  1 23:18:06 2016 UTC (0.010 )  Time stamp start 1472771886627858485 end 1472771886617857685  Run 307619, LB 126, lumi 93.46
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:18:06 2016 UTC-Thu Sep  1 23:18:06 2016 UTC (0.010 )  Time stamp start 1472771886995326970 end 1472771886985325870  Run 307619, LB 126, lumi 93.47
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Sep  1 23:18:10 2016 UTC-Thu Sep  1 23:18:11 2016 UTC (0.010 )  Time stamp start 1472771891005970855 end 1472771890995970855  Run 307619, LB 126, lumi 93.46
Event Veto ['NoiseBurst'], Thu Sep  1 23:18:13 2016 UTC-Thu Sep  1 23:18:13 2016 UTC (0.010 )  Time stamp start 1472771893782291485 end 1472771893772153460  Run 307619, LB 126, lumi 94.74
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:18:14 2016 UTC-Thu Sep  1 23:18:14 2016 UTC (0.010 )  Time stamp start 1472771894465372935 end 1472771894455372810  Run 307619, LB 126, lumi 93.46
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:18:18 2016 UTC-Thu Sep  1 23:18:18 2016 UTC (0.010 )  Time stamp start 1472771898705420710 end 1472771898695420585  Run 307619, LB 126, lumi 93.46
Event Veto ['NoiseBurst'], Thu Sep  1 23:18:18 2016 UTC-Thu Sep  1 23:18:18 2016 UTC (0.010 )  Time stamp start 1472771898754692660 end 1472771898744688815  Run 307619, LB 126, lumi 93.49
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:18:22 2016 UTC-Thu Sep  1 23:18:22 2016 UTC (0.010 )  Time stamp start 1472771902672675465 end 1472771902662675165  Run 307619, LB 126, lumi 93.46
Event Veto ['NoiseBurst'], Thu Sep  1 23:18:23 2016 UTC-Thu Sep  1 23:18:23 2016 UTC (0.010 )  Time stamp start 1472771903620694020 end 1472771903610663605  Run 307619, LB 126, lumi 93.74
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:18:26 2016 UTC-Thu Sep  1 23:18:26 2016 UTC (0.010 )  Time stamp start 1472771906732368415 end 1472771906722368090  Run 307619, LB 126, lumi 93.46
Event Veto ['NoiseBurst'], Thu Sep  1 23:18:30 2016 UTC-Thu Sep  1 23:18:30 2016 UTC (0.010 )  Time stamp start 1472771910166829280 end 1472771910156813960  Run 307619, LB 126, lumi 93.60
Event Veto ['MiniNoiseBurst'], Thu Sep  1 23:18:31 2016 UTC-Thu Sep  1 23:18:31 2016 UTC (0.010 )  Time stamp start 1472771911668640615 end 1472771911658640615  Run 307619, LB 126, lumi 93.46
