Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 338183 to 338183
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 338183 to run 338183  lasting from Fri Oct 13 17:08:29 2017 UTC to Sat Oct 14 09:33:18 2017 UTC
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:48:23 2017 UTC-Fri Oct 13 19:48:23 2017 UTC (0.001 )  Time stamp start 1507924103801294095 end 1507924103800294095  Run 338183, LB 171, lumi 15.13
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:49:28 2017 UTC-Fri Oct 13 19:49:28 2017 UTC (0.001 )  Time stamp start 1507924168114638020 end 1507924168113638020  Run 338183, LB 172, lumi 14.38
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:49:45 2017 UTC-Fri Oct 13 19:49:45 2017 UTC (0.001 )  Time stamp start 1507924185050764155 end 1507924185049764155  Run 338183, LB 173, lumi 15.54
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:49:48 2017 UTC-Fri Oct 13 19:49:48 2017 UTC (0.001 )  Time stamp start 1507924188645918960 end 1507924188644918960  Run 338183, LB 173, lumi 15.54
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:49:50 2017 UTC-Fri Oct 13 19:49:50 2017 UTC (0.002 )  Time stamp start 1507924190652937585 end 1507924190651347425  Run 338183, LB 173, lumi 24.71
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:49:53 2017 UTC-Fri Oct 13 19:49:53 2017 UTC (0.001 )  Time stamp start 1507924193998594125 end 1507924193997594125  Run 338183, LB 173, lumi 15.54
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:50:52 2017 UTC-Fri Oct 13 19:50:52 2017 UTC (0.001 )  Time stamp start 1507924252730323780 end 1507924252729323780  Run 338183, LB 174, lumi 14.81
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:50:56 2017 UTC-Fri Oct 13 19:50:56 2017 UTC (0.001 )  Time stamp start 1507924256479428940 end 1507924256478428940  Run 338183, LB 174, lumi 14.81
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:51:27 2017 UTC-Fri Oct 13 19:51:27 2017 UTC (0.001 )  Time stamp start 1507924287495226905 end 1507924287494226905  Run 338183, LB 174, lumi 14.81
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:52:06 2017 UTC-Fri Oct 13 19:52:06 2017 UTC (0.001 )  Time stamp start 1507924326641113485 end 1507924326640113485  Run 338183, LB 175, lumi 15.26
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:52:30 2017 UTC-Fri Oct 13 19:52:30 2017 UTC (0.001 )  Time stamp start 1507924350147177010 end 1507924350146177010  Run 338183, LB 175, lumi 15.26
Event Veto ['MiniNoiseBurst'], Fri Oct 13 19:52:31 2017 UTC-Fri Oct 13 19:52:31 2017 UTC (0.001 )  Time stamp start 1507924351615652385 end 1507924351614652385  Run 338183, LB 175, lumi 15.26
