Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 341312 to 341312
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 341312 to run 341312  lasting from Tue Nov 21 20:30:19 2017 UTC to Wed Nov 22 08:07:00 2017 UTC
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:36:11 2017 UTC-Tue Nov 21 21:36:11 2017 UTC (0.001 )  Time stamp start 1511300171075329750 end 1511300171074329750  Run 341312, LB 76, lumi 6.21
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:39:26 2017 UTC-Tue Nov 21 21:39:26 2017 UTC (0.002 )  Time stamp start 1511300366120715670 end 1511300366118512470  Run 341312, LB 87, lumi 13.67
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:43:43 2017 UTC-Tue Nov 21 21:43:43 2017 UTC (0.001 )  Time stamp start 1511300623060614770 end 1511300623059614770  Run 341312, LB 99, lumi 6.19
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:43:54 2017 UTC-Tue Nov 21 21:43:54 2017 UTC (0.002 )  Time stamp start 1511300634156896430 end 1511300634154962925  Run 341312, LB 101, lumi 11.97
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:45:19 2017 UTC-Tue Nov 21 21:45:19 2017 UTC (0.002 )  Time stamp start 1511300719501117620 end 1511300719499525865  Run 341312, LB 107, lumi 9.85
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:45:44 2017 UTC-Tue Nov 21 21:45:44 2017 UTC (0.001 )  Time stamp start 1511300744476738940 end 1511300744475738940  Run 341312, LB 109, lumi 6.19
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:46:25 2017 UTC-Tue Nov 21 21:46:25 2017 UTC (0.002 )  Time stamp start 1511300785312971265 end 1511300785311360545  Run 341312, LB 112, lumi 9.97
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:46:25 2017 UTC-Tue Nov 21 21:46:25 2017 UTC (0.001 )  Time stamp start 1511300785428485925 end 1511300785427485925  Run 341312, LB 112, lumi 6.19
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:47:00 2017 UTC-Tue Nov 21 21:47:00 2017 UTC (0.001 )  Time stamp start 1511300820304204455 end 1511300820303204455  Run 341312, LB 114, lumi 6.19
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:47:00 2017 UTC-Tue Nov 21 21:47:00 2017 UTC (0.002 )  Time stamp start 1511300820602100965 end 1511300820600261170  Run 341312, LB 114, lumi 11.38
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:47:37 2017 UTC-Tue Nov 21 21:47:37 2017 UTC (0.001 )  Time stamp start 1511300857101339630 end 1511300857100339630  Run 341312, LB 116, lumi 6.18
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:48:27 2017 UTC-Tue Nov 21 21:48:27 2017 UTC (0.001 )  Time stamp start 1511300907613436190 end 1511300907612436190  Run 341312, LB 119, lumi 6.18
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:48:29 2017 UTC-Tue Nov 21 21:48:29 2017 UTC (0.001 )  Time stamp start 1511300909944331645 end 1511300909943303450  Run 341312, LB 119, lumi 6.36
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:48:46 2017 UTC-Tue Nov 21 21:48:46 2017 UTC (0.002 )  Time stamp start 1511300926472238495 end 1511300926469871040  Run 341312, LB 120, lumi 14.64
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:48:47 2017 UTC-Tue Nov 21 21:48:47 2017 UTC (0.002 )  Time stamp start 1511300927572592245 end 1511300927570701130  Run 341312, LB 120, lumi 11.69
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:49:49 2017 UTC-Tue Nov 21 21:49:49 2017 UTC (0.001 )  Time stamp start 1511300989106352270 end 1511300989105352270  Run 341312, LB 124, lumi 6.18
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:50:09 2017 UTC-Tue Nov 21 21:50:09 2017 UTC (0.001 )  Time stamp start 1511301009860742230 end 1511301009859710495  Run 341312, LB 125, lumi 6.38
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:50:49 2017 UTC-Tue Nov 21 21:50:49 2017 UTC (0.001 )  Time stamp start 1511301049857915320 end 1511301049856915320  Run 341312, LB 128, lumi 6.18
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:50:52 2017 UTC-Tue Nov 21 21:50:52 2017 UTC (0.001 )  Time stamp start 1511301052379260865 end 1511301052377952075  Run 341312, LB 128, lumi 8.09
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:50:52 2017 UTC-Tue Nov 21 21:50:52 2017 UTC (0.001 )  Time stamp start 1511301052734067490 end 1511301052733067490  Run 341312, LB 128, lumi 6.18
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:50:53 2017 UTC-Tue Nov 21 21:50:53 2017 UTC (0.002 )  Time stamp start 1511301053122081925 end 1511301053120096175  Run 341312, LB 128, lumi 12.28
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:50:53 2017 UTC-Tue Nov 21 21:50:53 2017 UTC (0.001 )  Time stamp start 1511301053300997090 end 1511301053299997090  Run 341312, LB 128, lumi 6.18
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Nov 21 21:51:10 2017 UTC-Tue Nov 21 21:51:10 2017 UTC (0.001 )  Time stamp start 1511301070697028615 end 1511301070696028615  Run 341312, LB 129, lumi 6.18
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:51:11 2017 UTC-Tue Nov 21 21:51:11 2017 UTC (0.001 )  Time stamp start 1511301071518146815 end 1511301071517146815  Run 341312, LB 129, lumi 6.18
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:51:11 2017 UTC-Tue Nov 21 21:51:11 2017 UTC (0.002 )  Time stamp start 1511301071786487575 end 1511301071784586830  Run 341312, LB 129, lumi 11.74
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:51:48 2017 UTC-Tue Nov 21 21:51:48 2017 UTC (0.001 )  Time stamp start 1511301108189390740 end 1511301108188390740  Run 341312, LB 131, lumi 6.17
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:52:48 2017 UTC-Tue Nov 21 21:52:48 2017 UTC (0.001 )  Time stamp start 1511301168748131680 end 1511301168746661335  Run 341312, LB 134, lumi 9.07
Event Veto ['MiniNoiseBurst'], Tue Nov 21 21:52:49 2017 UTC-Tue Nov 21 21:52:49 2017 UTC (0.001 )  Time stamp start 1511301169398674505 end 1511301169397674505  Run 341312, LB 134, lumi 6.17
