Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 337451 to 337451
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 337451 to run 337451  lasting from Sat Oct  7 22:03:51 2017 UTC to Sun Oct  8 13:39:09 2017 UTC
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sun Oct  8 01:22:49 2017 UTC-Sun Oct  8 01:22:49 2017 UTC (0.001 )  Time stamp start 1507425769066605395 end 1507425769065605395  Run 337451, LB 208, lumi 15.24
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:22:51 2017 UTC-Sun Oct  8 01:22:51 2017 UTC (0.001 )  Time stamp start 1507425771620355420 end 1507425771619354520  Run 337451, LB 208, lumi 15.25
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:22:52 2017 UTC-Sun Oct  8 01:22:52 2017 UTC (0.001 )  Time stamp start 1507425772809377070 end 1507425772808377070  Run 337451, LB 208, lumi 15.24
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:22:54 2017 UTC-Sun Oct  8 01:22:54 2017 UTC (0.001 )  Time stamp start 1507425774054747120 end 1507425774053746825  Run 337451, LB 208, lumi 15.24
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:22:56 2017 UTC-Sun Oct  8 01:22:56 2017 UTC (0.001 )  Time stamp start 1507425776722277265 end 1507425776721275940  Run 337451, LB 208, lumi 15.26
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:22:59 2017 UTC-Sun Oct  8 01:22:59 2017 UTC (0.001 )  Time stamp start 1507425779428563090 end 1507425779427562795  Run 337451, LB 208, lumi 15.24
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:23:01 2017 UTC-Sun Oct  8 01:23:01 2017 UTC (0.001 )  Time stamp start 1507425781098383380 end 1507425781097382955  Run 337451, LB 208, lumi 15.24
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:23:03 2017 UTC-Sun Oct  8 01:23:03 2017 UTC (0.001 )  Time stamp start 1507425783557692260 end 1507425783556691290  Run 337451, LB 208, lumi 15.25
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:23:05 2017 UTC-Sun Oct  8 01:23:05 2017 UTC (0.001 )  Time stamp start 1507425785850213330 end 1507425785849213330  Run 337451, LB 208, lumi 15.24
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:23:06 2017 UTC-Sun Oct  8 01:23:06 2017 UTC (0.001 )  Time stamp start 1507425786589545550 end 1507425786588544375  Run 337451, LB 208, lumi 15.26
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:23:09 2017 UTC-Sun Oct  8 01:23:09 2017 UTC (0.001 )  Time stamp start 1507425789198735275 end 1507425789197734975  Run 337451, LB 208, lumi 15.24
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:23:12 2017 UTC-Sun Oct  8 01:23:12 2017 UTC (0.001 )  Time stamp start 1507425792189555870 end 1507425792188554425  Run 337451, LB 208, lumi 15.26
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:23:14 2017 UTC-Sun Oct  8 01:23:14 2017 UTC (0.001 )  Time stamp start 1507425794948848500 end 1507425794947848200  Run 337451, LB 208, lumi 15.24
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:23:18 2017 UTC-Sun Oct  8 01:23:18 2017 UTC (0.001 )  Time stamp start 1507425798920019875 end 1507425798919019450  Run 337451, LB 208, lumi 15.24
Event Veto ['NoiseBurst'], Sun Oct  8 01:23:20 2017 UTC-Sun Oct  8 01:23:20 2017 UTC (0.001 )  Time stamp start 1507425800548376400 end 1507425800547376025  Run 337451, LB 208, lumi 15.24
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:23:21 2017 UTC-Sun Oct  8 01:23:21 2017 UTC (0.001 )  Time stamp start 1507425801959349200 end 1507425801958348605  Run 337451, LB 208, lumi 15.25
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:23:24 2017 UTC-Sun Oct  8 01:23:24 2017 UTC (0.001 )  Time stamp start 1507425804744710060 end 1507425804743710060  Run 337451, LB 208, lumi 15.24
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sun Oct  8 01:23:25 2017 UTC-Sun Oct  8 01:23:25 2017 UTC (0.001 )  Time stamp start 1507425805195836705 end 1507425805194836705  Run 337451, LB 208, lumi 15.24
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:23:28 2017 UTC-Sun Oct  8 01:23:28 2017 UTC (0.001 )  Time stamp start 1507425808668354595 end 1507425808667354195  Run 337451, LB 208, lumi 15.24
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:23:32 2017 UTC-Sun Oct  8 01:23:32 2017 UTC (0.001 )  Time stamp start 1507425812089660890 end 1507425812088660390  Run 337451, LB 208, lumi 15.25
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sun Oct  8 01:23:34 2017 UTC-Sun Oct  8 01:23:34 2017 UTC (0.001 )  Time stamp start 1507425814907676530 end 1507425814906676380  Run 337451, LB 208, lumi 15.24
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sun Oct  8 01:23:37 2017 UTC-Sun Oct  8 01:23:37 2017 UTC (0.001 )  Time stamp start 1507425817626026665 end 1507425817625026665  Run 337451, LB 208, lumi 15.24
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:23:40 2017 UTC-Sun Oct  8 01:23:40 2017 UTC (0.001 )  Time stamp start 1507425820841447085 end 1507425820840446085  Run 337451, LB 208, lumi 15.25
Event Veto ['NoiseBurst'], Sun Oct  8 01:23:41 2017 UTC-Sun Oct  8 01:23:41 2017 UTC (0.001 )  Time stamp start 1507425821640214785 end 1507425821639214660  Run 337451, LB 208, lumi 15.24
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:23:44 2017 UTC-Sun Oct  8 01:23:44 2017 UTC (0.001 )  Time stamp start 1507425824571298795 end 1507425824570297745  Run 337451, LB 209, lumi 14.50
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:23:47 2017 UTC-Sun Oct  8 01:23:47 2017 UTC (0.001 )  Time stamp start 1507425827321485800 end 1507425827320484750  Run 337451, LB 209, lumi 14.50
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:23:50 2017 UTC-Sun Oct  8 01:23:50 2017 UTC (0.001 )  Time stamp start 1507425830360548255 end 1507425830359546980  Run 337451, LB 209, lumi 14.51
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sun Oct  8 01:23:53 2017 UTC-Sun Oct  8 01:23:53 2017 UTC (0.001 )  Time stamp start 1507425833455259665 end 1507425833454259665  Run 337451, LB 209, lumi 14.49
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:23:56 2017 UTC-Sun Oct  8 01:23:56 2017 UTC (0.001 )  Time stamp start 1507425836810184515 end 1507425836809183495  Run 337451, LB 209, lumi 14.50
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sun Oct  8 01:23:59 2017 UTC-Sun Oct  8 01:23:59 2017 UTC (0.001 )  Time stamp start 1507425839532272170 end 1507425839531272170  Run 337451, LB 209, lumi 14.49
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:24:03 2017 UTC-Sun Oct  8 01:24:03 2017 UTC (0.001 )  Time stamp start 1507425843162511795 end 1507425843161510725  Run 337451, LB 209, lumi 14.50
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:24:04 2017 UTC-Sun Oct  8 01:24:04 2017 UTC (0.001 )  Time stamp start 1507425844855403310 end 1507425844854403310  Run 337451, LB 209, lumi 14.49
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:24:06 2017 UTC-Sun Oct  8 01:24:06 2017 UTC (0.002 )  Time stamp start 1507425846442697700 end 1507425846440873405  Run 337451, LB 209, lumi 26.43
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:24:06 2017 UTC-Sun Oct  8 01:24:06 2017 UTC (0.001 )  Time stamp start 1507425846487211745 end 1507425846486210470  Run 337451, LB 209, lumi 14.51
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:24:29 2017 UTC-Sun Oct  8 01:24:29 2017 UTC (0.001 )  Time stamp start 1507425869587713840 end 1507425869586713840  Run 337451, LB 209, lumi 14.49
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:24:32 2017 UTC-Sun Oct  8 01:24:32 2017 UTC (0.001 )  Time stamp start 1507425872245775705 end 1507425872244774580  Run 337451, LB 209, lumi 14.50
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:24:34 2017 UTC-Sun Oct  8 01:24:34 2017 UTC (0.001 )  Time stamp start 1507425874890869915 end 1507425874889869615  Run 337451, LB 209, lumi 14.49
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sun Oct  8 01:24:37 2017 UTC-Sun Oct  8 01:24:37 2017 UTC (0.001 )  Time stamp start 1507425877751443810 end 1507425877750443810  Run 337451, LB 209, lumi 14.49
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sun Oct  8 01:24:40 2017 UTC-Sun Oct  8 01:24:40 2017 UTC (0.001 )  Time stamp start 1507425880997782365 end 1507425880996782365  Run 337451, LB 209, lumi 14.49
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:24:42 2017 UTC-Sun Oct  8 01:24:42 2017 UTC (0.001 )  Time stamp start 1507425882885705455 end 1507425882884705205  Run 337451, LB 210, lumi 15.15
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sun Oct  8 01:24:56 2017 UTC-Sun Oct  8 01:24:56 2017 UTC (0.001 )  Time stamp start 1507425896428288695 end 1507425896427288570  Run 337451, LB 210, lumi 15.15
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:24:59 2017 UTC-Sun Oct  8 01:24:59 2017 UTC (0.001 )  Time stamp start 1507425899636647235 end 1507425899635646665  Run 337451, LB 210, lumi 15.16
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:25:01 2017 UTC-Sun Oct  8 01:25:01 2017 UTC (0.001 )  Time stamp start 1507425901831195460 end 1507425901830194410  Run 337451, LB 210, lumi 15.17
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:25:04 2017 UTC-Sun Oct  8 01:25:04 2017 UTC (0.001 )  Time stamp start 1507425904777023085 end 1507425904776022910  Run 337451, LB 210, lumi 15.15
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:25:08 2017 UTC-Sun Oct  8 01:25:08 2017 UTC (0.001 )  Time stamp start 1507425908080529925 end 1507425908079528755  Run 337451, LB 210, lumi 15.17
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:25:11 2017 UTC-Sun Oct  8 01:25:11 2017 UTC (0.001 )  Time stamp start 1507425911346163190 end 1507425911345162140  Run 337451, LB 210, lumi 15.17
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sun Oct  8 01:25:13 2017 UTC-Sun Oct  8 01:25:13 2017 UTC (0.001 )  Time stamp start 1507425913430071045 end 1507425913429071045  Run 337451, LB 210, lumi 15.15
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sun Oct  8 01:25:15 2017 UTC-Sun Oct  8 01:25:15 2017 UTC (0.001 )  Time stamp start 1507425915446608990 end 1507425915445608990  Run 337451, LB 210, lumi 15.15
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:25:18 2017 UTC-Sun Oct  8 01:25:18 2017 UTC (0.001 )  Time stamp start 1507425918326213510 end 1507425918325212135  Run 337451, LB 210, lumi 15.17
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sun Oct  8 01:25:20 2017 UTC-Sun Oct  8 01:25:20 2017 UTC (0.001 )  Time stamp start 1507425920590569235 end 1507425920589569110  Run 337451, LB 210, lumi 15.15
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:25:50 2017 UTC-Sun Oct  8 01:25:50 2017 UTC (0.001 )  Time stamp start 1507425950124741945 end 1507425950123740370  Run 337451, LB 211, lumi 15.22
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sun Oct  8 01:25:52 2017 UTC-Sun Oct  8 01:25:52 2017 UTC (0.001 )  Time stamp start 1507425952369018960 end 1507425952368018960  Run 337451, LB 211, lumi 15.20
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:25:55 2017 UTC-Sun Oct  8 01:25:55 2017 UTC (0.001 )  Time stamp start 1507425955652357070 end 1507425955651355595  Run 337451, LB 211, lumi 15.22
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sun Oct  8 01:25:58 2017 UTC-Sun Oct  8 01:25:58 2017 UTC (0.001 )  Time stamp start 1507425958150264745 end 1507425958149264745  Run 337451, LB 211, lumi 15.20
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sun Oct  8 01:26:00 2017 UTC-Sun Oct  8 01:26:00 2017 UTC (0.001 )  Time stamp start 1507425960259580140 end 1507425960258580015  Run 337451, LB 211, lumi 15.20
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:26:02 2017 UTC-Sun Oct  8 01:26:02 2017 UTC (0.001 )  Time stamp start 1507425962668917560 end 1507425962667916910  Run 337451, LB 211, lumi 15.21
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:26:04 2017 UTC-Sun Oct  8 01:26:04 2017 UTC (0.001 )  Time stamp start 1507425964036345230 end 1507425964035345230  Run 337451, LB 211, lumi 15.20
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sun Oct  8 01:26:05 2017 UTC-Sun Oct  8 01:26:05 2017 UTC (0.001 )  Time stamp start 1507425965877376325 end 1507425965876376025  Run 337451, LB 211, lumi 15.21
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:26:07 2017 UTC-Sun Oct  8 01:26:07 2017 UTC (0.001 )  Time stamp start 1507425967738777650 end 1507425967737776405  Run 337451, LB 211, lumi 15.22
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:26:09 2017 UTC-Sun Oct  8 01:26:09 2017 UTC (0.001 )  Time stamp start 1507425969884757535 end 1507425969883757110  Run 337451, LB 211, lumi 15.21
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:26:13 2017 UTC-Sun Oct  8 01:26:13 2017 UTC (0.001 )  Time stamp start 1507425973345183370 end 1507425973344182300  Run 337451, LB 211, lumi 15.22
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sun Oct  8 01:26:16 2017 UTC-Sun Oct  8 01:26:16 2017 UTC (0.001 )  Time stamp start 1507425976015343145 end 1507425976014343145  Run 337451, LB 211, lumi 15.20
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sun Oct  8 01:26:20 2017 UTC-Sun Oct  8 01:26:20 2017 UTC (0.001 )  Time stamp start 1507425980836191410 end 1507425980835191410  Run 337451, LB 211, lumi 15.20
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:26:23 2017 UTC-Sun Oct  8 01:26:23 2017 UTC (0.001 )  Time stamp start 1507425983218070860 end 1507425983217070065  Run 337451, LB 211, lumi 15.21
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:26:25 2017 UTC-Sun Oct  8 01:26:25 2017 UTC (0.001 )  Time stamp start 1507425985938043470 end 1507425985937042570  Run 337451, LB 211, lumi 15.21
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sun Oct  8 01:26:28 2017 UTC-Sun Oct  8 01:26:28 2017 UTC (0.001 )  Time stamp start 1507425988318349000 end 1507425988317348850  Run 337451, LB 211, lumi 15.20
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:26:30 2017 UTC-Sun Oct  8 01:26:30 2017 UTC (0.001 )  Time stamp start 1507425990654357465 end 1507425990653357165  Run 337451, LB 211, lumi 15.21
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:26:44 2017 UTC-Sun Oct  8 01:26:44 2017 UTC (0.001 )  Time stamp start 1507426004658886590 end 1507426004657885445  Run 337451, LB 212, lumi 15.26
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sun Oct  8 01:26:49 2017 UTC-Sun Oct  8 01:26:49 2017 UTC (0.001 )  Time stamp start 1507426009993199200 end 1507426009992199075  Run 337451, LB 212, lumi 15.25
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:26:54 2017 UTC-Sun Oct  8 01:26:54 2017 UTC (0.001 )  Time stamp start 1507426014560683730 end 1507426014559682410  Run 337451, LB 212, lumi 15.26
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:26:57 2017 UTC-Sun Oct  8 01:26:57 2017 UTC (0.001 )  Time stamp start 1507426017175343905 end 1507426017174343605  Run 337451, LB 212, lumi 15.25
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sun Oct  8 01:26:59 2017 UTC-Sun Oct  8 01:26:59 2017 UTC (0.001 )  Time stamp start 1507426019602743535 end 1507426019601743385  Run 337451, LB 212, lumi 15.25
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sun Oct  8 01:27:02 2017 UTC-Sun Oct  8 01:27:02 2017 UTC (0.001 )  Time stamp start 1507426022342574635 end 1507426022341574635  Run 337451, LB 212, lumi 15.24
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sun Oct  8 01:27:04 2017 UTC-Sun Oct  8 01:27:04 2017 UTC (0.001 )  Time stamp start 1507426024920995730 end 1507426024919995730  Run 337451, LB 212, lumi 15.24
Event Veto ['MiniNoiseBurst'], Sun Oct  8 01:27:07 2017 UTC-Sun Oct  8 01:27:07 2017 UTC (0.001 )  Time stamp start 1507426027897114280 end 1507426027896113980  Run 337451, LB 212, lumi 15.25
