Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 331742 to 331742
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 331742 to run 331742  lasting from Fri Aug  4 10:51:04 2017 UTC to Sat Aug  5 02:27:44 2017 UTC
Event Veto ['MiniNoiseBurst'], Fri Aug  4 12:33:05 2017 UTC-Fri Aug  4 12:33:05 2017 UTC (0.001 )  Time stamp start 1501849985630913245 end 1501849985629913245  Run 331742, LB 115, lumi 14.73
Event Veto ['MiniNoiseBurst'], Fri Aug  4 12:34:40 2017 UTC-Fri Aug  4 12:34:40 2017 UTC (0.001 )  Time stamp start 1501850080319011600 end 1501850080318011600  Run 331742, LB 116, lumi 14.71
Event Veto ['MiniNoiseBurst'], Fri Aug  4 12:34:45 2017 UTC-Fri Aug  4 12:34:45 2017 UTC (0.001 )  Time stamp start 1501850085217765265 end 1501850085216765265  Run 331742, LB 117, lumi 14.68
Event Veto ['MiniNoiseBurst'], Fri Aug  4 12:35:09 2017 UTC-Fri Aug  4 12:35:09 2017 UTC (0.001 )  Time stamp start 1501850109768250475 end 1501850109767250100  Run 331742, LB 117, lumi 14.68
Event Veto ['MiniNoiseBurst'], Fri Aug  4 12:37:00 2017 UTC-Fri Aug  4 12:37:00 2017 UTC (0.001 )  Time stamp start 1501850220569823795 end 1501850220568823795  Run 331742, LB 119, lumi 14.62
Event Veto ['MiniNoiseBurst'], Fri Aug  4 12:37:44 2017 UTC-Fri Aug  4 12:37:44 2017 UTC (0.001 )  Time stamp start 1501850264477535510 end 1501850264476535510  Run 331742, LB 119, lumi 14.62
Event Veto ['MiniNoiseBurst'], Fri Aug  4 12:37:53 2017 UTC-Fri Aug  4 12:37:53 2017 UTC (0.001 )  Time stamp start 1501850273188844415 end 1501850273187844290  Run 331742, LB 120, lumi 14.59
Event Veto ['MiniNoiseBurst'], Fri Aug  4 12:38:03 2017 UTC-Fri Aug  4 12:38:03 2017 UTC (0.001 )  Time stamp start 1501850283488990805 end 1501850283487990805  Run 331742, LB 120, lumi 14.59
Event Veto ['MiniNoiseBurst'], Fri Aug  4 12:38:36 2017 UTC-Fri Aug  4 12:38:36 2017 UTC (0.001 )  Time stamp start 1501850316299322560 end 1501850316298322560  Run 331742, LB 120, lumi 14.59
Event Veto ['MiniNoiseBurst'], Fri Aug  4 12:38:40 2017 UTC-Fri Aug  4 12:38:40 2017 UTC (0.001 )  Time stamp start 1501850320146505065 end 1501850320145505065  Run 331742, LB 120, lumi 14.59
Event Veto ['MiniNoiseBurst'], Fri Aug  4 12:38:50 2017 UTC-Fri Aug  4 12:38:50 2017 UTC (0.001 )  Time stamp start 1501850330783157810 end 1501850330782157810  Run 331742, LB 121, lumi 14.56
Event Veto ['MiniNoiseBurst'], Fri Aug  4 12:39:02 2017 UTC-Fri Aug  4 12:39:02 2017 UTC (0.001 )  Time stamp start 1501850342965165765 end 1501850342964165765  Run 331742, LB 121, lumi 14.56
Event Veto ['MiniNoiseBurst'], Fri Aug  4 12:39:25 2017 UTC-Fri Aug  4 12:39:25 2017 UTC (0.001 )  Time stamp start 1501850365164992775 end 1501850365163992775  Run 331742, LB 121, lumi 14.56
Event Veto ['MiniNoiseBurst'], Fri Aug  4 12:39:37 2017 UTC-Fri Aug  4 12:39:37 2017 UTC (0.001 )  Time stamp start 1501850377523720675 end 1501850377522720550  Run 331742, LB 121, lumi 14.56
Event Veto ['MiniNoiseBurst'], Fri Aug  4 12:39:45 2017 UTC-Fri Aug  4 12:39:45 2017 UTC (0.001 )  Time stamp start 1501850385832267475 end 1501850385831267475  Run 331742, LB 122, lumi 14.53
Event Veto ['MiniNoiseBurst'], Fri Aug  4 12:40:31 2017 UTC-Fri Aug  4 12:40:31 2017 UTC (0.001 )  Time stamp start 1501850431812723230 end 1501850431811723230  Run 331742, LB 122, lumi 14.53
Event Veto ['MiniNoiseBurst'], Fri Aug  4 12:40:33 2017 UTC-Fri Aug  4 12:40:33 2017 UTC (0.001 )  Time stamp start 1501850433896305760 end 1501850433895305760  Run 331742, LB 122, lumi 14.53
Event Veto ['MiniNoiseBurst'], Fri Aug  4 12:40:41 2017 UTC-Fri Aug  4 12:40:41 2017 UTC (0.001 )  Time stamp start 1501850441751857710 end 1501850441750857315  Run 331742, LB 122, lumi 14.54
Event Veto ['MiniNoiseBurst'], Fri Aug  4 12:40:56 2017 UTC-Fri Aug  4 12:40:56 2017 UTC (0.001 )  Time stamp start 1501850456371603680 end 1501850456370603680  Run 331742, LB 123, lumi 14.50
Event Veto ['MiniNoiseBurst'], Fri Aug  4 12:41:01 2017 UTC-Fri Aug  4 12:41:01 2017 UTC (0.001 )  Time stamp start 1501850461735545420 end 1501850461734545420  Run 331742, LB 123, lumi 14.50
Event Veto ['MiniNoiseBurst'], Fri Aug  4 12:41:30 2017 UTC-Fri Aug  4 12:41:30 2017 UTC (0.001 )  Time stamp start 1501850490084239685 end 1501850490083239685  Run 331742, LB 123, lumi 14.50
Event Veto ['MiniNoiseBurst'], Fri Aug  4 12:42:28 2017 UTC-Fri Aug  4 12:42:28 2017 UTC (0.001 )  Time stamp start 1501850548963609120 end 1501850548962608820  Run 331742, LB 125, lumi 14.45
