Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 307306 to 307306
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 307306 to run 307306  lasting from Sat Aug 27 08:42:12 2016 UTC to Sat Aug 27 15:42:35 2016 UTC
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:15:52 2016 UTC-Sat Aug 27 09:15:52 2016 UTC (0.010 )  Time stamp start 1472289352809624510 end 1472289352799624085  Run 307306, LB 38, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:16:48 2016 UTC-Sat Aug 27 09:16:48 2016 UTC (0.010 )  Time stamp start 1472289408937721480 end 1472289408927721480  Run 307306, LB 40, lumi 107.17
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:16:55 2016 UTC-Sat Aug 27 09:16:55 2016 UTC (0.010 )  Time stamp start 1472289415283268495 end 1472289415273268495  Run 307306, LB 40, lumi 107.17
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:18:04 2016 UTC-Sat Aug 27 09:18:04 2016 UTC (0.010 )  Time stamp start 1472289484167189570 end 1472289484157189325  Run 307306, LB 42, lumi 106.87
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:18:12 2016 UTC-Sat Aug 27 09:18:12 2016 UTC (0.010 )  Time stamp start 1472289492572361675 end 1472289492562361675  Run 307306, LB 42, lumi 106.87
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:18:24 2016 UTC-Sat Aug 27 09:18:24 2016 UTC (0.010 )  Time stamp start 1472289504069938130 end 1472289504059938130  Run 307306, LB 42, lumi 106.87
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:18:43 2016 UTC-Sat Aug 27 09:18:43 2016 UTC (0.010 )  Time stamp start 1472289523540478690 end 1472289523530478565  Run 307306, LB 43, lumi 106.65
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:19:26 2016 UTC-Sat Aug 27 09:19:26 2016 UTC (0.010 )  Time stamp start 1472289566256092645 end 1472289566246092520  Run 307306, LB 44, lumi 106.50
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:19:46 2016 UTC-Sat Aug 27 09:19:46 2016 UTC (0.010 )  Time stamp start 1472289586670493590 end 1472289586660493340  Run 307306, LB 44, lumi 106.50
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:19:59 2016 UTC-Sat Aug 27 09:19:59 2016 UTC (0.010 )  Time stamp start 1472289599450788510 end 1472289599440788510  Run 307306, LB 45, lumi 106.37
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:20:25 2016 UTC-Sat Aug 27 09:20:25 2016 UTC (0.010 )  Time stamp start 1472289625298259095 end 1472289625288258795  Run 307306, LB 45, lumi 106.37
Event Veto ['NoiseBurst'], Sat Aug 27 09:20:51 2016 UTC-Sat Aug 27 09:20:51 2016 UTC (0.010 )  Time stamp start 1472289651187777195 end 1472289651177677390  Run 307306, LB 45, lumi 107.43
Event Veto ['NoiseBurst'], Sat Aug 27 09:21:09 2016 UTC-Sat Aug 27 09:21:09 2016 UTC (0.010 )  Time stamp start 1472289669976467805 end 1472289669966266480  Run 307306, LB 46, lumi 0.00
Event Veto ['NoiseBurst'], Sat Aug 27 09:21:36 2016 UTC-Sat Aug 27 09:21:36 2016 UTC (0.010 )  Time stamp start 1472289696263206980 end 1472289696253079255  Run 307306, LB 46, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:21:40 2016 UTC-Sat Aug 27 09:21:40 2016 UTC (0.010 )  Time stamp start 1472289700078509860 end 1472289700068509860  Run 307306, LB 46, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:21:45 2016 UTC-Sat Aug 27 09:21:45 2016 UTC (0.010 )  Time stamp start 1472289705620874150 end 1472289705610873850  Run 307306, LB 46, lumi 0.00
Event Veto ['NoiseBurst'], Sat Aug 27 09:22:01 2016 UTC-Sat Aug 27 09:22:01 2016 UTC (0.010 )  Time stamp start 1472289721952523905 end 1472289721942362250  Run 307306, LB 47, lumi 0.00
Event Veto ['NoiseBurst'], Sat Aug 27 09:22:19 2016 UTC-Sat Aug 27 09:22:19 2016 UTC (0.010 )  Time stamp start 1472289739199196880 end 1472289739189030085  Run 307306, LB 48, lumi 107.68
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:22:24 2016 UTC-Sat Aug 27 09:22:24 2016 UTC (0.010 )  Time stamp start 1472289744195403160 end 1472289744185402785  Run 307306, LB 48, lumi 105.92
Event Veto ['MiniNoiseBurst'], Sat Aug 27 09:22:27 2016 UTC-Sat Aug 27 09:22:27 2016 UTC (0.010 )  Time stamp start 1472289747591897705 end 1472289747581897430  Run 307306, LB 48, lumi 105.91
