Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 303338 to 303338
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 303338 to run 303338  lasting from Tue Jul  5 23:33:17 2016 UTC to Thu Jul  7 04:20:15 2016 UTC
Event Veto ['MiniNoiseBurst'], Wed Jul  6 02:56:04 2016 UTC-Wed Jul  6 02:56:04 2016 UTC (0.001 )  Time stamp start 1467773764246964100 end 1467773764245962755  Run 303338, LB 213, lumi 9.38
Event Veto ['MiniNoiseBurst'], Wed Jul  6 02:56:08 2016 UTC-Wed Jul  6 02:56:08 2016 UTC (0.001 )  Time stamp start 1467773768730582020 end 1467773768729580900  Run 303338, LB 213, lumi 9.38
Event Veto ['NoiseBurst'], Wed Jul  6 02:56:17 2016 UTC-Wed Jul  6 02:56:17 2016 UTC (0.010 )  Time stamp start 1467773777755794975 end 1467773777745690530  Run 303338, LB 213, lumi 94.65
Event Veto ['MiniNoiseBurst'], Wed Jul  6 02:56:23 2016 UTC-Wed Jul  6 02:56:23 2016 UTC (0.001 )  Time stamp start 1467773783929757870 end 1467773783928756495  Run 303338, LB 213, lumi 9.38
Event Veto ['MiniNoiseBurst'], Wed Jul  6 02:56:30 2016 UTC-Wed Jul  6 02:56:30 2016 UTC (0.001 )  Time stamp start 1467773790282348180 end 1467773790281347930  Run 303338, LB 214, lumi 9.88
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Jul  6 02:56:37 2016 UTC-Wed Jul  6 02:56:37 2016 UTC (0.001 )  Time stamp start 1467773797663258035 end 1467773797662258035  Run 303338, LB 214, lumi 9.88
Event Veto ['MiniNoiseBurst'], Wed Jul  6 02:56:42 2016 UTC-Wed Jul  6 02:56:42 2016 UTC (0.001 )  Time stamp start 1467773802306665275 end 1467773802305663700  Run 303338, LB 214, lumi 9.89
Event Veto ['NoiseBurst'], Wed Jul  6 02:56:45 2016 UTC-Wed Jul  6 02:56:45 2016 UTC (0.010 )  Time stamp start 1467773805788659245 end 1467773805778658375  Run 303338, LB 214, lumi 98.78
Event Veto ['MiniNoiseBurst'], Wed Jul  6 02:56:54 2016 UTC-Wed Jul  6 02:56:54 2016 UTC (0.001 )  Time stamp start 1467773814682409110 end 1467773814681409110  Run 303338, LB 214, lumi 9.88
Event Veto ['NoiseBurst'], Wed Jul  6 02:57:04 2016 UTC-Wed Jul  6 02:57:04 2016 UTC (0.010 )  Time stamp start 1467773824220281100 end 1467773824210111015  Run 303338, LB 214, lumi 100.46
Event Veto ['NoiseBurst'], Wed Jul  6 02:57:08 2016 UTC-Wed Jul  6 02:57:08 2016 UTC (0.010 )  Time stamp start 1467773828451566635 end 1467773828441565710  Run 303338, LB 214, lumi 98.78
Event Veto ['MiniNoiseBurst'], Wed Jul  6 02:57:12 2016 UTC-Wed Jul  6 02:57:12 2016 UTC (0.001 )  Time stamp start 1467773832986716375 end 1467773832985715080  Run 303338, LB 214, lumi 9.89
Event Veto ['NoiseBurst'], Wed Jul  6 02:57:13 2016 UTC-Wed Jul  6 02:57:13 2016 UTC (0.010 )  Time stamp start 1467773833547843230 end 1467773833537842710  Run 303338, LB 214, lumi 98.78
Event Veto ['NoiseBurst'], Wed Jul  6 02:57:14 2016 UTC-Wed Jul  6 02:57:14 2016 UTC (0.010 )  Time stamp start 1467773834466944790 end 1467773834456944665  Run 303338, LB 214, lumi 98.78
Event Veto ['MiniNoiseBurst'], Wed Jul  6 02:57:16 2016 UTC-Wed Jul  6 02:57:16 2016 UTC (0.001 )  Time stamp start 1467773836651095050 end 1467773836650095050  Run 303338, LB 214, lumi 9.88
Event Veto ['NoiseBurst'], Wed Jul  6 02:57:33 2016 UTC-Wed Jul  6 02:57:33 2016 UTC (0.010 )  Time stamp start 1467773853260411740 end 1467773853250378905  Run 303338, LB 215, lumi 99.00
Event Veto ['NoiseBurst'], Wed Jul  6 02:57:43 2016 UTC-Wed Jul  6 02:57:43 2016 UTC (0.010 )  Time stamp start 1467773863787421850 end 1467773863777321600  Run 303338, LB 215, lumi 99.67
Event Veto ['MiniNoiseBurst'], Wed Jul  6 02:57:48 2016 UTC-Wed Jul  6 02:57:48 2016 UTC (0.001 )  Time stamp start 1467773868936580160 end 1467773868935580160  Run 303338, LB 215, lumi 9.87
Event Veto ['MiniNoiseBurst'], Wed Jul  6 02:57:53 2016 UTC-Wed Jul  6 02:57:53 2016 UTC (0.001 )  Time stamp start 1467773873134893115 end 1467773873133893115  Run 303338, LB 215, lumi 9.87
Event Veto ['NoiseBurst'], Wed Jul  6 02:57:56 2016 UTC-Wed Jul  6 02:57:56 2016 UTC (0.010 )  Time stamp start 1467773876732098670 end 1467773876722044380  Run 303338, LB 215, lumi 99.22
Event Veto ['MiniNoiseBurst'], Wed Jul  6 02:58:00 2016 UTC-Wed Jul  6 02:58:00 2016 UTC (0.001 )  Time stamp start 1467773880283163830 end 1467773880282163255  Run 303338, LB 215, lumi 9.87
Event Veto ['MiniNoiseBurst'], Wed Jul  6 02:58:00 2016 UTC-Wed Jul  6 02:58:00 2016 UTC (0.001 )  Time stamp start 1467773880783411995 end 1467773880782411050  Run 303338, LB 215, lumi 9.88
Event Veto ['NoiseBurst'], Wed Jul  6 02:58:02 2016 UTC-Wed Jul  6 02:58:02 2016 UTC (0.010 )  Time stamp start 1467773882328632740 end 1467773882318632040  Run 303338, LB 215, lumi 98.69
Event Veto ['MiniNoiseBurst'], Wed Jul  6 02:58:13 2016 UTC-Wed Jul  6 02:58:13 2016 UTC (0.001 )  Time stamp start 1467773893253739515 end 1467773893252738145  Run 303338, LB 215, lumi 9.88
Event Veto ['NoiseBurst'], Wed Jul  6 02:58:13 2016 UTC-Wed Jul  6 02:58:13 2016 UTC (0.010 )  Time stamp start 1467773893460987800 end 1467773893450947900  Run 303338, LB 215, lumi 99.07
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Jul  6 02:58:37 2016 UTC-Wed Jul  6 02:58:37 2016 UTC (0.010 )  Time stamp start 1467773917748902015 end 1467773917738485920  Run 303338, LB 216, lumi 101.27
Event Veto ['MiniNoiseBurst'], Wed Jul  6 02:58:37 2016 UTC-Wed Jul  6 02:58:37 2016 UTC (0.001 )  Time stamp start 1467773917749902785 end 1467773917748902015  Run 303338, LB 216, lumi 9.73
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Jul  6 02:58:37 2016 UTC-Wed Jul  6 02:58:37 2016 UTC (0.004 )  Time stamp start 1467773917754402015 end 1467773917749902785  Run 303338, LB 216, lumi 43.74
Event Veto ['NoiseBurst'], Wed Jul  6 02:58:40 2016 UTC-Wed Jul  6 02:58:40 2016 UTC (0.010 )  Time stamp start 1467773920854989900 end 1467773920844950805  Run 303338, LB 216, lumi 97.61
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Jul  6 02:58:45 2016 UTC-Wed Jul  6 02:58:45 2016 UTC (0.001 )  Time stamp start 1467773925518204400 end 1467773925517204400  Run 303338, LB 216, lumi 9.72
Event Veto ['NoiseBurst'], Wed Jul  6 02:58:48 2016 UTC-Wed Jul  6 02:58:48 2016 UTC (0.010 )  Time stamp start 1467773928456244970 end 1467773928446244250  Run 303338, LB 216, lumi 97.23
Event Veto ['MiniNoiseBurst'], Wed Jul  6 02:58:53 2016 UTC-Wed Jul  6 02:58:53 2016 UTC (0.001 )  Time stamp start 1467773933795649070 end 1467773933794648070  Run 303338, LB 216, lumi 9.73
Event Veto ['MiniNoiseBurst'], Wed Jul  6 02:58:56 2016 UTC-Wed Jul  6 02:58:56 2016 UTC (0.001 )  Time stamp start 1467773936670820605 end 1467773936669819260  Run 303338, LB 216, lumi 9.74
Event Veto ['MiniNoiseBurst'], Wed Jul  6 02:59:02 2016 UTC-Wed Jul  6 02:59:02 2016 UTC (0.001 )  Time stamp start 1467773942255497935 end 1467773942254497660  Run 303338, LB 216, lumi 9.73
Event Veto ['NoiseBurst'], Wed Jul  6 02:59:03 2016 UTC-Wed Jul  6 02:59:03 2016 UTC (0.010 )  Time stamp start 1467773943168842190 end 1467773943158841295  Run 303338, LB 216, lumi 97.24
Event Veto ['NoiseBurst'], Wed Jul  6 02:59:39 2016 UTC-Wed Jul  6 02:59:39 2016 UTC (0.010 )  Time stamp start 1467773979017113475 end 1467773979006889845  Run 303338, LB 217, lumi 95.13
Event Veto ['MiniNoiseBurst'], Wed Jul  6 02:59:46 2016 UTC-Wed Jul  6 02:59:46 2016 UTC (0.001 )  Time stamp start 1467773986209332640 end 1467773986208331215  Run 303338, LB 217, lumi 9.32
Event Veto ['NoiseBurst'], Wed Jul  6 03:00:23 2016 UTC-Wed Jul  6 03:00:23 2016 UTC (0.010 )  Time stamp start 1467774023367718420 end 1467774023357717700  Run 303338, LB 217, lumi 93.06
Event Veto ['MiniNoiseBurst'], Wed Jul  6 03:00:24 2016 UTC-Wed Jul  6 03:00:24 2016 UTC (0.001 )  Time stamp start 1467774024221650885 end 1467774024220650885  Run 303338, LB 217, lumi 9.30
