Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 307195 to 307195
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 307195 to run 307195  lasting from Thu Aug 25 16:41:18 2016 UTC to Fri Aug 26 04:57:00 2016 UTC
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:54:45 2016 UTC-Thu Aug 25 20:54:45 2016 UTC (0.010 )  Time stamp start 1472158485108577790 end 1472158485098577790  Run 307195, LB 259, lumi 73.87
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:54:49 2016 UTC-Thu Aug 25 20:54:49 2016 UTC (0.010 )  Time stamp start 1472158489926114315 end 1472158489916114315  Run 307195, LB 259, lumi 73.87
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:54:54 2016 UTC-Thu Aug 25 20:54:54 2016 UTC (0.010 )  Time stamp start 1472158494710322115 end 1472158494700322115  Run 307195, LB 259, lumi 73.87
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:55:04 2016 UTC-Thu Aug 25 20:55:04 2016 UTC (0.010 )  Time stamp start 1472158504717792545 end 1472158504707792295  Run 307195, LB 259, lumi 73.87
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:55:09 2016 UTC-Thu Aug 25 20:55:09 2016 UTC (0.010 )  Time stamp start 1472158509966696450 end 1472158509956696450  Run 307195, LB 259, lumi 73.87
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:55:15 2016 UTC-Thu Aug 25 20:55:15 2016 UTC (0.010 )  Time stamp start 1472158515415929425 end 1472158515405929425  Run 307195, LB 259, lumi 73.87
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:55:20 2016 UTC-Thu Aug 25 20:55:20 2016 UTC (0.010 )  Time stamp start 1472158520604033940 end 1472158520594033940  Run 307195, LB 260, lumi 86.04
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:55:25 2016 UTC-Thu Aug 25 20:55:25 2016 UTC (0.010 )  Time stamp start 1472158525940389565 end 1472158525930389565  Run 307195, LB 260, lumi 86.04
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:55:31 2016 UTC-Thu Aug 25 20:55:31 2016 UTC (0.010 )  Time stamp start 1472158531290869180 end 1472158531280869180  Run 307195, LB 260, lumi 86.04
Event Veto ['MiniNoiseBurst'], Thu Aug 25 20:55:36 2016 UTC-Thu Aug 25 20:55:36 2016 UTC (0.010 )  Time stamp start 1472158536488940220 end 1472158536478940220  Run 307195, LB 260, lumi 86.04
