Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 304494 to 304494
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 304494 to run 304494  lasting from Mon Jul 25 17:05:03 2016 UTC to Mon Jul 25 21:41:45 2016 UTC
Event Veto ['MiniNoiseBurst'], Mon Jul 25 19:43:17 2016 UTC-Mon Jul 25 19:43:17 2016 UTC (0.001 )  Time stamp start 1469475797689047440 end 1469475797688047440  Run 304494, LB 165, lumi 11.88
Event Veto ['MiniNoiseBurst'], Mon Jul 25 19:43:30 2016 UTC-Mon Jul 25 19:43:30 2016 UTC (0.001 )  Time stamp start 1469475810682595260 end 1469475810681593965  Run 304494, LB 165, lumi 11.89
Event Veto ['NoiseBurst'], Mon Jul 25 19:43:31 2016 UTC-Mon Jul 25 19:43:31 2016 UTC (0.010 )  Time stamp start 1469475811810348150 end 1469475811800347625  Run 304494, LB 165, lumi 118.77
Event Veto ['NoiseBurst'], Mon Jul 25 19:43:35 2016 UTC-Mon Jul 25 19:43:35 2016 UTC (0.010 )  Time stamp start 1469475815200456905 end 1469475815190297870  Run 304494, LB 165, lumi 120.66
Event Veto ['MiniNoiseBurst'], Mon Jul 25 19:43:35 2016 UTC-Mon Jul 25 19:43:35 2016 UTC (0.001 )  Time stamp start 1469475815626994150 end 1469475815625993950  Run 304494, LB 165, lumi 11.88
Event Veto ['MiniNoiseBurst'], Mon Jul 25 19:44:05 2016 UTC-Mon Jul 25 19:44:05 2016 UTC (0.001 )  Time stamp start 1469475845607376085 end 1469475845606374985  Run 304494, LB 166, lumi 11.88
Event Veto ['MiniNoiseBurst'], Mon Jul 25 19:44:14 2016 UTC-Mon Jul 25 19:44:14 2016 UTC (0.001 )  Time stamp start 1469475854197007680 end 1469475854196007385  Run 304494, LB 166, lumi 11.87
Event Veto ['MiniNoiseBurst'], Mon Jul 25 19:44:18 2016 UTC-Mon Jul 25 19:44:18 2016 UTC (0.001 )  Time stamp start 1469475858685421280 end 1469475858684421280  Run 304494, LB 166, lumi 11.86
Event Veto ['MiniNoiseBurst'], Mon Jul 25 19:44:23 2016 UTC-Mon Jul 25 19:44:23 2016 UTC (0.001 )  Time stamp start 1469475863041932150 end 1469475863040931825  Run 304494, LB 166, lumi 11.87
Event Veto ['MiniNoiseBurst'], Mon Jul 25 19:44:53 2016 UTC-Mon Jul 25 19:44:53 2016 UTC (0.001 )  Time stamp start 1469475893966569020 end 1469475893965569020  Run 304494, LB 166, lumi 11.86
Event Veto ['MiniNoiseBurst'], Mon Jul 25 19:45:05 2016 UTC-Mon Jul 25 19:45:05 2016 UTC (0.001 )  Time stamp start 1469475905733044780 end 1469475905732044605  Run 304494, LB 167, lumi 11.84
Event Veto ['MiniNoiseBurst'], Mon Jul 25 19:45:23 2016 UTC-Mon Jul 25 19:45:23 2016 UTC (0.001 )  Time stamp start 1469475923420992190 end 1469475923419992190  Run 304494, LB 167, lumi 11.84
Event Veto ['MiniNoiseBurst'], Mon Jul 25 19:46:16 2016 UTC-Mon Jul 25 19:46:16 2016 UTC (0.001 )  Time stamp start 1469475976111173235 end 1469475976110173085  Run 304494, LB 168, lumi 11.82
Event Veto ['NoiseBurst'], Mon Jul 25 19:46:23 2016 UTC-Mon Jul 25 19:46:23 2016 UTC (0.010 )  Time stamp start 1469475983655134410 end 1469475983645026845  Run 304494, LB 168, lumi 119.45
