Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 355544 to 355544
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 355544 to run 355544  lasting from Sat Jul 14 16:53:57 2018 UTC to Sun Jul 15 04:35:14 2018 UTC
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:20:47 2018 UTC-Sat Jul 14 19:20:47 2018 UTC (0.001 )  Time stamp start 1531596047604357540 end 1531596047603357540  Run 355544, LB 194, lumi 17.75
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:20:56 2018 UTC-Sat Jul 14 19:20:56 2018 UTC (0.001 )  Time stamp start 1531596056598079735 end 1531596056597079735  Run 355544, LB 194, lumi 17.75
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:21:03 2018 UTC-Sat Jul 14 19:21:03 2018 UTC (0.001 )  Time stamp start 1531596063247071330 end 1531596063246071330  Run 355544, LB 194, lumi 17.75
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:21:28 2018 UTC-Sat Jul 14 19:21:28 2018 UTC (0.001 )  Time stamp start 1531596088139467500 end 1531596088138467500  Run 355544, LB 195, lumi 17.71
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:22:18 2018 UTC-Sat Jul 14 19:22:18 2018 UTC (0.001 )  Time stamp start 1531596138333707005 end 1531596138332707005  Run 355544, LB 197, lumi 17.71
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:22:28 2018 UTC-Sat Jul 14 19:22:28 2018 UTC (0.001 )  Time stamp start 1531596148849301255 end 1531596148848301255  Run 355544, LB 197, lumi 17.71
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:23:43 2018 UTC-Sat Jul 14 19:23:43 2018 UTC (0.001 )  Time stamp start 1531596223287276385 end 1531596223286276385  Run 355544, LB 198, lumi 17.64
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:23:53 2018 UTC-Sat Jul 14 19:23:53 2018 UTC (0.001 )  Time stamp start 1531596233440559345 end 1531596233439559345  Run 355544, LB 198, lumi 17.64
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:23:56 2018 UTC-Sat Jul 14 19:23:56 2018 UTC (0.001 )  Time stamp start 1531596236862642515 end 1531596236861642515  Run 355544, LB 198, lumi 17.64
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:24:02 2018 UTC-Sat Jul 14 19:24:02 2018 UTC (0.001 )  Time stamp start 1531596242361103195 end 1531596242360103195  Run 355544, LB 198, lumi 17.64
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:24:03 2018 UTC-Sat Jul 14 19:24:03 2018 UTC (0.001 )  Time stamp start 1531596243362071795 end 1531596243361071795  Run 355544, LB 198, lumi 17.64
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:24:08 2018 UTC-Sat Jul 14 19:24:08 2018 UTC (0.001 )  Time stamp start 1531596248430143770 end 1531596248429143770  Run 355544, LB 199, lumi 17.59
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:24:28 2018 UTC-Sat Jul 14 19:24:28 2018 UTC (0.001 )  Time stamp start 1531596268691460100 end 1531596268690459805  Run 355544, LB 199, lumi 17.59
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:25:07 2018 UTC-Sat Jul 14 19:25:07 2018 UTC (0.001 )  Time stamp start 1531596307688169590 end 1531596307687169590  Run 355544, LB 200, lumi 17.58
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:25:18 2018 UTC-Sat Jul 14 19:25:18 2018 UTC (0.001 )  Time stamp start 1531596318027053740 end 1531596318026053740  Run 355544, LB 200, lumi 17.58
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:25:26 2018 UTC-Sat Jul 14 19:25:26 2018 UTC (0.001 )  Time stamp start 1531596326040125520 end 1531596326039125520  Run 355544, LB 200, lumi 17.58
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:25:28 2018 UTC-Sat Jul 14 19:25:28 2018 UTC (0.001 )  Time stamp start 1531596328547754980 end 1531596328546754980  Run 355544, LB 200, lumi 17.58
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:25:28 2018 UTC-Sat Jul 14 19:25:28 2018 UTC (0.001 )  Time stamp start 1531596328569995070 end 1531596328568995070  Run 355544, LB 200, lumi 17.58
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:26:02 2018 UTC-Sat Jul 14 19:26:02 2018 UTC (0.001 )  Time stamp start 1531596362650748535 end 1531596362649748535  Run 355544, LB 201, lumi 17.55
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:26:23 2018 UTC-Sat Jul 14 19:26:23 2018 UTC (0.001 )  Time stamp start 1531596383487118685 end 1531596383486118685  Run 355544, LB 201, lumi 17.55
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:28:41 2018 UTC-Sat Jul 14 19:28:41 2018 UTC (0.001 )  Time stamp start 1531596521977020665 end 1531596521976020665  Run 355544, LB 204, lumi 17.45
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:28:45 2018 UTC-Sat Jul 14 19:28:45 2018 UTC (0.001 )  Time stamp start 1531596525829931770 end 1531596525828931770  Run 355544, LB 204, lumi 17.45
Event Veto ['NoiseBurst'], Sat Jul 14 19:29:07 2018 UTC-Sat Jul 14 19:29:07 2018 UTC (0.001 )  Time stamp start 1531596547023859610 end 1531596547022859110  Run 355544, LB 204, lumi 17.46
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:29:13 2018 UTC-Sat Jul 14 19:29:13 2018 UTC (0.001 )  Time stamp start 1531596553196923490 end 1531596553195923490  Run 355544, LB 204, lumi 17.45
Event Veto ['MiniNoiseBurst'], Sat Jul 14 19:29:32 2018 UTC-Sat Jul 14 19:29:32 2018 UTC (0.001 )  Time stamp start 1531596572076387875 end 1531596572075387875  Run 355544, LB 204, lumi 17.45
