Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 339500 to 339500
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 339500 to run 339500  lasting from Mon Oct 30 10:56:22 2017 UTC to Mon Oct 30 15:38:55 2017 UTC
Event Veto ['MiniNoiseBurst'], Mon Oct 30 11:59:47 2017 UTC-Mon Oct 30 11:59:47 2017 UTC (0.001 )  Time stamp start 1509364787539905070 end 1509364787538905070  Run 339500, LB 97, lumi 15.19
Event Veto ['MiniNoiseBurst'], Mon Oct 30 12:00:39 2017 UTC-Mon Oct 30 12:00:39 2017 UTC (0.001 )  Time stamp start 1509364839490275995 end 1509364839489275995  Run 339500, LB 97, lumi 15.19
Event Veto ['MiniNoiseBurst'], Mon Oct 30 12:00:53 2017 UTC-Mon Oct 30 12:00:53 2017 UTC (0.001 )  Time stamp start 1509364853367577730 end 1509364853366577730  Run 339500, LB 98, lumi 15.19
Event Veto ['MiniNoiseBurst'], Mon Oct 30 12:01:12 2017 UTC-Mon Oct 30 12:01:12 2017 UTC (0.001 )  Time stamp start 1509364872664520600 end 1509364872663520600  Run 339500, LB 98, lumi 15.19
Event Veto ['MiniNoiseBurst'], Mon Oct 30 12:01:34 2017 UTC-Mon Oct 30 12:01:34 2017 UTC (0.001 )  Time stamp start 1509364894666730785 end 1509364894665730785  Run 339500, LB 98, lumi 15.19
Event Veto ['MiniNoiseBurst'], Mon Oct 30 12:02:37 2017 UTC-Mon Oct 30 12:02:37 2017 UTC (0.001 )  Time stamp start 1509364957739931975 end 1509364957738931975  Run 339500, LB 101, lumi 15.17
Event Veto ['MiniNoiseBurst'], Mon Oct 30 12:02:54 2017 UTC-Mon Oct 30 12:02:54 2017 UTC (0.001 )  Time stamp start 1509364974699613815 end 1509364974698613815  Run 339500, LB 101, lumi 15.17
Event Veto ['MiniNoiseBurst'], Mon Oct 30 12:03:04 2017 UTC-Mon Oct 30 12:03:04 2017 UTC (0.001 )  Time stamp start 1509364984343484215 end 1509364984342484215  Run 339500, LB 102, lumi 15.12
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Oct 30 12:03:37 2017 UTC-Mon Oct 30 12:03:37 2017 UTC (0.001 )  Time stamp start 1509365017033100190 end 1509365017032100190  Run 339500, LB 102, lumi 15.12
Event Veto ['MiniNoiseBurst'], Mon Oct 30 12:03:39 2017 UTC-Mon Oct 30 12:03:39 2017 UTC (0.001 )  Time stamp start 1509365019022648260 end 1509365019021648260  Run 339500, LB 102, lumi 15.12
Event Veto ['MiniNoiseBurst'], Mon Oct 30 12:03:56 2017 UTC-Mon Oct 30 12:03:56 2017 UTC (0.001 )  Time stamp start 1509365036952866060 end 1509365036951866060  Run 339500, LB 102, lumi 15.12
Event Veto ['NoiseBurst'], Mon Oct 30 12:04:22 2017 UTC-Mon Oct 30 12:04:22 2017 UTC (0.002 )  Time stamp start 1509365062199773535 end 1509365062197948540  Run 339500, LB 103, lumi 27.54
