Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 351364 to 351364
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 351364 to run 351364  lasting from Mon May 28 22:09:30 2018 UTC to Tue May 29 11:27:42 2018 UTC
Event Veto ['MiniNoiseBurst'], Mon May 28 23:31:02 2018 UTC-Mon May 28 23:31:02 2018 UTC (0.001 )  Time stamp start 1527550262667849995 end 1527550262666849870  Run 351364, LB 91, lumi 18.33
Event Veto ['MiniNoiseBurst'], Mon May 28 23:31:13 2018 UTC-Mon May 28 23:31:13 2018 UTC (0.001 )  Time stamp start 1527550273491609615 end 1527550273490609490  Run 351364, LB 91, lumi 18.33
Event Veto ['MiniNoiseBurst'], Mon May 28 23:31:14 2018 UTC-Mon May 28 23:31:14 2018 UTC (0.001 )  Time stamp start 1527550274686554780 end 1527550274685554780  Run 351364, LB 91, lumi 18.33
Event Veto ['MiniNoiseBurst'], Mon May 28 23:31:25 2018 UTC-Mon May 28 23:31:25 2018 UTC (0.001 )  Time stamp start 1527550285586196335 end 1527550285585196335  Run 351364, LB 92, lumi 18.23
Event Veto ['MiniNoiseBurst'], Mon May 28 23:31:27 2018 UTC-Mon May 28 23:31:27 2018 UTC (0.001 )  Time stamp start 1527550287874852220 end 1527550287873852220  Run 351364, LB 92, lumi 18.23
Event Veto ['MiniNoiseBurst'], Mon May 28 23:31:38 2018 UTC-Mon May 28 23:31:38 2018 UTC (0.001 )  Time stamp start 1527550298501619290 end 1527550298500619165  Run 351364, LB 92, lumi 18.23
Event Veto ['MiniNoiseBurst'], Mon May 28 23:36:59 2018 UTC-Mon May 28 23:36:59 2018 UTC (0.001 )  Time stamp start 1527550619315106655 end 1527550619314106655  Run 351364, LB 130, lumi 17.72
Event Veto ['MiniNoiseBurst'], Mon May 28 23:37:24 2018 UTC-Mon May 28 23:37:24 2018 UTC (0.001 )  Time stamp start 1527550644587729080 end 1527550644586728955  Run 351364, LB 131, lumi 17.82
Event Veto ['MiniNoiseBurst'], Mon May 28 23:37:29 2018 UTC-Mon May 28 23:37:29 2018 UTC (0.001 )  Time stamp start 1527550649133022460 end 1527550649132022460  Run 351364, LB 131, lumi 17.82
Event Veto ['MiniNoiseBurst'], Mon May 28 23:37:34 2018 UTC-Mon May 28 23:37:34 2018 UTC (0.001 )  Time stamp start 1527550654942652830 end 1527550654941652830  Run 351364, LB 131, lumi 17.82
