Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 305671 to 305671
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 305671 to run 305671  lasting from Fri Aug  5 16:44:02 2016 UTC to Fri Aug  5 19:33:15 2016 UTC
Event Veto ['NoiseBurst'], Fri Aug  5 17:58:46 2016 UTC-Fri Aug  5 17:58:46 2016 UTC (0.010 )  Time stamp start 1470419926752781685 end 1470419926742763120  Run 305671, LB 81, lumi 94.38
Event Veto ['MiniNoiseBurst'], Fri Aug  5 17:59:12 2016 UTC-Fri Aug  5 17:59:12 2016 UTC (0.001 )  Time stamp start 1470419952389832150 end 1470419952388831900  Run 305671, LB 81, lumi 9.42
Event Veto ['MiniNoiseBurst'], Fri Aug  5 17:59:27 2016 UTC-Fri Aug  5 17:59:27 2016 UTC (0.001 )  Time stamp start 1470419967308294480 end 1470419967307294480  Run 305671, LB 82, lumi 9.40
Event Veto ['MiniNoiseBurst'], Fri Aug  5 17:59:42 2016 UTC-Fri Aug  5 17:59:42 2016 UTC (0.001 )  Time stamp start 1470419982665605940 end 1470419982664605815  Run 305671, LB 82, lumi 9.41
Event Veto ['NoiseBurst'], Fri Aug  5 17:59:52 2016 UTC-Fri Aug  5 17:59:52 2016 UTC (0.010 )  Time stamp start 1470419992609488720 end 1470419992599488220  Run 305671, LB 82, lumi 94.04
Event Veto ['MiniNoiseBurst'], Fri Aug  5 18:00:11 2016 UTC-Fri Aug  5 18:00:11 2016 UTC (0.001 )  Time stamp start 1470420011621656040 end 1470420011620655915  Run 305671, LB 82, lumi 9.41
Event Veto ['MiniNoiseBurst'], Fri Aug  5 18:00:42 2016 UTC-Fri Aug  5 18:00:42 2016 UTC (0.001 )  Time stamp start 1470420042661423350 end 1470420042660422950  Run 305671, LB 83, lumi 9.40
Event Veto ['MiniNoiseBurst'], Fri Aug  5 18:01:26 2016 UTC-Fri Aug  5 18:01:26 2016 UTC (0.001 )  Time stamp start 1470420086932662765 end 1470420086931503205  Run 305671, LB 85, lumi 10.87
Event Veto ['MiniNoiseBurst'], Fri Aug  5 18:01:43 2016 UTC-Fri Aug  5 18:01:43 2016 UTC (0.001 )  Time stamp start 1470420103398961105 end 1470420103397961105  Run 305671, LB 85, lumi 9.38
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Aug  5 18:01:58 2016 UTC-Fri Aug  5 18:01:58 2016 UTC (0.001 )  Time stamp start 1470420118576030165 end 1470420118575030165  Run 305671, LB 85, lumi 9.38
Event Veto ['MiniNoiseBurst'], Fri Aug  5 18:02:19 2016 UTC-Fri Aug  5 18:02:19 2016 UTC (0.001 )  Time stamp start 1470420139386481065 end 1470420139385480370  Run 305671, LB 85, lumi 9.38
Event Veto ['NoiseBurst'], Fri Aug  5 18:02:40 2016 UTC-Fri Aug  5 18:02:40 2016 UTC (0.010 )  Time stamp start 1470420160896505110 end 1470420160886504485  Run 305671, LB 86, lumi 93.65
Event Veto ['NoiseBurst'], Fri Aug  5 18:03:08 2016 UTC-Fri Aug  5 18:03:08 2016 UTC (0.010 )  Time stamp start 1470420188360827300 end 1470420188350826675  Run 305671, LB 86, lumi 93.65
Event Veto ['MiniNoiseBurst'], Fri Aug  5 18:03:20 2016 UTC-Fri Aug  5 18:03:20 2016 UTC (0.001 )  Time stamp start 1470420200492165365 end 1470420200491165365  Run 305671, LB 86, lumi 9.36
Event Veto ['MiniNoiseBurst'], Fri Aug  5 18:03:35 2016 UTC-Fri Aug  5 18:03:35 2016 UTC (0.001 )  Time stamp start 1470420215578505600 end 1470420215577505600  Run 305671, LB 87, lumi 9.36
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Aug  5 18:03:51 2016 UTC-Fri Aug  5 18:03:51 2016 UTC (0.001 )  Time stamp start 1470420231502367615 end 1470420231501367615  Run 305671, LB 87, lumi 9.36
