Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 306714 to 306714
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 306714 to run 306714  lasting from Sat Aug 20 17:54:07 2016 UTC to Sun Aug 21 04:37:18 2016 UTC
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:52:41 2016 UTC-Sat Aug 20 21:52:41 2016 UTC (0.010 )  Time stamp start 1471729961219753925 end 1471729961209753925  Run 306714, LB 244, lumi 63.09
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:52:53 2016 UTC-Sat Aug 20 21:52:53 2016 UTC (0.010 )  Time stamp start 1471729973180683615 end 1471729973170683615  Run 306714, LB 244, lumi 63.09
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:53:08 2016 UTC-Sat Aug 20 21:53:08 2016 UTC (0.010 )  Time stamp start 1471729988996410010 end 1471729988986410010  Run 306714, LB 244, lumi 63.09
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:53:20 2016 UTC-Sat Aug 20 21:53:20 2016 UTC (0.010 )  Time stamp start 1471730000088417005 end 1471730000078416680  Run 306714, LB 244, lumi 63.09
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:53:25 2016 UTC-Sat Aug 20 21:53:25 2016 UTC (0.010 )  Time stamp start 1471730005415630930 end 1471730005405630930  Run 306714, LB 245, lumi 88.04
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:53:30 2016 UTC-Sat Aug 20 21:53:30 2016 UTC (0.010 )  Time stamp start 1471730010324181920 end 1471730010314181920  Run 306714, LB 245, lumi 88.04
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:53:35 2016 UTC-Sat Aug 20 21:53:35 2016 UTC (0.017 )  Time stamp start 1471730015076610265 end 1471730015059799485  Run 306714, LB 245, lumi 148.01
Event Veto ['NoiseBurst'], Sat Aug 20 21:53:37 2016 UTC-Sat Aug 20 21:53:37 2016 UTC (0.010 )  Time stamp start 1471730017033370300 end 1471730017023369300  Run 306714, LB 245, lumi 88.05
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:53:39 2016 UTC-Sat Aug 20 21:53:39 2016 UTC (0.010 )  Time stamp start 1471730019788536000 end 1471730019778536000  Run 306714, LB 245, lumi 88.04
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:53:44 2016 UTC-Sat Aug 20 21:53:44 2016 UTC (0.010 )  Time stamp start 1471730024687206970 end 1471730024677206970  Run 306714, LB 245, lumi 88.04
Event Veto ['MiniNoiseBurst'], Sat Aug 20 21:54:00 2016 UTC-Sat Aug 20 21:54:00 2016 UTC (0.013 )  Time stamp start 1471730040659302645 end 1471730040646705275  Run 306714, LB 245, lumi 110.91
Event Veto ['NoiseBurst'], Sat Aug 20 21:54:10 2016 UTC-Sat Aug 20 21:54:10 2016 UTC (0.010 )  Time stamp start 1471730050662622375 end 1471730050652534375  Run 306714, LB 245, lumi 88.82
