Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 351455 to 351455
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 351455 to run 351455  lasting from Wed May 30 08:07:58 2018 UTC to Wed May 30 18:18:40 2018 UTC
Event Veto ['NoiseBurst'], Wed May 30 09:18:54 2018 UTC-Wed May 30 09:18:54 2018 UTC (0.001 )  Time stamp start 1527671934514430660 end 1527671934512943470  Run 351455, LB 79, lumi 27.84
Event Veto ['MiniNoiseBurst'], Wed May 30 09:19:03 2018 UTC-Wed May 30 09:19:03 2018 UTC (0.001 )  Time stamp start 1527671943182064990 end 1527671943181064815  Run 351455, LB 79, lumi 18.72
Event Veto ['MiniNoiseBurst'], Wed May 30 09:19:20 2018 UTC-Wed May 30 09:19:20 2018 UTC (0.001 )  Time stamp start 1527671960672898550 end 1527671960671898550  Run 351455, LB 79, lumi 18.72
Event Veto ['MiniNoiseBurst'], Wed May 30 09:19:29 2018 UTC-Wed May 30 09:19:29 2018 UTC (0.001 )  Time stamp start 1527671969678279665 end 1527671969677279495  Run 351455, LB 79, lumi 18.72
Event Veto ['MiniNoiseBurst'], Wed May 30 09:19:38 2018 UTC-Wed May 30 09:19:38 2018 UTC (0.001 )  Time stamp start 1527671978212815350 end 1527671978211815350  Run 351455, LB 79, lumi 18.72
Event Veto ['MiniNoiseBurst'], Wed May 30 09:19:39 2018 UTC-Wed May 30 09:19:39 2018 UTC (0.001 )  Time stamp start 1527671979516706480 end 1527671979515706480  Run 351455, LB 79, lumi 18.72
Event Veto ['MiniNoiseBurst'], Wed May 30 09:19:54 2018 UTC-Wed May 30 09:19:54 2018 UTC (0.001 )  Time stamp start 1527671994291250955 end 1527671994290250955  Run 351455, LB 80, lumi 18.63
Event Veto ['MiniNoiseBurst'], Wed May 30 09:19:57 2018 UTC-Wed May 30 09:19:57 2018 UTC (0.001 )  Time stamp start 1527671997682733480 end 1527671997681733480  Run 351455, LB 80, lumi 18.63
Event Veto ['MiniNoiseBurst'], Wed May 30 09:20:03 2018 UTC-Wed May 30 09:20:03 2018 UTC (0.001 )  Time stamp start 1527672003342064125 end 1527672003341064125  Run 351455, LB 80, lumi 18.63
Event Veto ['MiniNoiseBurst'], Wed May 30 09:20:08 2018 UTC-Wed May 30 09:20:08 2018 UTC (0.001 )  Time stamp start 1527672008736580945 end 1527672008735580945  Run 351455, LB 80, lumi 18.63
Event Veto ['MiniNoiseBurst'], Wed May 30 09:20:18 2018 UTC-Wed May 30 09:20:18 2018 UTC (0.001 )  Time stamp start 1527672018240573135 end 1527672018239573010  Run 351455, LB 80, lumi 18.63
Event Veto ['MiniNoiseBurst'], Wed May 30 09:20:19 2018 UTC-Wed May 30 09:20:19 2018 UTC (0.001 )  Time stamp start 1527672019468848530 end 1527672019467848530  Run 351455, LB 80, lumi 18.63
Event Veto ['MiniNoiseBurst'], Wed May 30 09:20:36 2018 UTC-Wed May 30 09:20:36 2018 UTC (0.001 )  Time stamp start 1527672036110740130 end 1527672036109740130  Run 351455, LB 80, lumi 18.63
Event Veto ['MiniNoiseBurst'], Wed May 30 09:20:41 2018 UTC-Wed May 30 09:20:41 2018 UTC (0.001 )  Time stamp start 1527672041207344365 end 1527672041206344365  Run 351455, LB 80, lumi 18.63
Event Veto ['MiniNoiseBurst'], Wed May 30 09:20:43 2018 UTC-Wed May 30 09:20:43 2018 UTC (0.001 )  Time stamp start 1527672043758841725 end 1527672043757841725  Run 351455, LB 80, lumi 18.63
