Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 337404 to 337404
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 337404 to run 337404  lasting from Sat Oct  7 05:50:22 2017 UTC to Sat Oct  7 11:12:24 2017 UTC
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:44:43 2017 UTC-Sat Oct  7 07:44:43 2017 UTC (0.001 )  Time stamp start 1507362283621351445 end 1507362283620351445  Run 337404, LB 127, lumi 15.49
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:44:45 2017 UTC-Sat Oct  7 07:44:45 2017 UTC (0.001 )  Time stamp start 1507362285334223010 end 1507362285333222760  Run 337404, LB 127, lumi 15.49
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:44:58 2017 UTC-Sat Oct  7 07:44:58 2017 UTC (0.001 )  Time stamp start 1507362298868811565 end 1507362298867811565  Run 337404, LB 128, lumi 14.66
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sat Oct  7 07:45:24 2017 UTC-Sat Oct  7 07:45:24 2017 UTC (0.001 )  Time stamp start 1507362324403909865 end 1507362324402909865  Run 337404, LB 128, lumi 14.66
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:45:26 2017 UTC-Sat Oct  7 07:45:26 2017 UTC (0.001 )  Time stamp start 1507362326577804045 end 1507362326576803770  Run 337404, LB 128, lumi 14.66
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:45:29 2017 UTC-Sat Oct  7 07:45:29 2017 UTC (0.001 )  Time stamp start 1507362329302832635 end 1507362329301831760  Run 337404, LB 128, lumi 14.67
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sat Oct  7 07:45:33 2017 UTC-Sat Oct  7 07:45:33 2017 UTC (0.001 )  Time stamp start 1507362333384283185 end 1507362333383283185  Run 337404, LB 128, lumi 14.66
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:45:37 2017 UTC-Sat Oct  7 07:45:37 2017 UTC (0.001 )  Time stamp start 1507362337193474860 end 1507362337192473815  Run 337404, LB 128, lumi 14.67
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sat Oct  7 07:45:40 2017 UTC-Sat Oct  7 07:45:40 2017 UTC (0.001 )  Time stamp start 1507362340896874180 end 1507362340895874180  Run 337404, LB 128, lumi 14.66
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:45:43 2017 UTC-Sat Oct  7 07:45:43 2017 UTC (0.001 )  Time stamp start 1507362343545344995 end 1507362343544344995  Run 337404, LB 128, lumi 14.66
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:45:44 2017 UTC-Sat Oct  7 07:45:44 2017 UTC (0.001 )  Time stamp start 1507362344918267155 end 1507362344917267155  Run 337404, LB 128, lumi 14.66
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:46:41 2017 UTC-Sat Oct  7 07:46:41 2017 UTC (0.001 )  Time stamp start 1507362401029181200 end 1507362401028181200  Run 337404, LB 130, lumi 14.64
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:46:48 2017 UTC-Sat Oct  7 07:46:48 2017 UTC (0.001 )  Time stamp start 1507362408108314035 end 1507362408107314035  Run 337404, LB 130, lumi 14.64
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:46:49 2017 UTC-Sat Oct  7 07:46:49 2017 UTC (0.001 )  Time stamp start 1507362409923487670 end 1507362409922487670  Run 337404, LB 130, lumi 14.64
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:47:01 2017 UTC-Sat Oct  7 07:47:01 2017 UTC (0.001 )  Time stamp start 1507362421328429210 end 1507362421327429210  Run 337404, LB 130, lumi 14.64
Event Veto ['NoiseBurst'], Sat Oct  7 07:48:17 2017 UTC-Sat Oct  7 07:48:17 2017 UTC (0.002 )  Time stamp start 1507362497345660690 end 1507362497343970000  Run 337404, LB 132, lumi 24.86
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:48:25 2017 UTC-Sat Oct  7 07:48:25 2017 UTC (0.001 )  Time stamp start 1507362505538470710 end 1507362505537470710  Run 337404, LB 132, lumi 14.70
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:49:11 2017 UTC-Sat Oct  7 07:49:11 2017 UTC (0.001 )  Time stamp start 1507362551866631805 end 1507362551865631805  Run 337404, LB 134, lumi 14.68
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:49:39 2017 UTC-Sat Oct  7 07:49:39 2017 UTC (0.001 )  Time stamp start 1507362579430677265 end 1507362579429677265  Run 337404, LB 134, lumi 14.68
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:50:09 2017 UTC-Sat Oct  7 07:50:09 2017 UTC (0.001 )  Time stamp start 1507362609801620455 end 1507362609800620455  Run 337404, LB 135, lumi 14.67
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:50:35 2017 UTC-Sat Oct  7 07:50:35 2017 UTC (0.001 )  Time stamp start 1507362635602611480 end 1507362635601611480  Run 337404, LB 136, lumi 14.62
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:50:41 2017 UTC-Sat Oct  7 07:50:41 2017 UTC (0.001 )  Time stamp start 1507362641937874655 end 1507362641936874655  Run 337404, LB 136, lumi 14.62
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:50:48 2017 UTC-Sat Oct  7 07:50:48 2017 UTC (0.001 )  Time stamp start 1507362648313257590 end 1507362648312257590  Run 337404, LB 136, lumi 14.62
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:51:03 2017 UTC-Sat Oct  7 07:51:03 2017 UTC (0.001 )  Time stamp start 1507362663873420065 end 1507362663872420065  Run 337404, LB 136, lumi 14.62
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:51:26 2017 UTC-Sat Oct  7 07:51:26 2017 UTC (0.001 )  Time stamp start 1507362686623167575 end 1507362686622167575  Run 337404, LB 137, lumi 14.61
Event Veto ['MiniNoiseBurst'], Sat Oct  7 07:51:49 2017 UTC-Sat Oct  7 07:51:49 2017 UTC (0.001 )  Time stamp start 1507362709483743505 end 1507362709482743505  Run 337404, LB 137, lumi 14.61
