Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349114 to 349114
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349114 to run 349114  lasting from Sun Apr 29 02:02:34 2018 UTC to Sun Apr 29 13:41:54 2018 UTC
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:36:19 2018 UTC-Sun Apr 29 03:36:19 2018 UTC (0.001 )  Time stamp start 1524972979316479565 end 1524972979315479565  Run 349114, LB 134, lumi 10.34
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:36:43 2018 UTC-Sun Apr 29 03:36:43 2018 UTC (0.001 )  Time stamp start 1524973003184168975 end 1524973003183168975  Run 349114, LB 136, lumi 10.30
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:37:15 2018 UTC-Sun Apr 29 03:37:15 2018 UTC (0.001 )  Time stamp start 1524973035980494395 end 1524973035979494395  Run 349114, LB 136, lumi 10.30
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:38:13 2018 UTC-Sun Apr 29 03:38:13 2018 UTC (0.001 )  Time stamp start 1524973093886326760 end 1524973093885326760  Run 349114, LB 137, lumi 10.21
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:39:51 2018 UTC-Sun Apr 29 03:39:51 2018 UTC (0.001 )  Time stamp start 1524973191115505385 end 1524973191114505385  Run 349114, LB 140, lumi 10.13
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:40:06 2018 UTC-Sun Apr 29 03:40:06 2018 UTC (0.001 )  Time stamp start 1524973206829759525 end 1524973206828759400  Run 349114, LB 140, lumi 10.13
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:40:11 2018 UTC-Sun Apr 29 03:40:11 2018 UTC (0.001 )  Time stamp start 1524973211722970675 end 1524973211721970675  Run 349114, LB 140, lumi 10.13
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:40:38 2018 UTC-Sun Apr 29 03:40:38 2018 UTC (0.001 )  Time stamp start 1524973238544854465 end 1524973238543854465  Run 349114, LB 140, lumi 10.13
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:40:58 2018 UTC-Sun Apr 29 03:40:58 2018 UTC (0.001 )  Time stamp start 1524973258510685345 end 1524973258509685345  Run 349114, LB 141, lumi 10.10
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:40:59 2018 UTC-Sun Apr 29 03:40:59 2018 UTC (0.001 )  Time stamp start 1524973259830540775 end 1524973259829540775  Run 349114, LB 141, lumi 10.10
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:41:30 2018 UTC-Sun Apr 29 03:41:30 2018 UTC (0.001 )  Time stamp start 1524973290996070460 end 1524973290995070460  Run 349114, LB 141, lumi 10.10
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:41:50 2018 UTC-Sun Apr 29 03:41:50 2018 UTC (0.001 )  Time stamp start 1524973310500623195 end 1524973310499623195  Run 349114, LB 142, lumi 10.18
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:42:07 2018 UTC-Sun Apr 29 03:42:07 2018 UTC (0.001 )  Time stamp start 1524973327598024570 end 1524973327597024570  Run 349114, LB 142, lumi 10.18
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:42:10 2018 UTC-Sun Apr 29 03:42:10 2018 UTC (0.001 )  Time stamp start 1524973330356225705 end 1524973330355225705  Run 349114, LB 142, lumi 10.18
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:42:22 2018 UTC-Sun Apr 29 03:42:22 2018 UTC (0.001 )  Time stamp start 1524973342583083125 end 1524973342582083125  Run 349114, LB 142, lumi 10.18
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:43:05 2018 UTC-Sun Apr 29 03:43:05 2018 UTC (0.001 )  Time stamp start 1524973385394705940 end 1524973385393705940  Run 349114, LB 143, lumi 10.16
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:43:37 2018 UTC-Sun Apr 29 03:43:37 2018 UTC (0.001 )  Time stamp start 1524973417311556310 end 1524973417310556310  Run 349114, LB 143, lumi 10.16
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:43:37 2018 UTC-Sun Apr 29 03:43:37 2018 UTC (0.001 )  Time stamp start 1524973417700536275 end 1524973417699536275  Run 349114, LB 143, lumi 10.16
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:44:07 2018 UTC-Sun Apr 29 03:44:07 2018 UTC (0.001 )  Time stamp start 1524973447026368955 end 1524973447025368955  Run 349114, LB 144, lumi 10.07
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:44:53 2018 UTC-Sun Apr 29 03:44:53 2018 UTC (0.001 )  Time stamp start 1524973493139420000 end 1524973493138420000  Run 349114, LB 145, lumi 10.07
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:47:29 2018 UTC-Sun Apr 29 03:47:29 2018 UTC (0.001 )  Time stamp start 1524973649138582605 end 1524973649137582605  Run 349114, LB 149, lumi 9.82
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:47:33 2018 UTC-Sun Apr 29 03:47:33 2018 UTC (0.001 )  Time stamp start 1524973653020935805 end 1524973653019935630  Run 349114, LB 150, lumi 10.41
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:47:33 2018 UTC-Sun Apr 29 03:47:33 2018 UTC (0.001 )  Time stamp start 1524973653360851785 end 1524973653359851785  Run 349114, LB 150, lumi 10.41
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:47:33 2018 UTC-Sun Apr 29 03:47:33 2018 UTC (0.001 )  Time stamp start 1524973653594853010 end 1524973653593853010  Run 349114, LB 150, lumi 10.41
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:47:35 2018 UTC-Sun Apr 29 03:47:35 2018 UTC (0.001 )  Time stamp start 1524973655788621640 end 1524973655787621640  Run 349114, LB 150, lumi 10.41
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:47:36 2018 UTC-Sun Apr 29 03:47:36 2018 UTC (0.001 )  Time stamp start 1524973656733218060 end 1524973656732218060  Run 349114, LB 150, lumi 10.41
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:47:41 2018 UTC-Sun Apr 29 03:47:41 2018 UTC (0.001 )  Time stamp start 1524973661468687275 end 1524973661467687275  Run 349114, LB 150, lumi 10.41
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:47:58 2018 UTC-Sun Apr 29 03:47:58 2018 UTC (0.001 )  Time stamp start 1524973678219106665 end 1524973678218106665  Run 349114, LB 150, lumi 10.41
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:48:21 2018 UTC-Sun Apr 29 03:48:21 2018 UTC (0.001 )  Time stamp start 1524973701944603325 end 1524973701943603325  Run 349114, LB 150, lumi 10.41
Event Veto ['MiniNoiseBurst'], Sun Apr 29 03:48:44 2018 UTC-Sun Apr 29 03:48:44 2018 UTC (0.001 )  Time stamp start 1524973724038313695 end 1524973724037313695  Run 349114, LB 151, lumi 10.41
