Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 307601 to 307601
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 307601 to run 307601  lasting from Thu Sep  1 06:09:15 2016 UTC to Thu Sep  1 18:10:33 2016 UTC
Event Veto ['MiniNoiseBurst'], Thu Sep  1 07:17:33 2016 UTC-Thu Sep  1 07:17:33 2016 UTC (0.010 )  Time stamp start 1472714253022130800 end 1472714253012130505  Run 307601, LB 75, lumi 102.69
Event Veto ['MiniNoiseBurst'], Thu Sep  1 07:17:34 2016 UTC-Thu Sep  1 07:17:34 2016 UTC (0.010 )  Time stamp start 1472714254335480650 end 1472714254325479475  Run 307601, LB 75, lumi 102.70
Event Veto ['MiniNoiseBurst'], Thu Sep  1 07:17:37 2016 UTC-Thu Sep  1 07:17:37 2016 UTC (0.010 )  Time stamp start 1472714257611474085 end 1472714257601474085  Run 307601, LB 75, lumi 102.69
Event Veto ['MiniNoiseBurst'], Thu Sep  1 07:17:41 2016 UTC-Thu Sep  1 07:17:41 2016 UTC (0.010 )  Time stamp start 1472714261069524660 end 1472714261059524335  Run 307601, LB 75, lumi 102.70
Event Veto ['MiniNoiseBurst'], Thu Sep  1 07:17:46 2016 UTC-Thu Sep  1 07:17:46 2016 UTC (0.014 )  Time stamp start 1472714266915017145 end 1472714266900531325  Run 307601, LB 75, lumi 148.76
Event Veto ['MiniNoiseBurst'], Thu Sep  1 07:17:47 2016 UTC-Thu Sep  1 07:17:47 2016 UTC (0.010 )  Time stamp start 1472714267748821735 end 1472714267738821485  Run 307601, LB 75, lumi 102.69
Event Veto ['MiniNoiseBurst'], Thu Sep  1 07:17:54 2016 UTC-Thu Sep  1 07:17:54 2016 UTC (0.010 )  Time stamp start 1472714274366209265 end 1472714274356209265  Run 307601, LB 75, lumi 102.69
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Sep  1 07:17:55 2016 UTC-Thu Sep  1 07:17:55 2016 UTC (0.010 )  Time stamp start 1472714275384145320 end 1472714275374145145  Run 307601, LB 75, lumi 102.69
Event Veto ['MiniNoiseBurst'], Thu Sep  1 07:18:00 2016 UTC-Thu Sep  1 07:18:00 2016 UTC (0.010 )  Time stamp start 1472714280502784935 end 1472714280492784685  Run 307601, LB 75, lumi 102.69
Event Veto ['NoiseBurst'], Thu Sep  1 07:18:06 2016 UTC-Thu Sep  1 07:18:06 2016 UTC (0.010 )  Time stamp start 1472714286680066045 end 1472714286669874845  Run 307601, LB 75, lumi 104.66
Event Veto ['MiniNoiseBurst'], Thu Sep  1 07:18:11 2016 UTC-Thu Sep  1 07:18:11 2016 UTC (0.010 )  Time stamp start 1472714291435348835 end 1472714291425348560  Run 307601, LB 75, lumi 102.69
Event Veto ['MiniNoiseBurst'], Thu Sep  1 07:18:16 2016 UTC-Thu Sep  1 07:18:16 2016 UTC (0.010 )  Time stamp start 1472714296203273295 end 1472714296193272200  Run 307601, LB 75, lumi 102.70
Event Veto ['MiniNoiseBurst'], Thu Sep  1 07:18:19 2016 UTC-Thu Sep  1 07:18:19 2016 UTC (0.017 )  Time stamp start 1472714299787359615 end 1472714299769881475  Run 307601, LB 76, lumi 177.63
Event Veto ['MiniNoiseBurst'], Thu Sep  1 07:18:20 2016 UTC-Thu Sep  1 07:18:20 2016 UTC (0.010 )  Time stamp start 1472714300124192425 end 1472714300114191055  Run 307601, LB 76, lumi 101.65
Event Veto ['MiniNoiseBurst'], Thu Sep  1 07:18:23 2016 UTC-Thu Sep  1 07:18:23 2016 UTC (0.015 )  Time stamp start 1472714303097387405 end 1472714303082101165  Run 307601, LB 76, lumi 155.36
Event Veto ['MiniNoiseBurst'], Thu Sep  1 07:18:23 2016 UTC-Thu Sep  1 07:18:23 2016 UTC (0.010 )  Time stamp start 1472714303249007235 end 1472714303239007235  Run 307601, LB 76, lumi 101.63
