Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 335177 to 335177
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 335177 to run 335177  lasting from Sun Sep 10 21:20:14 2017 UTC to Mon Sep 11 16:38:32 2017 UTC
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:34:22 2017 UTC-Mon Sep 11 03:34:22 2017 UTC (0.001 )  Time stamp start 1505100862897609245 end 1505100862896608945  Run 335177, LB 380, lumi 10.12
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:34:25 2017 UTC-Mon Sep 11 03:34:25 2017 UTC (0.001 )  Time stamp start 1505100865467800590 end 1505100865466800590  Run 335177, LB 380, lumi 10.12
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:34:26 2017 UTC-Mon Sep 11 03:34:26 2017 UTC (0.001 )  Time stamp start 1505100866865265040 end 1505100866864264745  Run 335177, LB 380, lumi 10.12
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:34:29 2017 UTC-Mon Sep 11 03:34:29 2017 UTC (0.001 )  Time stamp start 1505100869775306380 end 1505100869774306380  Run 335177, LB 380, lumi 10.12
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:34:31 2017 UTC-Mon Sep 11 03:34:31 2017 UTC (0.001 )  Time stamp start 1505100871277897180 end 1505100871276897180  Run 335177, LB 380, lumi 10.12
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:34:32 2017 UTC-Mon Sep 11 03:34:32 2017 UTC (0.001 )  Time stamp start 1505100872605255640 end 1505100872604255640  Run 335177, LB 380, lumi 10.12
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:34:34 2017 UTC-Mon Sep 11 03:34:34 2017 UTC (0.001 )  Time stamp start 1505100874927462730 end 1505100874926462605  Run 335177, LB 380, lumi 10.12
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:34:36 2017 UTC-Mon Sep 11 03:34:36 2017 UTC (0.001 )  Time stamp start 1505100876572643445 end 1505100876571643170  Run 335177, LB 380, lumi 10.12
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:34:38 2017 UTC-Mon Sep 11 03:34:38 2017 UTC (0.001 )  Time stamp start 1505100878049635560 end 1505100878048635560  Run 335177, LB 380, lumi 10.12
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:34:39 2017 UTC-Mon Sep 11 03:34:39 2017 UTC (0.001 )  Time stamp start 1505100879294561165 end 1505100879293561165  Run 335177, LB 380, lumi 10.12
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:34:41 2017 UTC-Mon Sep 11 03:34:41 2017 UTC (0.001 )  Time stamp start 1505100881043379020 end 1505100881042379020  Run 335177, LB 380, lumi 10.12
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:34:42 2017 UTC-Mon Sep 11 03:34:42 2017 UTC (0.001 )  Time stamp start 1505100882478678175 end 1505100882477678175  Run 335177, LB 380, lumi 10.12
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:34:43 2017 UTC-Mon Sep 11 03:34:43 2017 UTC (0.001 )  Time stamp start 1505100883956393610 end 1505100883955393610  Run 335177, LB 380, lumi 10.12
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:34:45 2017 UTC-Mon Sep 11 03:34:45 2017 UTC (0.001 )  Time stamp start 1505100885220821515 end 1505100885219821265  Run 335177, LB 380, lumi 10.12
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:34:46 2017 UTC-Mon Sep 11 03:34:46 2017 UTC (0.001 )  Time stamp start 1505100886429164720 end 1505100886428164720  Run 335177, LB 380, lumi 10.12
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:34:49 2017 UTC-Mon Sep 11 03:34:49 2017 UTC (0.001 )  Time stamp start 1505100889451750040 end 1505100889450750040  Run 335177, LB 380, lumi 10.12
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:34:50 2017 UTC-Mon Sep 11 03:34:50 2017 UTC (0.001 )  Time stamp start 1505100890969434815 end 1505100890968434815  Run 335177, LB 380, lumi 10.12
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:34:52 2017 UTC-Mon Sep 11 03:34:52 2017 UTC (0.001 )  Time stamp start 1505100892201870530 end 1505100892200870530  Run 335177, LB 380, lumi 10.12
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:34:53 2017 UTC-Mon Sep 11 03:34:53 2017 UTC (0.001 )  Time stamp start 1505100893779767355 end 1505100893778766430  Run 335177, LB 380, lumi 10.13
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:34:56 2017 UTC-Mon Sep 11 03:34:56 2017 UTC (0.001 )  Time stamp start 1505100896271002385 end 1505100896270002385  Run 335177, LB 380, lumi 10.12
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:34:57 2017 UTC-Mon Sep 11 03:34:57 2017 UTC (0.001 )  Time stamp start 1505100897785446585 end 1505100897784446585  Run 335177, LB 380, lumi 10.12
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:34:59 2017 UTC-Mon Sep 11 03:34:59 2017 UTC (0.001 )  Time stamp start 1505100899084759240 end 1505100899083759240  Run 335177, LB 380, lumi 10.12
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:35:00 2017 UTC-Mon Sep 11 03:35:00 2017 UTC (0.001 )  Time stamp start 1505100900584378185 end 1505100900583378060  Run 335177, LB 380, lumi 10.12
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:35:01 2017 UTC-Mon Sep 11 03:35:01 2017 UTC (0.001 )  Time stamp start 1505100901914378180 end 1505100901913378180  Run 335177, LB 381, lumi 9.85
Event Veto ['MiniNoiseBurst'], Mon Sep 11 03:35:17 2017 UTC-Mon Sep 11 03:35:17 2017 UTC (0.001 )  Time stamp start 1505100917250223985 end 1505100917249223985  Run 335177, LB 381, lumi 9.85
