Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 341294 to 341294
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 341294 to run 341294  lasting from Tue Nov 21 15:45:26 2017 UTC to Tue Nov 21 19:19:25 2017 UTC
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:04:01 2017 UTC-Tue Nov 21 17:04:01 2017 UTC (0.001 )  Time stamp start 1511283841412515390 end 1511283841411515390  Run 341294, LB 88, lumi 5.06
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:04:04 2017 UTC-Tue Nov 21 17:04:04 2017 UTC (0.001 )  Time stamp start 1511283844353304780 end 1511283844352304780  Run 341294, LB 88, lumi 5.06
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:04:04 2017 UTC-Tue Nov 21 17:04:04 2017 UTC (0.001 )  Time stamp start 1511283844694607160 end 1511283844693607160  Run 341294, LB 88, lumi 5.06
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:04:05 2017 UTC-Tue Nov 21 17:04:05 2017 UTC (0.001 )  Time stamp start 1511283845687493475 end 1511283845686493475  Run 341294, LB 88, lumi 5.06
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:04:06 2017 UTC-Tue Nov 21 17:04:06 2017 UTC (0.001 )  Time stamp start 1511283846382426725 end 1511283846381426725  Run 341294, LB 88, lumi 5.06
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:04:26 2017 UTC-Tue Nov 21 17:04:26 2017 UTC (0.002 )  Time stamp start 1511283866915244820 end 1511283866913555730  Run 341294, LB 89, lumi 8.18
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:04:29 2017 UTC-Tue Nov 21 17:04:29 2017 UTC (0.001 )  Time stamp start 1511283869760981675 end 1511283869759683035  Run 341294, LB 89, lumi 6.29
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:04:29 2017 UTC-Tue Nov 21 17:04:29 2017 UTC (0.001 )  Time stamp start 1511283869808222805 end 1511283869807222805  Run 341294, LB 89, lumi 4.84
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:04:30 2017 UTC-Tue Nov 21 17:04:30 2017 UTC (0.001 )  Time stamp start 1511283870628015935 end 1511283870627015935  Run 341294, LB 89, lumi 4.84
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:04:30 2017 UTC-Tue Nov 21 17:04:30 2017 UTC (0.001 )  Time stamp start 1511283870760270695 end 1511283870759270695  Run 341294, LB 89, lumi 4.84
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:04:33 2017 UTC-Tue Nov 21 17:04:33 2017 UTC (0.002 )  Time stamp start 1511283873005135965 end 1511283873003409225  Run 341294, LB 89, lumi 8.36
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:04:33 2017 UTC-Tue Nov 21 17:04:33 2017 UTC (0.001 )  Time stamp start 1511283873792102810 end 1511283873791102810  Run 341294, LB 89, lumi 4.84
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:04:34 2017 UTC-Tue Nov 21 17:04:34 2017 UTC (0.002 )  Time stamp start 1511283874037022010 end 1511283874034689440  Run 341294, LB 89, lumi 11.30
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:04:54 2017 UTC-Tue Nov 21 17:04:54 2017 UTC (0.001 )  Time stamp start 1511283894699206870 end 1511283894698206870  Run 341294, LB 90, lumi 5.02
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:04:56 2017 UTC-Tue Nov 21 17:04:56 2017 UTC (0.001 )  Time stamp start 1511283896084015875 end 1511283896083015875  Run 341294, LB 90, lumi 5.02
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:04:57 2017 UTC-Tue Nov 21 17:04:57 2017 UTC (0.001 )  Time stamp start 1511283897530293395 end 1511283897529293395  Run 341294, LB 90, lumi 5.02
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:04:58 2017 UTC-Tue Nov 21 17:04:58 2017 UTC (0.001 )  Time stamp start 1511283898288920015 end 1511283898287920015  Run 341294, LB 90, lumi 5.02
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:05:36 2017 UTC-Tue Nov 21 17:05:36 2017 UTC (0.001 )  Time stamp start 1511283936918025900 end 1511283936917025900  Run 341294, LB 92, lumi 5.34
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:05:37 2017 UTC-Tue Nov 21 17:05:37 2017 UTC (0.001 )  Time stamp start 1511283937028600465 end 1511283937027600465  Run 341294, LB 92, lumi 5.34
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:05:37 2017 UTC-Tue Nov 21 17:05:37 2017 UTC (0.001 )  Time stamp start 1511283937194001235 end 1511283937193001235  Run 341294, LB 92, lumi 5.34
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:05:37 2017 UTC-Tue Nov 21 17:05:37 2017 UTC (0.001 )  Time stamp start 1511283937413621280 end 1511283937412245475  Run 341294, LB 92, lumi 7.35
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:05:57 2017 UTC-Tue Nov 21 17:05:57 2017 UTC (0.001 )  Time stamp start 1511283957001050890 end 1511283957000050890  Run 341294, LB 94, lumi 5.34
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:07:26 2017 UTC-Tue Nov 21 17:07:26 2017 UTC (0.001 )  Time stamp start 1511284046141305665 end 1511284046140305665  Run 341294, LB 99, lumi 5.32
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:08:24 2017 UTC-Tue Nov 21 17:08:24 2017 UTC (0.001 )  Time stamp start 1511284104341094455 end 1511284104340094455  Run 341294, LB 102, lumi 5.31
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:09:04 2017 UTC-Tue Nov 21 17:09:04 2017 UTC (0.001 )  Time stamp start 1511284144687163050 end 1511284144686140095  Run 341294, LB 103, lumi 5.42
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:09:25 2017 UTC-Tue Nov 21 17:09:25 2017 UTC (0.001 )  Time stamp start 1511284165824448135 end 1511284165823448135  Run 341294, LB 104, lumi 5.29
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:09:27 2017 UTC-Tue Nov 21 17:09:27 2017 UTC (0.001 )  Time stamp start 1511284167064911080 end 1511284167063911080  Run 341294, LB 104, lumi 5.29
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:09:28 2017 UTC-Tue Nov 21 17:09:28 2017 UTC (0.001 )  Time stamp start 1511284168382104180 end 1511284168381104180  Run 341294, LB 104, lumi 5.29
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:09:29 2017 UTC-Tue Nov 21 17:09:29 2017 UTC (0.001 )  Time stamp start 1511284169036532500 end 1511284169035532500  Run 341294, LB 104, lumi 5.29
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:09:29 2017 UTC-Tue Nov 21 17:09:29 2017 UTC (0.001 )  Time stamp start 1511284169667828740 end 1511284169666828740  Run 341294, LB 104, lumi 5.29
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:09:29 2017 UTC-Tue Nov 21 17:09:29 2017 UTC (0.001 )  Time stamp start 1511284169914514400 end 1511284169913514400  Run 341294, LB 104, lumi 5.29
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:09:30 2017 UTC-Tue Nov 21 17:09:30 2017 UTC (0.001 )  Time stamp start 1511284170210045475 end 1511284170208844920  Run 341294, LB 104, lumi 6.35
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:09:30 2017 UTC-Tue Nov 21 17:09:30 2017 UTC (0.001 )  Time stamp start 1511284170411533495 end 1511284170410533495  Run 341294, LB 104, lumi 5.29
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:09:30 2017 UTC-Tue Nov 21 17:09:30 2017 UTC (0.002 )  Time stamp start 1511284170797311865 end 1511284170795467880  Run 341294, LB 104, lumi 9.75
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:10:04 2017 UTC-Tue Nov 21 17:10:04 2017 UTC (0.001 )  Time stamp start 1511284204677719405 end 1511284204676712120  Run 341294, LB 106, lumi 5.31
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Nov 21 17:10:05 2017 UTC-Tue Nov 21 17:10:05 2017 UTC (0.001 )  Time stamp start 1511284205114674040 end 1511284205113674040  Run 341294, LB 106, lumi 5.27
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:10:24 2017 UTC-Tue Nov 21 17:10:24 2017 UTC (0.001 )  Time stamp start 1511284224994640835 end 1511284224993619825  Run 341294, LB 107, lumi 5.38
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:10:42 2017 UTC-Tue Nov 21 17:10:42 2017 UTC (0.001 )  Time stamp start 1511284242487058685 end 1511284242485945530  Run 341294, LB 108, lumi 5.85
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:10:42 2017 UTC-Tue Nov 21 17:10:42 2017 UTC (0.002 )  Time stamp start 1511284242581872865 end 1511284242580027235  Run 341294, LB 108, lumi 9.70
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:10:44 2017 UTC-Tue Nov 21 17:10:44 2017 UTC (0.001 )  Time stamp start 1511284244767167520 end 1511284244766167520  Run 341294, LB 108, lumi 5.26
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:10:44 2017 UTC-Tue Nov 21 17:10:44 2017 UTC (0.001 )  Time stamp start 1511284244827972400 end 1511284244826972400  Run 341294, LB 108, lumi 5.26
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:10:45 2017 UTC-Tue Nov 21 17:10:45 2017 UTC (0.001 )  Time stamp start 1511284245099714015 end 1511284245098714015  Run 341294, LB 108, lumi 5.26
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:10:45 2017 UTC-Tue Nov 21 17:10:45 2017 UTC (0.001 )  Time stamp start 1511284245376858190 end 1511284245375858190  Run 341294, LB 108, lumi 5.26
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:11:31 2017 UTC-Tue Nov 21 17:11:31 2017 UTC (0.001 )  Time stamp start 1511284291807704470 end 1511284291806704470  Run 341294, LB 111, lumi 5.25
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:11:33 2017 UTC-Tue Nov 21 17:11:33 2017 UTC (0.001 )  Time stamp start 1511284293521077460 end 1511284293520077460  Run 341294, LB 111, lumi 5.25
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:12:25 2017 UTC-Tue Nov 21 17:12:25 2017 UTC (0.001 )  Time stamp start 1511284345184252270 end 1511284345183252270  Run 341294, LB 113, lumi 5.23
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:13:06 2017 UTC-Tue Nov 21 17:13:06 2017 UTC (0.001 )  Time stamp start 1511284386090791925 end 1511284386089791925  Run 341294, LB 116, lumi 5.22
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:13:06 2017 UTC-Tue Nov 21 17:13:06 2017 UTC (0.001 )  Time stamp start 1511284386817971955 end 1511284386816971955  Run 341294, LB 116, lumi 5.22
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:13:30 2017 UTC-Tue Nov 21 17:13:30 2017 UTC (0.002 )  Time stamp start 1511284410891996220 end 1511284410890172670  Run 341294, LB 117, lumi 9.51
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:13:32 2017 UTC-Tue Nov 21 17:13:32 2017 UTC (0.001 )  Time stamp start 1511284412002146990 end 1511284412000816520  Run 341294, LB 117, lumi 6.94
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:13:32 2017 UTC-Tue Nov 21 17:13:32 2017 UTC (0.002 )  Time stamp start 1511284412165969425 end 1511284412163989310  Run 341294, LB 117, lumi 10.33
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:13:32 2017 UTC-Tue Nov 21 17:13:32 2017 UTC (0.002 )  Time stamp start 1511284412332693555 end 1511284412330804585  Run 341294, LB 117, lumi 9.85
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:13:32 2017 UTC-Tue Nov 21 17:13:32 2017 UTC (0.002 )  Time stamp start 1511284412361980310 end 1511284412360105165  Run 341294, LB 117, lumi 9.78
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:13:52 2017 UTC-Tue Nov 21 17:13:52 2017 UTC (0.001 )  Time stamp start 1511284432553162535 end 1511284432551896385  Run 341294, LB 118, lumi 6.60
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:15:48 2017 UTC-Tue Nov 21 17:15:48 2017 UTC (0.001 )  Time stamp start 1511284548041405765 end 1511284548040036720  Run 341294, LB 122, lumi 7.09
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:15:48 2017 UTC-Tue Nov 21 17:15:48 2017 UTC (0.001 )  Time stamp start 1511284548875672520 end 1511284548874672520  Run 341294, LB 122, lumi 5.18
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:15:49 2017 UTC-Tue Nov 21 17:15:49 2017 UTC (0.001 )  Time stamp start 1511284549037833685 end 1511284549036833685  Run 341294, LB 122, lumi 5.18
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:15:50 2017 UTC-Tue Nov 21 17:15:50 2017 UTC (0.001 )  Time stamp start 1511284550021561410 end 1511284550020561410  Run 341294, LB 122, lumi 5.18
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:15:51 2017 UTC-Tue Nov 21 17:15:51 2017 UTC (0.001 )  Time stamp start 1511284551210884495 end 1511284551209884495  Run 341294, LB 122, lumi 5.18
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:15:51 2017 UTC-Tue Nov 21 17:15:51 2017 UTC (0.001 )  Time stamp start 1511284551501711655 end 1511284551500711655  Run 341294, LB 122, lumi 5.18
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:17:15 2017 UTC-Tue Nov 21 17:17:15 2017 UTC (0.001 )  Time stamp start 1511284635452212315 end 1511284635451212315  Run 341294, LB 124, lumi 5.14
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:17:15 2017 UTC-Tue Nov 21 17:17:15 2017 UTC (0.001 )  Time stamp start 1511284635744518580 end 1511284635743518580  Run 341294, LB 124, lumi 5.14
Event Veto ['MiniNoiseBurst'], Tue Nov 21 17:17:16 2017 UTC-Tue Nov 21 17:17:16 2017 UTC (0.001 )  Time stamp start 1511284636593947425 end 1511284636592947425  Run 341294, LB 124, lumi 5.14
