Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 334907 to 334907
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 334907 to run 334907  lasting from Wed Sep  6 00:43:31 2017 UTC to Wed Sep  6 10:11:01 2017 UTC
Event Veto ['MiniNoiseBurst'], Wed Sep  6 02:20:08 2017 UTC-Wed Sep  6 02:20:08 2017 UTC (0.001 )  Time stamp start 1504664408774915115 end 1504664408773915115  Run 334907, LB 108, lumi 10.01
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed Sep  6 02:20:59 2017 UTC-Wed Sep  6 02:20:59 2017 UTC (0.001 )  Time stamp start 1504664459305206365 end 1504664459304206365  Run 334907, LB 109, lumi 9.99
Event Veto ['MiniNoiseBurst'], Wed Sep  6 02:21:13 2017 UTC-Wed Sep  6 02:21:13 2017 UTC (0.001 )  Time stamp start 1504664473760423330 end 1504664473759423330  Run 334907, LB 109, lumi 9.99
Event Veto ['MiniNoiseBurst'], Wed Sep  6 02:21:20 2017 UTC-Wed Sep  6 02:21:20 2017 UTC (0.001 )  Time stamp start 1504664480701849210 end 1504664480700849210  Run 334907, LB 109, lumi 9.99
Event Veto ['MiniNoiseBurst'], Wed Sep  6 02:22:25 2017 UTC-Wed Sep  6 02:22:25 2017 UTC (0.001 )  Time stamp start 1504664545485588655 end 1504664545484588655  Run 334907, LB 111, lumi 9.96
Event Veto ['MiniNoiseBurst'], Wed Sep  6 02:23:03 2017 UTC-Wed Sep  6 02:23:03 2017 UTC (0.001 )  Time stamp start 1504664583330554175 end 1504664583329554175  Run 334907, LB 112, lumi 9.94
Event Veto ['MiniNoiseBurst'], Wed Sep  6 02:25:23 2017 UTC-Wed Sep  6 02:25:23 2017 UTC (0.001 )  Time stamp start 1504664723796799245 end 1504664723795799245  Run 334907, LB 114, lumi 9.89
Event Veto ['NoiseBurst'], Wed Sep  6 02:25:39 2017 UTC-Wed Sep  6 02:25:39 2017 UTC (0.001 )  Time stamp start 1504664739011052905 end 1504664739010052285  Run 334907, LB 114, lumi 9.90
Event Veto ['MiniNoiseBurst'], Wed Sep  6 02:26:07 2017 UTC-Wed Sep  6 02:26:07 2017 UTC (0.001 )  Time stamp start 1504664767408716595 end 1504664767407716595  Run 334907, LB 115, lumi 9.86
Event Veto ['MiniNoiseBurst'], Wed Sep  6 02:26:20 2017 UTC-Wed Sep  6 02:26:20 2017 UTC (0.001 )  Time stamp start 1504664780606873625 end 1504664780605873625  Run 334907, LB 115, lumi 9.86
