Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 337371 to 337371
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 337371 to run 337371  lasting from Fri Oct  6 20:23:03 2017 UTC to Sat Oct  7 04:30:44 2017 UTC
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:18:46 2017 UTC-Fri Oct  6 22:18:46 2017 UTC (0.001 )  Time stamp start 1507328326336153560 end 1507328326335152315  Run 337371, LB 124, lumi 15.09
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:19:08 2017 UTC-Fri Oct  6 22:19:08 2017 UTC (0.001 )  Time stamp start 1507328348612323680 end 1507328348611323680  Run 337371, LB 124, lumi 15.07
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:19:44 2017 UTC-Fri Oct  6 22:19:44 2017 UTC (0.001 )  Time stamp start 1507328384104239885 end 1507328384103239885  Run 337371, LB 125, lumi 15.12
Event Veto ['NoiseBurst'], Fri Oct  6 22:19:46 2017 UTC-Fri Oct  6 22:19:46 2017 UTC (0.002 )  Time stamp start 1507328386817082945 end 1507328386815526020  Run 337371, LB 125, lumi 23.54
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:20:10 2017 UTC-Fri Oct  6 22:20:10 2017 UTC (0.001 )  Time stamp start 1507328410265214590 end 1507328410264214590  Run 337371, LB 125, lumi 15.12
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:20:12 2017 UTC-Fri Oct  6 22:20:12 2017 UTC (0.001 )  Time stamp start 1507328412472235620 end 1507328412471235620  Run 337371, LB 126, lumi 15.15
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:20:18 2017 UTC-Fri Oct  6 22:20:18 2017 UTC (0.001 )  Time stamp start 1507328418510352940 end 1507328418509352940  Run 337371, LB 126, lumi 15.15
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:21:12 2017 UTC-Fri Oct  6 22:21:12 2017 UTC (0.001 )  Time stamp start 1507328472481310385 end 1507328472480310385  Run 337371, LB 127, lumi 15.15
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:21:17 2017 UTC-Fri Oct  6 22:21:17 2017 UTC (0.001 )  Time stamp start 1507328477922724705 end 1507328477921724705  Run 337371, LB 127, lumi 15.15
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:21:25 2017 UTC-Fri Oct  6 22:21:25 2017 UTC (0.001 )  Time stamp start 1507328485177656120 end 1507328485176656120  Run 337371, LB 127, lumi 15.15
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:21:28 2017 UTC-Fri Oct  6 22:21:28 2017 UTC (0.001 )  Time stamp start 1507328488884449825 end 1507328488883449825  Run 337371, LB 127, lumi 15.15
Event Veto ['DataCorruption'], Fri Oct  6 22:21:51 2017 UTC-Fri Oct  6 22:21:52 2017 UTC (0.500 )  Time stamp start 1507328512343355710 end 1507328511843290690  Run 337371, LB 129, lumi 7577.81
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:21:58 2017 UTC-Fri Oct  6 22:21:58 2017 UTC (0.001 )  Time stamp start 1507328518079440645 end 1507328518078440645  Run 337371, LB 129, lumi 15.15
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:22:00 2017 UTC-Fri Oct  6 22:22:00 2017 UTC (0.001 )  Time stamp start 1507328520584130940 end 1507328520583130940  Run 337371, LB 129, lumi 15.15
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:22:04 2017 UTC-Fri Oct  6 22:22:04 2017 UTC (0.001 )  Time stamp start 1507328524186494120 end 1507328524185494120  Run 337371, LB 129, lumi 15.15
Event Veto ['MiniNoiseBurst'], Fri Oct  6 22:22:52 2017 UTC-Fri Oct  6 22:22:52 2017 UTC (0.001 )  Time stamp start 1507328572506034465 end 1507328572505034465  Run 337371, LB 130, lumi 15.19
Event Veto ['NoiseBurst'], Fri Oct  6 22:23:46 2017 UTC-Fri Oct  6 22:23:46 2017 UTC (0.004 )  Time stamp start 1507328626195875785 end 1507328626192278635  Run 337371, LB 130, lumi 54.63
