Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 304243 to 304243
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 304243 to run 304243  lasting from Fri Jul 22 16:46:25 2016 UTC to Sat Jul 23 11:02:54 2016 UTC
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:09:52 2016 UTC-Fri Jul 22 18:09:52 2016 UTC (0.001 )  Time stamp start 1469210992610249405 end 1469210992609248910  Run 304243, LB 92, lumi 10.24
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:09:57 2016 UTC-Fri Jul 22 18:09:57 2016 UTC (0.001 )  Time stamp start 1469210997979887805 end 1469210997978887630  Run 304243, LB 92, lumi 10.24
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:10:29 2016 UTC-Fri Jul 22 18:10:29 2016 UTC (0.001 )  Time stamp start 1469211029742269230 end 1469211029741269080  Run 304243, LB 92, lumi 10.24
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:10:39 2016 UTC-Fri Jul 22 18:10:39 2016 UTC (0.001 )  Time stamp start 1469211039443313435 end 1469211039442313210  Run 304243, LB 92, lumi 10.24
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:10:45 2016 UTC-Fri Jul 22 18:10:45 2016 UTC (0.001 )  Time stamp start 1469211045184302595 end 1469211045183302595  Run 304243, LB 93, lumi 10.22
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:10:50 2016 UTC-Fri Jul 22 18:10:50 2016 UTC (0.001 )  Time stamp start 1469211050741303380 end 1469211050740302805  Run 304243, LB 93, lumi 10.22
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:11:01 2016 UTC-Fri Jul 22 18:11:01 2016 UTC (0.001 )  Time stamp start 1469211061480393470 end 1469211061479392300  Run 304243, LB 93, lumi 10.23
Event Veto ['NoiseBurst'], Fri Jul 22 18:11:49 2016 UTC-Fri Jul 22 18:11:49 2016 UTC (0.010 )  Time stamp start 1469211109898368480 end 1469211109888192005  Run 304243, LB 94, lumi 103.74
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:11:59 2016 UTC-Fri Jul 22 18:11:59 2016 UTC (0.001 )  Time stamp start 1469211119539698270 end 1469211119538698270  Run 304243, LB 94, lumi 10.19
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:12:04 2016 UTC-Fri Jul 22 18:12:04 2016 UTC (0.001 )  Time stamp start 1469211124794811975 end 1469211124793810630  Run 304243, LB 94, lumi 10.21
Event Veto ['NoiseBurst'], Fri Jul 22 18:12:24 2016 UTC-Fri Jul 22 18:12:24 2016 UTC (0.010 )  Time stamp start 1469211144376228390 end 1469211144366092760  Run 304243, LB 94, lumi 103.32
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:12:26 2016 UTC-Fri Jul 22 18:12:26 2016 UTC (0.001 )  Time stamp start 1469211146347038890 end 1469211146346038765  Run 304243, LB 94, lumi 10.20
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:12:31 2016 UTC-Fri Jul 22 18:12:31 2016 UTC (0.001 )  Time stamp start 1469211151720086855 end 1469211151719086730  Run 304243, LB 94, lumi 10.20
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:12:42 2016 UTC-Fri Jul 22 18:12:42 2016 UTC (0.001 )  Time stamp start 1469211162368805395 end 1469211162367805070  Run 304243, LB 94, lumi 10.20
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:12:47 2016 UTC-Fri Jul 22 18:12:47 2016 UTC (0.001 )  Time stamp start 1469211167651507180 end 1469211167650506210  Run 304243, LB 95, lumi 10.19
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:13:02 2016 UTC-Fri Jul 22 18:13:02 2016 UTC (0.001 )  Time stamp start 1469211182896974500 end 1469211182895974500  Run 304243, LB 95, lumi 10.18
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:13:35 2016 UTC-Fri Jul 22 18:13:35 2016 UTC (0.001 )  Time stamp start 1469211215262270070 end 1469211215261269670  Run 304243, LB 96, lumi 10.18
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:13:40 2016 UTC-Fri Jul 22 18:13:40 2016 UTC (0.001 )  Time stamp start 1469211220907792385 end 1469211220906792385  Run 304243, LB 96, lumi 10.17
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:13:46 2016 UTC-Fri Jul 22 18:13:46 2016 UTC (0.001 )  Time stamp start 1469211226739749240 end 1469211226738749240  Run 304243, LB 96, lumi 10.17
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:13:57 2016 UTC-Fri Jul 22 18:13:57 2016 UTC (0.001 )  Time stamp start 1469211237428965995 end 1469211237427965995  Run 304243, LB 96, lumi 10.17
Event Veto ['MiniNoiseBurst'], Fri Jul 22 18:14:17 2016 UTC-Fri Jul 22 18:14:17 2016 UTC (0.001 )  Time stamp start 1469211257903064055 end 1469211257902063805  Run 304243, LB 96, lumi 10.17
