Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 305777 to 305777
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 305777 to run 305777  lasting from Sun Aug  7 19:37:39 2016 UTC to Mon Aug  8 13:49:08 2016 UTC
Event Veto ['MiniNoiseBurst'], Mon Aug  8 00:06:57 2016 UTC-Mon Aug  8 00:06:57 2016 UTC (0.001 )  Time stamp start 1470614817647402110 end 1470614817646401710  Run 305777, LB 273, lumi 9.69
Event Veto ['MiniNoiseBurst'], Mon Aug  8 00:07:06 2016 UTC-Mon Aug  8 00:07:06 2016 UTC (0.001 )  Time stamp start 1470614826585016410 end 1470614826584016410  Run 305777, LB 273, lumi 9.69
Event Veto ['MiniNoiseBurst'], Mon Aug  8 00:07:11 2016 UTC-Mon Aug  8 00:07:11 2016 UTC (0.001 )  Time stamp start 1470614831067859335 end 1470614831066858085  Run 305777, LB 273, lumi 9.70
Event Veto ['MiniNoiseBurst'], Mon Aug  8 00:07:15 2016 UTC-Mon Aug  8 00:07:15 2016 UTC (0.001 )  Time stamp start 1470614835642429740 end 1470614835641429740  Run 305777, LB 273, lumi 9.69
Event Veto ['MiniNoiseBurst'], Mon Aug  8 00:07:20 2016 UTC-Mon Aug  8 00:07:20 2016 UTC (0.001 )  Time stamp start 1470614840156353355 end 1470614840155353355  Run 305777, LB 274, lumi 9.03
Event Veto ['MiniNoiseBurst'], Mon Aug  8 00:07:24 2016 UTC-Mon Aug  8 00:07:24 2016 UTC (0.001 )  Time stamp start 1470614844653534750 end 1470614844652534750  Run 305777, LB 274, lumi 9.03
Event Veto ['MiniNoiseBurst'], Mon Aug  8 00:07:29 2016 UTC-Mon Aug  8 00:07:29 2016 UTC (0.001 )  Time stamp start 1470614849242650860 end 1470614849241650860  Run 305777, LB 274, lumi 9.03
Event Veto ['MiniNoiseBurst'], Mon Aug  8 00:07:53 2016 UTC-Mon Aug  8 00:07:53 2016 UTC (0.001 )  Time stamp start 1470614873163828430 end 1470614873162827910  Run 305777, LB 274, lumi 9.04
Event Veto ['MiniNoiseBurst'], Mon Aug  8 00:08:21 2016 UTC-Mon Aug  8 00:08:21 2016 UTC (0.001 )  Time stamp start 1470614901503501845 end 1470614901502500600  Run 305777, LB 275, lumi 8.85
Event Veto ['MiniNoiseBurst'], Mon Aug  8 00:08:26 2016 UTC-Mon Aug  8 00:08:26 2016 UTC (0.001 )  Time stamp start 1470614906249332335 end 1470614906248332060  Run 305777, LB 275, lumi 8.84
Event Veto ['MiniNoiseBurst'], Mon Aug  8 00:08:36 2016 UTC-Mon Aug  8 00:08:36 2016 UTC (0.001 )  Time stamp start 1470614916018371130 end 1470614916017371130  Run 305777, LB 275, lumi 8.84
Event Veto ['MiniNoiseBurst'], Mon Aug  8 00:08:41 2016 UTC-Mon Aug  8 00:08:41 2016 UTC (0.001 )  Time stamp start 1470614921038653220 end 1470614921037651900  Run 305777, LB 275, lumi 8.85
Event Veto ['MiniNoiseBurst'], Mon Aug  8 00:08:50 2016 UTC-Mon Aug  8 00:08:50 2016 UTC (0.001 )  Time stamp start 1470614930580136955 end 1470614930579136955  Run 305777, LB 275, lumi 8.84
Event Veto ['MiniNoiseBurst'], Mon Aug  8 00:09:05 2016 UTC-Mon Aug  8 00:09:05 2016 UTC (0.001 )  Time stamp start 1470614945705609230 end 1470614945704609230  Run 305777, LB 275, lumi 8.84
Event Veto ['MiniNoiseBurst'], Mon Aug  8 00:09:10 2016 UTC-Mon Aug  8 00:09:10 2016 UTC (0.001 )  Time stamp start 1470614950525694940 end 1470614950524694445  Run 305777, LB 275, lumi 8.85
