Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 306384 to 306384
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 306384 to run 306384  lasting from Mon Aug 15 18:22:31 2016 UTC to Tue Aug 16 08:30:40 2016 UTC
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:20:42 2016 UTC-Mon Aug 15 23:20:42 2016 UTC (0.010 )  Time stamp start 1471303242881829810 end 1471303242871829810  Run 306384, LB 305, lumi 71.38
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:20:53 2016 UTC-Mon Aug 15 23:20:53 2016 UTC (0.010 )  Time stamp start 1471303253707581780 end 1471303253697581780  Run 306384, LB 305, lumi 71.38
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:21:00 2016 UTC-Mon Aug 15 23:21:00 2016 UTC (0.010 )  Time stamp start 1471303260571228520 end 1471303260561228520  Run 306384, LB 305, lumi 71.38
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:21:06 2016 UTC-Mon Aug 15 23:21:06 2016 UTC (0.010 )  Time stamp start 1471303266349691280 end 1471303266339691280  Run 306384, LB 305, lumi 71.38
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:21:12 2016 UTC-Mon Aug 15 23:21:12 2016 UTC (0.010 )  Time stamp start 1471303272842142145 end 1471303272832142145  Run 306384, LB 305, lumi 71.38
Event Veto ['NoiseBurst'], Mon Aug 15 23:21:17 2016 UTC-Mon Aug 15 23:21:17 2016 UTC (0.010 )  Time stamp start 1471303277331625895 end 1471303277321530260  Run 306384, LB 305, lumi 72.06
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:21:18 2016 UTC-Mon Aug 15 23:21:18 2016 UTC (0.010 )  Time stamp start 1471303278173732410 end 1471303278163732410  Run 306384, LB 305, lumi 71.38
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:21:29 2016 UTC-Mon Aug 15 23:21:29 2016 UTC (0.010 )  Time stamp start 1471303289268681055 end 1471303289258680805  Run 306384, LB 306, lumi 67.86
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:21:42 2016 UTC-Mon Aug 15 23:21:42 2016 UTC (0.010 )  Time stamp start 1471303302292289440 end 1471303302282289440  Run 306384, LB 306, lumi 67.86
Event Veto ['MiniNoiseBurst'], Mon Aug 15 23:21:48 2016 UTC-Mon Aug 15 23:21:48 2016 UTC (0.010 )  Time stamp start 1471303308794790565 end 1471303308784790190  Run 306384, LB 306, lumi 67.87
