Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349592 to 349592
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349592 to run 349592  lasting from Sun May  6 00:33:09 2018 UTC to Sun May  6 04:31:29 2018 UTC
Event Veto ['MiniNoiseBurst'], Sun May  6 02:19:42 2018 UTC-Sun May  6 02:19:42 2018 UTC (0.001 )  Time stamp start 1525573182709829415 end 1525573182708829415  Run 349592, LB 113, lumi 21.40
Event Veto ['MiniNoiseBurst'], Sun May  6 02:19:43 2018 UTC-Sun May  6 02:19:43 2018 UTC (0.001 )  Time stamp start 1525573183970426025 end 1525573183969426025  Run 349592, LB 113, lumi 21.40
Event Veto ['MiniNoiseBurst'], Sun May  6 02:20:12 2018 UTC-Sun May  6 02:20:12 2018 UTC (0.001 )  Time stamp start 1525573212320940635 end 1525573212319940635  Run 349592, LB 113, lumi 21.40
Event Veto ['MiniNoiseBurst'], Sun May  6 02:20:18 2018 UTC-Sun May  6 02:20:18 2018 UTC (0.001 )  Time stamp start 1525573218915310340 end 1525573218914310340  Run 349592, LB 113, lumi 21.40
Event Veto ['MiniNoiseBurst'], Sun May  6 02:20:19 2018 UTC-Sun May  6 02:20:19 2018 UTC (0.001 )  Time stamp start 1525573219802063575 end 1525573219801063575  Run 349592, LB 113, lumi 21.40
Event Veto ['MiniNoiseBurst'], Sun May  6 02:20:22 2018 UTC-Sun May  6 02:20:22 2018 UTC (0.001 )  Time stamp start 1525573222926458010 end 1525573222925458010  Run 349592, LB 113, lumi 21.40
Event Veto ['MiniNoiseBurst'], Sun May  6 02:20:25 2018 UTC-Sun May  6 02:20:25 2018 UTC (0.001 )  Time stamp start 1525573225050241935 end 1525573225049241935  Run 349592, LB 113, lumi 21.40
Event Veto ['MiniNoiseBurst'], Sun May  6 02:20:26 2018 UTC-Sun May  6 02:20:26 2018 UTC (0.001 )  Time stamp start 1525573226709261145 end 1525573226708261145  Run 349592, LB 113, lumi 21.40
Event Veto ['MiniNoiseBurst'], Sun May  6 02:20:29 2018 UTC-Sun May  6 02:20:29 2018 UTC (0.001 )  Time stamp start 1525573229831060755 end 1525573229830060755  Run 349592, LB 113, lumi 21.40
Event Veto ['MiniNoiseBurst'], Sun May  6 02:20:32 2018 UTC-Sun May  6 02:20:32 2018 UTC (0.001 )  Time stamp start 1525573232103522610 end 1525573232102522610  Run 349592, LB 113, lumi 21.40
Event Veto ['MiniNoiseBurst'], Sun May  6 02:20:35 2018 UTC-Sun May  6 02:20:35 2018 UTC (0.002 )  Time stamp start 1525573235021209060 end 1525573235019658800  Run 349592, LB 113, lumi 33.18
Event Veto ['MiniNoiseBurst'], Sun May  6 02:20:37 2018 UTC-Sun May  6 02:20:37 2018 UTC (0.001 )  Time stamp start 1525573237340705255 end 1525573237339705255  Run 349592, LB 113, lumi 21.40
Event Veto ['MiniNoiseBurst'], Sun May  6 02:20:39 2018 UTC-Sun May  6 02:20:39 2018 UTC (0.001 )  Time stamp start 1525573239607465265 end 1525573239606465265  Run 349592, LB 113, lumi 21.40
Event Veto ['MiniNoiseBurst'], Sun May  6 02:20:50 2018 UTC-Sun May  6 02:20:50 2018 UTC (0.001 )  Time stamp start 1525573250058871035 end 1525573250057871035  Run 349592, LB 114, lumi 21.27
Event Veto ['NoiseBurst'], Sun May  6 02:21:05 2018 UTC-Sun May  6 02:21:05 2018 UTC (0.001 )  Time stamp start 1525573265089948810 end 1525573265088948690  Run 349592, LB 114, lumi 21.28
Event Veto ['MiniNoiseBurst'], Sun May  6 02:21:11 2018 UTC-Sun May  6 02:21:11 2018 UTC (0.001 )  Time stamp start 1525573271922710570 end 1525573271921710570  Run 349592, LB 114, lumi 21.27
Event Veto ['MiniNoiseBurst'], Sun May  6 02:21:12 2018 UTC-Sun May  6 02:21:12 2018 UTC (0.001 )  Time stamp start 1525573272024733090 end 1525573272023733090  Run 349592, LB 114, lumi 21.27
Event Veto ['MiniNoiseBurst'], Sun May  6 02:21:18 2018 UTC-Sun May  6 02:21:18 2018 UTC (0.001 )  Time stamp start 1525573278118994855 end 1525573278117994855  Run 349592, LB 114, lumi 21.27
Event Veto ['MiniNoiseBurst'], Sun May  6 02:21:56 2018 UTC-Sun May  6 02:21:56 2018 UTC (0.001 )  Time stamp start 1525573316397076555 end 1525573316396076555  Run 349592, LB 115, lumi 21.16
Event Veto ['MiniNoiseBurst'], Sun May  6 02:22:03 2018 UTC-Sun May  6 02:22:03 2018 UTC (0.001 )  Time stamp start 1525573323291943170 end 1525573323290943170  Run 349592, LB 115, lumi 21.16
Event Veto ['MiniNoiseBurst'], Sun May  6 02:22:03 2018 UTC-Sun May  6 02:22:03 2018 UTC (0.001 )  Time stamp start 1525573323966349005 end 1525573323965349005  Run 349592, LB 115, lumi 21.16
Event Veto ['MiniNoiseBurst'], Sun May  6 02:22:06 2018 UTC-Sun May  6 02:22:06 2018 UTC (0.001 )  Time stamp start 1525573326115557530 end 1525573326114557530  Run 349592, LB 115, lumi 21.16
Event Veto ['MiniNoiseBurst'], Sun May  6 02:22:10 2018 UTC-Sun May  6 02:22:10 2018 UTC (0.001 )  Time stamp start 1525573330699978785 end 1525573330698978785  Run 349592, LB 115, lumi 21.16
Event Veto ['MiniNoiseBurst'], Sun May  6 02:22:14 2018 UTC-Sun May  6 02:22:14 2018 UTC (0.001 )  Time stamp start 1525573334452783815 end 1525573334451783815  Run 349592, LB 115, lumi 21.16
Event Veto ['MiniNoiseBurst'], Sun May  6 02:22:19 2018 UTC-Sun May  6 02:22:19 2018 UTC (0.001 )  Time stamp start 1525573339324406880 end 1525573339323406880  Run 349592, LB 115, lumi 21.16
Event Veto ['MiniNoiseBurst'], Sun May  6 02:22:23 2018 UTC-Sun May  6 02:22:23 2018 UTC (0.001 )  Time stamp start 1525573343783767320 end 1525573343782767320  Run 349592, LB 115, lumi 21.16
Event Veto ['MiniNoiseBurst'], Sun May  6 02:22:25 2018 UTC-Sun May  6 02:22:25 2018 UTC (0.001 )  Time stamp start 1525573345451480465 end 1525573345450480465  Run 349592, LB 115, lumi 21.16
Event Veto ['MiniNoiseBurst'], Sun May  6 02:22:29 2018 UTC-Sun May  6 02:22:29 2018 UTC (0.001 )  Time stamp start 1525573349024087500 end 1525573349023087500  Run 349592, LB 115, lumi 21.16
