Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 340072 to 340072
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 340072 to run 340072  lasting from Sun Nov  5 20:44:26 2017 UTC to Tue Nov  7 06:10:39 2017 UTC
Event Veto ['NoiseBurst'], Mon Nov  6 02:40:10 2017 UTC-Mon Nov  6 02:40:10 2017 UTC (0.001 )  Time stamp start 1509936010544470490 end 1509936010543469865  Run 340072, LB 366, lumi 14.89
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:40:42 2017 UTC-Mon Nov  6 02:40:42 2017 UTC (0.001 )  Time stamp start 1509936042529147585 end 1509936042528147585  Run 340072, LB 367, lumi 14.99
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:41:13 2017 UTC-Mon Nov  6 02:41:13 2017 UTC (0.001 )  Time stamp start 1509936073527011190 end 1509936073526011190  Run 340072, LB 367, lumi 14.99
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:41:16 2017 UTC-Mon Nov  6 02:41:16 2017 UTC (0.001 )  Time stamp start 1509936076248881025 end 1509936076247881025  Run 340072, LB 367, lumi 14.99
Event Veto ['NoiseBurst'], Mon Nov  6 02:42:25 2017 UTC-Mon Nov  6 02:42:25 2017 UTC (0.001 )  Time stamp start 1509936145983165475 end 1509936145982164855  Run 340072, LB 371, lumi 15.12
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:43:32 2017 UTC-Mon Nov  6 02:43:32 2017 UTC (0.001 )  Time stamp start 1509936212364269520 end 1509936212363269520  Run 340072, LB 372, lumi 15.16
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:43:55 2017 UTC-Mon Nov  6 02:43:55 2017 UTC (0.001 )  Time stamp start 1509936235613417705 end 1509936235612417705  Run 340072, LB 373, lumi 15.24
Event Veto ['NoiseBurst'], Mon Nov  6 02:44:07 2017 UTC-Mon Nov  6 02:44:07 2017 UTC (0.001 )  Time stamp start 1509936247792486270 end 1509936247791485270  Run 340072, LB 374, lumi 15.28
Event Veto ['NoiseBurst'], Mon Nov  6 02:44:24 2017 UTC-Mon Nov  6 02:44:24 2017 UTC (0.001 )  Time stamp start 1509936264965119595 end 1509936264963994770  Run 340072, LB 374, lumi 17.17
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:44:46 2017 UTC-Mon Nov  6 02:44:46 2017 UTC (0.001 )  Time stamp start 1509936286048294200 end 1509936286046951580  Run 340072, LB 374, lumi 20.50
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:44:51 2017 UTC-Mon Nov  6 02:44:51 2017 UTC (0.001 )  Time stamp start 1509936291439727635 end 1509936291438727635  Run 340072, LB 374, lumi 15.27
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Nov  6 02:44:52 2017 UTC-Mon Nov  6 02:44:52 2017 UTC (0.001 )  Time stamp start 1509936292432272515 end 1509936292431272515  Run 340072, LB 374, lumi 15.27
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:45:23 2017 UTC-Mon Nov  6 02:45:23 2017 UTC (0.001 )  Time stamp start 1509936323523255205 end 1509936323522254205  Run 340072, LB 375, lumi 15.17
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:46:39 2017 UTC-Mon Nov  6 02:46:39 2017 UTC (0.001 )  Time stamp start 1509936399155032145 end 1509936399154032145  Run 340072, LB 376, lumi 14.83
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:46:45 2017 UTC-Mon Nov  6 02:46:45 2017 UTC (0.001 )  Time stamp start 1509936405459172650 end 1509936405458172650  Run 340072, LB 376, lumi 14.83
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:47:03 2017 UTC-Mon Nov  6 02:47:03 2017 UTC (0.001 )  Time stamp start 1509936423525401830 end 1509936423524401830  Run 340072, LB 376, lumi 14.83
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:47:07 2017 UTC-Mon Nov  6 02:47:07 2017 UTC (0.001 )  Time stamp start 1509936427853143105 end 1509936427852143105  Run 340072, LB 377, lumi 14.89
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:47:12 2017 UTC-Mon Nov  6 02:47:12 2017 UTC (0.001 )  Time stamp start 1509936432502314455 end 1509936432501314455  Run 340072, LB 377, lumi 14.89
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:47:28 2017 UTC-Mon Nov  6 02:47:28 2017 UTC (0.001 )  Time stamp start 1509936448646467130 end 1509936448645467130  Run 340072, LB 377, lumi 14.89
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:48:01 2017 UTC-Mon Nov  6 02:48:01 2017 UTC (0.001 )  Time stamp start 1509936481906433305 end 1509936481905433305  Run 340072, LB 377, lumi 14.89
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:48:15 2017 UTC-Mon Nov  6 02:48:15 2017 UTC (0.001 )  Time stamp start 1509936495742832830 end 1509936495741832830  Run 340072, LB 378, lumi 14.96
Event Veto ['MiniNoiseBurst'], Mon Nov  6 02:50:15 2017 UTC-Mon Nov  6 02:50:15 2017 UTC (0.001 )  Time stamp start 1509936615394457435 end 1509936615393457435  Run 340072, LB 380, lumi 15.09
