Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 359717 to 359717
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 359717 to run 359717  lasting from Sun Sep  2 10:24:37 2018 UTC to Sun Sep  2 18:10:55 2018 UTC
Event Veto ['MiniNoiseBurst'], Sun Sep  2 12:09:55 2018 UTC-Sun Sep  2 12:09:55 2018 UTC (0.001 )  Time stamp start 1535890195506508810 end 1535890195505508810  Run 359717, LB 122, lumi 18.96
Event Veto ['NoiseBurst'], Sun Sep  2 12:14:57 2018 UTC-Sun Sep  2 12:14:57 2018 UTC (0.001 )  Time stamp start 1535890497690119045 end 1535890497689118295  Run 359717, LB 127, lumi 18.72
Event Veto ['NoiseBurst'], Sun Sep  2 12:15:24 2018 UTC-Sun Sep  2 12:15:24 2018 UTC (0.001 )  Time stamp start 1535890524645150590 end 1535890524644123565  Run 359717, LB 128, lumi 19.18
Event Veto ['MiniNoiseBurst'], Sun Sep  2 12:17:50 2018 UTC-Sun Sep  2 12:17:50 2018 UTC (0.001 )  Time stamp start 1535890670895576915 end 1535890670894576915  Run 359717, LB 131, lumi 18.53
Event Veto ['MiniNoiseBurst'], Sun Sep  2 12:18:18 2018 UTC-Sun Sep  2 12:18:18 2018 UTC (0.002 )  Time stamp start 1535890698425554140 end 1535890698423977555  Run 359717, LB 131, lumi 29.22
Event Veto ['NoiseBurst'], Sun Sep  2 12:21:36 2018 UTC-Sun Sep  2 12:21:36 2018 UTC (0.001 )  Time stamp start 1535890896889255085 end 1535890896888205705  Run 359717, LB 135, lumi 19.30
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sun Sep  2 12:21:50 2018 UTC-Sun Sep  2 12:21:50 2018 UTC (0.001 )  Time stamp start 1535890910020125570 end 1535890910019125570  Run 359717, LB 135, lumi 18.40
Event Veto ['MiniNoiseBurst'], Sun Sep  2 12:23:29 2018 UTC-Sun Sep  2 12:23:29 2018 UTC (0.001 )  Time stamp start 1535891009305328530 end 1535891009304328530  Run 359717, LB 137, lumi 18.34
Event Veto ['NoiseBurst'], Sun Sep  2 12:25:41 2018 UTC-Sun Sep  2 12:25:41 2018 UTC (0.001 )  Time stamp start 1535891141453754320 end 1535891141452753820  Run 359717, LB 139, lumi 18.27
Event Veto ['NoiseBurst'], Sun Sep  2 12:27:23 2018 UTC-Sun Sep  2 12:27:23 2018 UTC (0.001 )  Time stamp start 1535891243968957300 end 1535891243967952955  Run 359717, LB 141, lumi 18.26
Event Veto ['NoiseBurst'], Sun Sep  2 12:27:23 2018 UTC-Sun Sep  2 12:27:23 2018 UTC (0.002 )  Time stamp start 1535891243970990235 end 1535891243969487725  Run 359717, LB 141, lumi 27.31
Event Veto ['NoiseBurst'], Sun Sep  2 12:27:23 2018 UTC-Sun Sep  2 12:27:23 2018 UTC (0.006 )  Time stamp start 1535891243978407015 end 1535891243972658070  Run 359717, LB 141, lumi 104.49
Event Veto ['MiniNoiseBurst'], Sun Sep  2 12:27:57 2018 UTC-Sun Sep  2 12:27:57 2018 UTC (0.001 )  Time stamp start 1535891277699885570 end 1535891277698885570  Run 359717, LB 141, lumi 18.18
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sun Sep  2 12:27:57 2018 UTC-Sun Sep  2 12:27:57 2018 UTC (0.001 )  Time stamp start 1535891277788651920 end 1535891277787651920  Run 359717, LB 141, lumi 18.18
Event Veto ['MiniNoiseBurst'], Sun Sep  2 12:29:21 2018 UTC-Sun Sep  2 12:29:21 2018 UTC (0.001 )  Time stamp start 1535891361159432090 end 1535891361158432090  Run 359717, LB 143, lumi 18.08
Event Veto ['NoiseBurst'], Sun Sep  2 12:30:12 2018 UTC-Sun Sep  2 12:30:12 2018 UTC (0.001 )  Time stamp start 1535891412556950385 end 1535891412555950135  Run 359717, LB 143, lumi 18.08
Event Veto ['MiniNoiseBurst'], Sun Sep  2 12:30:13 2018 UTC-Sun Sep  2 12:30:13 2018 UTC (0.001 )  Time stamp start 1535891413760109220 end 1535891413759109220  Run 359717, LB 143, lumi 18.08
Event Veto ['NoiseBurst'], Sun Sep  2 12:31:04 2018 UTC-Sun Sep  2 12:31:04 2018 UTC (0.001 )  Time stamp start 1535891464004517490 end 1535891464003397175  Run 359717, LB 144, lumi 20.21
Event Veto ['NoiseBurst'], Sun Sep  2 12:31:04 2018 UTC-Sun Sep  2 12:31:04 2018 UTC (0.001 )  Time stamp start 1535891464005669665 end 1535891464004571085  Run 359717, LB 144, lumi 19.82
Event Veto ['NoiseBurst'], Sun Sep  2 12:31:04 2018 UTC-Sun Sep  2 12:31:04 2018 UTC (0.002 )  Time stamp start 1535891464008347180 end 1535891464006417515  Run 359717, LB 144, lumi 34.82
Event Veto ['NoiseBurst'], Sun Sep  2 12:31:04 2018 UTC-Sun Sep  2 12:31:04 2018 UTC (0.002 )  Time stamp start 1535891464010656770 end 1535891464008605470  Run 359717, LB 144, lumi 37.01
Event Veto ['MiniNoiseBurst'], Sun Sep  2 12:31:11 2018 UTC-Sun Sep  2 12:31:11 2018 UTC (0.001 )  Time stamp start 1535891471169668745 end 1535891471168668745  Run 359717, LB 144, lumi 18.04
Event Veto ['MiniNoiseBurst'], Sun Sep  2 12:31:43 2018 UTC-Sun Sep  2 12:31:43 2018 UTC (0.001 )  Time stamp start 1535891503984274980 end 1535891503983274980  Run 359717, LB 145, lumi 18.01
Event Veto ['NoiseBurst'], Sun Sep  2 12:33:00 2018 UTC-Sun Sep  2 12:33:00 2018 UTC (0.001 )  Time stamp start 1535891580120816060 end 1535891580119725990  Run 359717, LB 146, lumi 19.60
Event Veto ['MiniNoiseBurst'], Sun Sep  2 12:33:11 2018 UTC-Sun Sep  2 12:33:11 2018 UTC (0.001 )  Time stamp start 1535891591092268550 end 1535891591091268550  Run 359717, LB 146, lumi 17.98
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sun Sep  2 12:33:53 2018 UTC-Sun Sep  2 12:33:53 2018 UTC (0.001 )  Time stamp start 1535891633836583065 end 1535891633835583065  Run 359717, LB 148, lumi 17.96
Event Veto ['NoiseBurst'], Sun Sep  2 12:34:30 2018 UTC-Sun Sep  2 12:34:30 2018 UTC (0.001 )  Time stamp start 1535891670728342345 end 1535891670727341445  Run 359717, LB 148, lumi 17.98
Event Veto ['MiniNoiseBurst'], Sun Sep  2 12:35:15 2018 UTC-Sun Sep  2 12:35:15 2018 UTC (0.001 )  Time stamp start 1535891715693164445 end 1535891715692164445  Run 359717, LB 149, lumi 17.88
