Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 357620 to 357620
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 357620 to run 357620  lasting from Sun Aug  5 21:39:50 2018 UTC to Mon Aug  6 01:24:07 2018 UTC
Event Veto ['NoiseBurst'], Sun Aug  5 23:55:27 2018 UTC-Sun Aug  5 23:55:27 2018 UTC (0.001 )  Time stamp start 1533513327818779500 end 1533513327817701850  Run 357620, LB 176, lumi 18.82
Event Veto ['MiniNoiseBurst'], Sun Aug  5 23:55:45 2018 UTC-Sun Aug  5 23:55:45 2018 UTC (0.001 )  Time stamp start 1533513345876702470 end 1533513345875702470  Run 357620, LB 177, lumi 17.43
Event Veto ['MiniNoiseBurst'], Sun Aug  5 23:56:21 2018 UTC-Sun Aug  5 23:56:21 2018 UTC (0.001 )  Time stamp start 1533513381679013275 end 1533513381678013275  Run 357620, LB 177, lumi 17.43
Event Veto ['NoiseBurst'], Sun Aug  5 23:58:10 2018 UTC-Sun Aug  5 23:58:10 2018 UTC (0.001 )  Time stamp start 1533513490263317720 end 1533513490262192695  Run 357620, LB 179, lumi 19.57
Event Veto ['NoiseBurst'], Sun Aug  5 23:58:10 2018 UTC-Sun Aug  5 23:58:10 2018 UTC (0.001 )  Time stamp start 1533513490710971165 end 1533513490709970290  Run 357620, LB 179, lumi 17.41
Event Veto ['MiniNoiseBurst'], Sun Aug  5 23:59:03 2018 UTC-Sun Aug  5 23:59:03 2018 UTC (0.001 )  Time stamp start 1533513543271179095 end 1533513543270179095  Run 357620, LB 180, lumi 17.36
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sun Aug  5 23:59:31 2018 UTC-Sun Aug  5 23:59:31 2018 UTC (0.001 )  Time stamp start 1533513571936639825 end 1533513571935639825  Run 357620, LB 181, lumi 17.38
Event Veto ['MiniNoiseBurst'], Sun Aug  5 23:59:52 2018 UTC-Sun Aug  5 23:59:52 2018 UTC (0.001 )  Time stamp start 1533513592342198395 end 1533513592341198270  Run 357620, LB 181, lumi 17.38
Event Veto ['MiniNoiseBurst'], Mon Aug  6 00:00:04 2018 UTC-Mon Aug  6 00:00:04 2018 UTC (0.001 )  Time stamp start 1533513604395517850 end 1533513604394517730  Run 357620, LB 181, lumi 17.38
Event Veto ['NoiseBurst'], Mon Aug  6 00:00:08 2018 UTC-Mon Aug  6 00:00:08 2018 UTC (0.001 )  Time stamp start 1533513608525336720 end 1533513608523844690  Run 357620, LB 181, lumi 25.93
Event Veto ['MiniNoiseBurst'], Mon Aug  6 00:00:15 2018 UTC-Mon Aug  6 00:00:15 2018 UTC (0.001 )  Time stamp start 1533513615611075785 end 1533513615610075785  Run 357620, LB 181, lumi 17.38
Event Veto ['MiniNoiseBurst'], Mon Aug  6 00:00:30 2018 UTC-Mon Aug  6 00:00:30 2018 UTC (0.001 )  Time stamp start 1533513630586428875 end 1533513630585428750  Run 357620, LB 182, lumi 17.36
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Aug  6 00:05:56 2018 UTC-Mon Aug  6 00:05:56 2018 UTC (0.001 )  Time stamp start 1533513956719536610 end 1533513956718536610  Run 357620, LB 188, lumi 17.24
Event Veto ['NoiseBurst'], Mon Aug  6 00:06:00 2018 UTC-Mon Aug  6 00:06:00 2018 UTC (0.001 )  Time stamp start 1533513960204468755 end 1533513960203467885  Run 357620, LB 188, lumi 17.25
Event Veto ['MiniNoiseBurst'], Mon Aug  6 00:06:19 2018 UTC-Mon Aug  6 00:06:19 2018 UTC (0.001 )  Time stamp start 1533513979027162940 end 1533513979026162940  Run 357620, LB 188, lumi 17.24
Event Veto ['NoiseBurst'], Mon Aug  6 00:07:25 2018 UTC-Mon Aug  6 00:07:25 2018 UTC (0.001 )  Time stamp start 1533514045312461300 end 1533514045311460680  Run 357620, LB 189, lumi 17.21
Event Veto ['MiniNoiseBurst'], Mon Aug  6 00:12:16 2018 UTC-Mon Aug  6 00:12:16 2018 UTC (0.001 )  Time stamp start 1533514336626004215 end 1533514336625004090  Run 357620, LB 194, lumi 17.04
Event Veto ['MiniNoiseBurst'], Mon Aug  6 00:12:22 2018 UTC-Mon Aug  6 00:12:22 2018 UTC (0.001 )  Time stamp start 1533514342340333695 end 1533514342339333695  Run 357620, LB 194, lumi 17.03
Event Veto ['MiniNoiseBurst'], Mon Aug  6 00:12:28 2018 UTC-Mon Aug  6 00:12:28 2018 UTC (0.001 )  Time stamp start 1533514348158391555 end 1533514348157391430  Run 357620, LB 194, lumi 17.04
Event Veto ['MiniNoiseBurst'], Mon Aug  6 00:12:41 2018 UTC-Mon Aug  6 00:12:41 2018 UTC (0.001 )  Time stamp start 1533514361751463765 end 1533514361750463765  Run 357620, LB 194, lumi 17.03
Event Veto ['MiniNoiseBurst'], Mon Aug  6 00:12:50 2018 UTC-Mon Aug  6 00:12:50 2018 UTC (0.001 )  Time stamp start 1533514370016130070 end 1533514370015129945  Run 357620, LB 195, lumi 17.00
Event Veto ['MiniNoiseBurst'], Mon Aug  6 00:12:59 2018 UTC-Mon Aug  6 00:12:59 2018 UTC (0.001 )  Time stamp start 1533514379098478465 end 1533514379097478465  Run 357620, LB 195, lumi 17.00
Event Veto ['MiniNoiseBurst'], Mon Aug  6 00:13:23 2018 UTC-Mon Aug  6 00:13:23 2018 UTC (0.001 )  Time stamp start 1533514403923604990 end 1533514403922604865  Run 357620, LB 195, lumi 17.00
Event Veto ['MiniNoiseBurst'], Mon Aug  6 00:13:29 2018 UTC-Mon Aug  6 00:13:29 2018 UTC (0.001 )  Time stamp start 1533514409959376895 end 1533514409958376895  Run 357620, LB 195, lumi 17.00
Event Veto ['MiniNoiseBurst'], Mon Aug  6 00:13:39 2018 UTC-Mon Aug  6 00:13:39 2018 UTC (0.001 )  Time stamp start 1533514419654778360 end 1533514419653778360  Run 357620, LB 195, lumi 17.00
Event Veto ['MiniNoiseBurst'], Mon Aug  6 00:13:49 2018 UTC-Mon Aug  6 00:13:49 2018 UTC (0.001 )  Time stamp start 1533514429384567360 end 1533514429383567235  Run 357620, LB 196, lumi 16.97
Event Veto ['MiniNoiseBurst'], Mon Aug  6 00:13:59 2018 UTC-Mon Aug  6 00:13:59 2018 UTC (0.001 )  Time stamp start 1533514439827099185 end 1533514439826099060  Run 357620, LB 196, lumi 16.97
Event Veto ['MiniNoiseBurst'], Mon Aug  6 00:14:23 2018 UTC-Mon Aug  6 00:14:23 2018 UTC (0.001 )  Time stamp start 1533514463202527640 end 1533514463201527640  Run 357620, LB 196, lumi 16.97
Event Veto ['MiniNoiseBurst'], Mon Aug  6 00:14:29 2018 UTC-Mon Aug  6 00:14:29 2018 UTC (0.001 )  Time stamp start 1533514469514759525 end 1533514469513759400  Run 357620, LB 196, lumi 16.97
Event Veto ['MiniNoiseBurst'], Mon Aug  6 00:15:08 2018 UTC-Mon Aug  6 00:15:08 2018 UTC (0.001 )  Time stamp start 1533514508493200680 end 1533514508492200680  Run 357620, LB 197, lumi 16.94
Event Veto ['NoiseBurst'], Mon Aug  6 00:16:59 2018 UTC-Mon Aug  6 00:16:59 2018 UTC (0.001 )  Time stamp start 1533514619951078540 end 1533514619950078415  Run 357620, LB 199, lumi 16.97
Event Veto ['MiniNoiseBurst'], Mon Aug  6 00:18:28 2018 UTC-Mon Aug  6 00:18:28 2018 UTC (0.001 )  Time stamp start 1533514708679748010 end 1533514708678748010  Run 357620, LB 201, lumi 16.90
Event Veto ['MiniNoiseBurst'], Mon Aug  6 00:21:12 2018 UTC-Mon Aug  6 00:21:12 2018 UTC (0.001 )  Time stamp start 1533514872483222750 end 1533514872482222750  Run 357620, LB 204, lumi 16.80
Event Veto ['NoiseBurst'], Mon Aug  6 00:22:24 2018 UTC-Mon Aug  6 00:22:24 2018 UTC (0.001 )  Time stamp start 1533514944989917810 end 1533514944988830085  Run 357620, LB 205, lumi 18.25
Event Veto ['NoiseBurst'], Mon Aug  6 00:22:24 2018 UTC-Mon Aug  6 00:22:24 2018 UTC (0.001 )  Time stamp start 1533514944992119790 end 1533514944990746750  Run 357620, LB 205, lumi 23.04
Event Veto ['MiniNoiseBurst'], Mon Aug  6 00:23:49 2018 UTC-Mon Aug  6 00:23:49 2018 UTC (0.001 )  Time stamp start 1533515029588970935 end 1533515029587970935  Run 357620, LB 207, lumi 16.72
Event Veto ['MiniNoiseBurst'], Mon Aug  6 00:24:16 2018 UTC-Mon Aug  6 00:24:16 2018 UTC (0.001 )  Time stamp start 1533515056194527955 end 1533515056193527955  Run 357620, LB 207, lumi 16.72
Event Veto ['MiniNoiseBurst'], Mon Aug  6 00:24:32 2018 UTC-Mon Aug  6 00:24:32 2018 UTC (0.001 )  Time stamp start 1533515072163596950 end 1533515072162596825  Run 357620, LB 207, lumi 16.72
Event Veto ['NoiseBurst'], Mon Aug  6 00:24:46 2018 UTC-Mon Aug  6 00:24:46 2018 UTC (0.001 )  Time stamp start 1533515086265579500 end 1533515086264466700  Run 357620, LB 208, lumi 18.58
Event Veto ['MiniNoiseBurst'], Mon Aug  6 00:24:47 2018 UTC-Mon Aug  6 00:24:47 2018 UTC (0.001 )  Time stamp start 1533515087241001690 end 1533515087240001565  Run 357620, LB 208, lumi 16.70
Event Veto ['NoiseBurst'], Mon Aug  6 00:25:01 2018 UTC-Mon Aug  6 00:25:01 2018 UTC (0.001 )  Time stamp start 1533515101060677225 end 1533515101059677100  Run 357620, LB 208, lumi 16.70
Event Veto ['MiniNoiseBurst'], Mon Aug  6 00:25:08 2018 UTC-Mon Aug  6 00:25:08 2018 UTC (0.001 )  Time stamp start 1533515108375631310 end 1533515108374631310  Run 357620, LB 208, lumi 16.69
Event Veto ['MiniNoiseBurst'], Mon Aug  6 00:25:53 2018 UTC-Mon Aug  6 00:25:53 2018 UTC (0.001 )  Time stamp start 1533515153070788170 end 1533515153069788045  Run 357620, LB 209, lumi 16.67
Event Veto ['NoiseBurst'], Mon Aug  6 00:26:17 2018 UTC-Mon Aug  6 00:26:17 2018 UTC (0.001 )  Time stamp start 1533515177175266040 end 1533515177174265170  Run 357620, LB 209, lumi 16.68
Event Veto ['NoiseBurst'], Mon Aug  6 00:27:48 2018 UTC-Mon Aug  6 00:27:48 2018 UTC (0.001 )  Time stamp start 1533515268227267635 end 1533515268226266715  Run 357620, LB 211, lumi 16.61
Event Veto ['NoiseBurst'], Mon Aug  6 00:27:52 2018 UTC-Mon Aug  6 00:27:52 2018 UTC (0.001 )  Time stamp start 1533515272756249560 end 1533515272755248560  Run 357620, LB 211, lumi 16.61
Event Veto ['NoiseBurst'], Mon Aug  6 00:27:55 2018 UTC-Mon Aug  6 00:27:55 2018 UTC (0.001 )  Time stamp start 1533515275205126820 end 1533515275204126570  Run 357620, LB 211, lumi 16.60
Event Veto ['MiniNoiseBurst'], Mon Aug  6 00:28:13 2018 UTC-Mon Aug  6 00:28:13 2018 UTC (0.001 )  Time stamp start 1533515293146497610 end 1533515293145497485  Run 357620, LB 211, lumi 16.60
Event Veto ['NoiseBurst'], Mon Aug  6 00:28:36 2018 UTC-Mon Aug  6 00:28:36 2018 UTC (0.211 )  Time stamp start 1533515316263618970 end 1533515316052813465  Run 357620, LB 211, lumi 3497.94
